,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,Ensalada Mixta,Offer,5.5,EUR,Entrantes,8.6,"""Castellano""","""Calle Nueva del Pardo","""geo"":{""latitude"":40.52111,""longitude"":-3.7771142",Adrián
1,1,MenuItem,Chopitos,Offer,8.5,EUR,Entrantes,8.6,"""Castellano""","""Calle Nueva del Pardo","""geo"":{""latitude"":40.52111,""longitude"":-3.7771142",Adrián
2,2,MenuItem,Revuelto de setas con gambas,Offer,7.0,EUR,Entrantes,8.6,"""Castellano""","""Calle Nueva del Pardo","""geo"":{""latitude"":40.52111,""longitude"":-3.7771142",Adrián
3,3,MenuItem,Consome,Offer,3.5,EUR,Entrantes,8.6,"""Castellano""","""Calle Nueva del Pardo","""geo"":{""latitude"":40.52111,""longitude"":-3.7771142",Adrián
4,4,MenuItem,Sopa castellana,Offer,5.0,EUR,Entrantes,8.6,"""Castellano""","""Calle Nueva del Pardo","""geo"":{""latitude"":40.52111,""longitude"":-3.7771142",Adrián
5,5,MenuItem,Callos a la madrileña,Offer,9.0,EUR,Entrantes,8.6,"""Castellano""","""Calle Nueva del Pardo","""geo"":{""latitude"":40.52111,""longitude"":-3.7771142",Adrián
6,6,MenuItem,Gambas Plancha,Offer,14.0,EUR,Entrantes,8.6,"""Castellano""","""Calle Nueva del Pardo","""geo"":{""latitude"":40.52111,""longitude"":-3.7771142",Adrián
7,7,MenuItem,Calamares a la Romana,Offer,8.5,EUR,Entrantes,8.6,"""Castellano""","""Calle Nueva del Pardo","""geo"":{""latitude"":40.52111,""longitude"":-3.7771142",Adrián
8,8,MenuItem,Sepia Plancha,Offer,8.5,EUR,Entrantes,8.6,"""Castellano""","""Calle Nueva del Pardo","""geo"":{""latitude"":40.52111,""longitude"":-3.7771142",Adrián
9,9,MenuItem,Boquerones Fritos,Offer,7.0,EUR,Entrantes,8.6,"""Castellano""","""Calle Nueva del Pardo","""geo"":{""latitude"":40.52111,""longitude"":-3.7771142",Adrián
10,10,MenuItem,Oreja a la Plancha,Offer,7.0,EUR,Entrantes,8.6,"""Castellano""","""Calle Nueva del Pardo","""geo"":{""latitude"":40.52111,""longitude"":-3.7771142",Adrián
