,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,Aros de Cebolla,Offer,7.95,EUR,Entrantes,9.1,"""Americano""","""Paseo Tierra de Melide","""geo"":{""latitude"":40.5119068,""longitude"":-3.6702741",Beefcious Las Tablas
1,1,MenuItem,Fingers caseros de pollo,Offer,7.95,EUR,Entrantes,9.1,"""Americano""","""Paseo Tierra de Melide","""geo"":{""latitude"":40.5119068,""longitude"":-3.6702741",Beefcious Las Tablas
2,2,MenuItem,Cheese fries,Offer,7.5,EUR,Entrantes,9.1,"""Americano""","""Paseo Tierra de Melide","""geo"":{""latitude"":40.5119068,""longitude"":-3.6702741",Beefcious Las Tablas
3,3,MenuItem,Buffalo Wings,Offer,7.95,EUR,Entrantes,9.1,"""Americano""","""Paseo Tierra de Melide","""geo"":{""latitude"":40.5119068,""longitude"":-3.6702741",Beefcious Las Tablas
4,4,MenuItem,Ensalada Beefcious,Offer,8.95,EUR,Entrantes,9.1,"""Americano""","""Paseo Tierra de Melide","""geo"":{""latitude"":40.5119068,""longitude"":-3.6702741",Beefcious Las Tablas
5,5,MenuItem,Ensalada César,Offer,8.95,EUR,Entrantes,9.1,"""Americano""","""Paseo Tierra de Melide","""geo"":{""latitude"":40.5119068,""longitude"":-3.6702741",Beefcious Las Tablas
6,6,MenuItem,Ensalada de Pollo,Offer,8.95,EUR,Entrantes,9.1,"""Americano""","""Paseo Tierra de Melide","""geo"":{""latitude"":40.5119068,""longitude"":-3.6702741",Beefcious Las Tablas
7,7,MenuItem,Nachos,Offer,7.95,EUR,Entrantes,9.1,"""Americano""","""Paseo Tierra de Melide","""geo"":{""latitude"":40.5119068,""longitude"":-3.6702741",Beefcious Las Tablas
8,8,MenuItem,Nachos especiales,Offer,8.95,EUR,Entrantes,9.1,"""Americano""","""Paseo Tierra de Melide","""geo"":{""latitude"":40.5119068,""longitude"":-3.6702741",Beefcious Las Tablas
9,9,MenuItem,Quesadilla de pollo,Offer,8.95,EUR,Entrantes,9.1,"""Americano""","""Paseo Tierra de Melide","""geo"":{""latitude"":40.5119068,""longitude"":-3.6702741",Beefcious Las Tablas
10,10,MenuItem,Quesadilla de carne,Offer,8.95,EUR,Entrantes,9.1,"""Americano""","""Paseo Tierra de Melide","""geo"":{""latitude"":40.5119068,""longitude"":-3.6702741",Beefcious Las Tablas
11,11,MenuItem,Quesadilla de verduras,Offer,8.95,EUR,Entrantes,9.1,"""Americano""","""Paseo Tierra de Melide","""geo"":{""latitude"":40.5119068,""longitude"":-3.6702741",Beefcious Las Tablas
12,12,MenuItem,Fish & Chips,Offer,9.95,EUR,Entrantes,9.1,"""Americano""","""Paseo Tierra de Melide","""geo"":{""latitude"":40.5119068,""longitude"":-3.6702741",Beefcious Las Tablas
