,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,Tortilla de patatas trufada,Offer,10.0,EUR,ENTRANTES,8.4,"""Mediterráneo""","""Paseo Tierra de Melide","""geo"":{""latitude"":40.5077498,""longitude"":-3.6657123",Casa Montes
1,1,MenuItem,Ensalada de Burrata con un pesto de tomate seco,Offer,12.0,EUR,ENTRANTES,8.4,"""Mediterráneo""","""Paseo Tierra de Melide","""geo"":{""latitude"":40.5077498,""longitude"":-3.6657123",Casa Montes
2,2,MenuItem,Pipas de Mar para mojar pan y los dedos,Offer,13.0,EUR,ENTRANTES,8.4,"""Mediterráneo""","""Paseo Tierra de Melide","""geo"":{""latitude"":40.5077498,""longitude"":-3.6657123",Casa Montes
3,3,MenuItem,Bao de puntillas,Offer,8.0,EUR,ENTRANTES,8.4,"""Mediterráneo""","""Paseo Tierra de Melide","""geo"":{""latitude"":40.5077498,""longitude"":-3.6657123",Casa Montes
4,4,MenuItem,Alcachofas confitadas,Offer,16.0,EUR,ENTRANTES,8.4,"""Mediterráneo""","""Paseo Tierra de Melide","""geo"":{""latitude"":40.5077498,""longitude"":-3.6657123",Casa Montes
5,5,MenuItem,Tacos Pibil,Offer,6.0,EUR,ENTRANTES,8.4,"""Mediterráneo""","""Paseo Tierra de Melide","""geo"":{""latitude"":40.5077498,""longitude"":-3.6657123",Casa Montes
6,6,MenuItem,Tacos enmolados,Offer,6.0,EUR,ENTRANTES,8.4,"""Mediterráneo""","""Paseo Tierra de Melide","""geo"":{""latitude"":40.5077498,""longitude"":-3.6657123",Casa Montes
7,7,MenuItem,Tacos de Callos,Offer,6.0,EUR,ENTRANTES,8.4,"""Mediterráneo""","""Paseo Tierra de Melide","""geo"":{""latitude"":40.5077498,""longitude"":-3.6657123",Casa Montes
8,8,MenuItem,Merienda de chinos,Offer,8.0,EUR,ENTRANTES,8.4,"""Mediterráneo""","""Paseo Tierra de Melide","""geo"":{""latitude"":40.5077498,""longitude"":-3.6657123",Casa Montes
9,9,MenuItem,Pepito de Ternera,Offer,6.0,EUR,ENTRANTES,8.4,"""Mediterráneo""","""Paseo Tierra de Melide","""geo"":{""latitude"":40.5077498,""longitude"":-3.6657123",Casa Montes
10,10,MenuItem,Bao tar tar,Offer,6.0,EUR,ENTRANTES,8.4,"""Mediterráneo""","""Paseo Tierra de Melide","""geo"":{""latitude"":40.5077498,""longitude"":-3.6657123",Casa Montes
11,11,MenuItem,Dumplings de gambon,Offer,6.0,EUR,ENTRANTES,8.4,"""Mediterráneo""","""Paseo Tierra de Melide","""geo"":{""latitude"":40.5077498,""longitude"":-3.6657123",Casa Montes
12,12,MenuItem,Tomamole.,Offer,12.0,EUR,ENTRANTES,8.4,"""Mediterráneo""","""Paseo Tierra de Melide","""geo"":{""latitude"":40.5077498,""longitude"":-3.6657123",Casa Montes
13,13,MenuItem,Berenjenas asadas con Remescu y polvo de galleta,Offer,12.5,EUR,ENTRANTES,8.4,"""Mediterráneo""","""Paseo Tierra de Melide","""geo"":{""latitude"":40.5077498,""longitude"":-3.6657123",Casa Montes
