,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,Ración de jamón ibérico,Offer,12.0,EUR,Entrante,8.9,"""Español""","""Calle Olivo","""geo"":{""latitude"":40.4586698,""longitude"":-3.7822292",Casa Norika
1,1,MenuItem,Ración de queso manchego,Offer,10.0,EUR,Entrante,8.9,"""Español""","""Calle Olivo","""geo"":{""latitude"":40.4586698,""longitude"":-3.7822292",Casa Norika
2,2,MenuItem,Pan Tumaca,Offer,5.0,EUR,Entrante,8.9,"""Español""","""Calle Olivo","""geo"":{""latitude"":40.4586698,""longitude"":-3.7822292",Casa Norika
3,3,MenuItem,Pan Ali-Oli,Offer,9.0,EUR,Entrante,8.9,"""Español""","""Calle Olivo","""geo"":{""latitude"":40.4586698,""longitude"":-3.7822292",Casa Norika
4,4,MenuItem,Ración de Gulas,Offer,9.0,EUR,Entrante,8.9,"""Español""","""Calle Olivo","""geo"":{""latitude"":40.4586698,""longitude"":-3.7822292",Casa Norika
5,5,MenuItem,Ración de gambas al ajillo,Offer,12.0,EUR,Entrante,8.9,"""Español""","""Calle Olivo","""geo"":{""latitude"":40.4586698,""longitude"":-3.7822292",Casa Norika
6,6,MenuItem,Gambas a la plancha,Offer,12.0,EUR,Entrante,8.9,"""Español""","""Calle Olivo","""geo"":{""latitude"":40.4586698,""longitude"":-3.7822292",Casa Norika
7,7,MenuItem,Ración de callos,Offer,11.0,EUR,Entrante,8.9,"""Español""","""Calle Olivo","""geo"":{""latitude"":40.4586698,""longitude"":-3.7822292",Casa Norika
8,8,MenuItem,Ración de calamares,Offer,11.0,EUR,Entrante,8.9,"""Español""","""Calle Olivo","""geo"":{""latitude"":40.4586698,""longitude"":-3.7822292",Casa Norika
9,9,MenuItem,Chorizo fresco de León,Offer,8.0,EUR,Entrante,8.9,"""Español""","""Calle Olivo","""geo"":{""latitude"":40.4586698,""longitude"":-3.7822292",Casa Norika
10,10,MenuItem,Ensaladilla,Offer,8.0,EUR,Entrante,8.9,"""Español""","""Calle Olivo","""geo"":{""latitude"":40.4586698,""longitude"":-3.7822292",Casa Norika
11,11,MenuItem,Patatas Ali-Oli,Offer,7.0,EUR,Entrante,8.9,"""Español""","""Calle Olivo","""geo"":{""latitude"":40.4586698,""longitude"":-3.7822292",Casa Norika
12,12,MenuItem,Patatas Bravas,Offer,7.0,EUR,Entrante,8.9,"""Español""","""Calle Olivo","""geo"":{""latitude"":40.4586698,""longitude"":-3.7822292",Casa Norika
13,13,MenuItem,Patatas 2 salsas,Offer,7.5,EUR,Entrante,8.9,"""Español""","""Calle Olivo","""geo"":{""latitude"":40.4586698,""longitude"":-3.7822292",Casa Norika
14,14,MenuItem,Tortilla de patata,Offer,10.0,EUR,Entrante,8.9,"""Español""","""Calle Olivo","""geo"":{""latitude"":40.4586698,""longitude"":-3.7822292",Casa Norika
15,15,MenuItem,Huevos Rotos con jamón,Offer,11.0,EUR,Entrante,8.9,"""Español""","""Calle Olivo","""geo"":{""latitude"":40.4586698,""longitude"":-3.7822292",Casa Norika
16,16,MenuItem,Huevos rotos con queso y bacón,Offer,9.0,EUR,Entrante,8.9,"""Español""","""Calle Olivo","""geo"":{""latitude"":40.4586698,""longitude"":-3.7822292",Casa Norika
17,17,MenuItem,Caracoles,Offer,12.0,EUR,Entrante,8.9,"""Español""","""Calle Olivo","""geo"":{""latitude"":40.4586698,""longitude"":-3.7822292",Casa Norika
18,18,MenuItem,Revuelto de setas,Offer,10.0,EUR,Entrante,8.9,"""Español""","""Calle Olivo","""geo"":{""latitude"":40.4586698,""longitude"":-3.7822292",Casa Norika
