,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,Raviolis de morcilla y papaya,Offer,13.5,EUR,Para Compartir,8.7,None,"""Calle Corredera Baja de San Pablo","""geo"":{""latitude"":40.4222684,""longitude"":-3.7042704",Clarita
1,1,MenuItem,Sardinas Ahumadas,Offer,13.0,EUR,Para Compartir,8.7,None,"""Calle Corredera Baja de San Pablo","""geo"":{""latitude"":40.4222684,""longitude"":-3.7042704",Clarita
2,2,MenuItem,Gyozas japonesas con salsa Yakiniku,Offer,12.0,EUR,Para Compartir,8.7,None,"""Calle Corredera Baja de San Pablo","""geo"":{""latitude"":40.4222684,""longitude"":-3.7042704",Clarita
3,3,MenuItem,Alcachofas naturales confitadas,Offer,13.0,EUR,Para Compartir,8.7,None,"""Calle Corredera Baja de San Pablo","""geo"":{""latitude"":40.4222684,""longitude"":-3.7042704",Clarita
4,4,MenuItem,Croquetas de mejillón y wakame,Offer,12.0,EUR,Para Compartir,8.7,None,"""Calle Corredera Baja de San Pablo","""geo"":{""latitude"":40.4222684,""longitude"":-3.7042704",Clarita
5,5,MenuItem,Croquetas de ternera y cúrcuma,Offer,12.0,EUR,Para Compartir,8.7,None,"""Calle Corredera Baja de San Pablo","""geo"":{""latitude"":40.4222684,""longitude"":-3.7042704",Clarita
6,6,MenuItem,Berenjenas crujientes,Offer,10.0,EUR,Para Compartir,8.7,None,"""Calle Corredera Baja de San Pablo","""geo"":{""latitude"":40.4222684,""longitude"":-3.7042704",Clarita
7,7,MenuItem,Mejillones al queso azul,Offer,12.0,EUR,Para Compartir,8.7,None,"""Calle Corredera Baja de San Pablo","""geo"":{""latitude"":40.4222684,""longitude"":-3.7042704",Clarita
8,8,MenuItem,Ensalada de burratina de búfala,Offer,11.0,EUR,Para Compartir,8.7,None,"""Calle Corredera Baja de San Pablo","""geo"":{""latitude"":40.4222684,""longitude"":-3.7042704",Clarita
9,9,MenuItem,Salmorejo de mango y cilantro,Offer,10.0,EUR,Para Compartir,8.7,None,"""Calle Corredera Baja de San Pablo","""geo"":{""latitude"":40.4222684,""longitude"":-3.7042704",Clarita
10,10,MenuItem,Ensalada Clarita,Offer,12.5,EUR,Para Compartir,8.7,None,"""Calle Corredera Baja de San Pablo","""geo"":{""latitude"":40.4222684,""longitude"":-3.7042704",Clarita
11,11,MenuItem,Huevos con patatas panaderas,Offer,13.0,EUR,Para Compartir,8.7,None,"""Calle Corredera Baja de San Pablo","""geo"":{""latitude"":40.4222684,""longitude"":-3.7042704",Clarita
