,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,Jamón y Queso,Offer,7.3,EUR,Crepes Salados,8.1,"""Mediterráneo""","""Avenida de Brasil","""geo"":{""latitude"":40.456630807574,""longitude"":-3.69323992729187",Cre-Cotte
1,1,MenuItem,"Timán ( huevo, mozarella y bacón )",Offer,7.7,EUR,Crepes Salados,8.1,"""Mediterráneo""","""Avenida de Brasil","""geo"":{""latitude"":40.456630807574,""longitude"":-3.69323992729187",Cre-Cotte
2,2,MenuItem,"Completa ( huevo, jamón cocido y queso gruyêre )",Offer,7.7,EUR,Crepes Salados,8.1,"""Mediterráneo""","""Avenida de Brasil","""geo"":{""latitude"":40.456630807574,""longitude"":-3.69323992729187",Cre-Cotte
3,3,MenuItem,"Manchega ( pollo, pisto , gruyêre, picante y tomate )",Offer,9.0,EUR,Crepes Salados,8.1,"""Mediterráneo""","""Avenida de Brasil","""geo"":{""latitude"":40.456630807574,""longitude"":-3.69323992729187",Cre-Cotte
4,4,MenuItem,"Mexicana ( carne, pisto, picante, queso gruyére y tomate )",Offer,9.0,EUR,Crepes Salados,8.1,"""Mediterráneo""","""Avenida de Brasil","""geo"":{""latitude"":40.456630807574,""longitude"":-3.69323992729187",Cre-Cotte
5,5,MenuItem,"Triguera ( espárragos trigueros, jamón serrano , bechamel y queso gruyére )",Offer,9.0,EUR,Crepes Salados,8.1,"""Mediterráneo""","""Avenida de Brasil","""geo"":{""latitude"":40.456630807574,""longitude"":-3.69323992729187",Cre-Cotte
6,6,MenuItem,"Chapó ( bechamel, lomo , mozarella, tomate y champiñones )",Offer,9.3,EUR,Crepes Salados,8.1,"""Mediterráneo""","""Avenida de Brasil","""geo"":{""latitude"":40.456630807574,""longitude"":-3.69323992729187",Cre-Cotte
7,7,MenuItem,"Campesina ( bechamel, pollo, huevo, queso gruyêre y cebolla caramelizada )",Offer,9.3,EUR,Crepes Salados,8.1,"""Mediterráneo""","""Avenida de Brasil","""geo"":{""latitude"":40.456630807574,""longitude"":-3.69323992729187",Cre-Cotte
8,8,MenuItem,"Hortelana ( bechamel, ajetes, espárragos trigueros, setas, mozarella y pimiento morrón )",Offer,9.3,EUR,Crepes Salados,8.1,"""Mediterráneo""","""Avenida de Brasil","""geo"":{""latitude"":40.456630807574,""longitude"":-3.69323992729187",Cre-Cotte
9,9,MenuItem,"Cabrales ( jamón cocido, queso cabrales, champiñón y queso gruyère )",Offer,9.8,EUR,Crepes Salados,8.1,"""Mediterráneo""","""Avenida de Brasil","""geo"":{""latitude"":40.456630807574,""longitude"":-3.69323992729187",Cre-Cotte
10,10,MenuItem,"Bretona ( lechuga, cangrejo, gambas, pollo y salsa rosa )",Offer,9.8,EUR,Crepes Salados,8.1,"""Mediterráneo""","""Avenida de Brasil","""geo"":{""latitude"":40.456630807574,""longitude"":-3.69323992729187",Cre-Cotte
11,11,MenuItem,"Tarantela ( carne, jamón cocido, bechamel, queso gruyère y tomate )",Offer,9.8,EUR,Crepes Salados,8.1,"""Mediterráneo""","""Avenida de Brasil","""geo"":{""latitude"":40.456630807574,""longitude"":-3.69323992729187",Cre-Cotte
12,12,MenuItem,"Parmesana ( bechamel, setas, bacon, queso parmesano y lomo )",Offer,9.8,EUR,Crepes Salados,8.1,"""Mediterráneo""","""Avenida de Brasil","""geo"":{""latitude"":40.456630807574,""longitude"":-3.69323992729187",Cre-Cotte
13,13,MenuItem,"Barbacoa ( Carne, pollo , maiz, bacon, queso y salsa barbacoa )",Offer,9.8,EUR,Crepes Salados,8.1,"""Mediterráneo""","""Avenida de Brasil","""geo"":{""latitude"":40.456630807574,""longitude"":-3.69323992729187",Cre-Cotte
14,14,MenuItem,"Abuela ( espinacas, bechamel, pasas, nueces y queso de cabra )",Offer,9.8,EUR,Crepes Salados,8.1,"""Mediterráneo""","""Avenida de Brasil","""geo"":{""latitude"":40.456630807574,""longitude"":-3.69323992729187",Cre-Cotte
15,15,MenuItem,"Ibérica ( Solomillo de buey , bechamel, cebolla caramelizada y parmesano )",Offer,10.0,EUR,Crepes Salados,8.1,"""Mediterráneo""","""Avenida de Brasil","""geo"":{""latitude"":40.456630807574,""longitude"":-3.69323992729187",Cre-Cotte
16,16,MenuItem,"Caprichosa ( salmón ahumado, anchoas, palometa y caviar )",Offer,10.2,EUR,Crepes Salados,8.1,"""Mediterráneo""","""Avenida de Brasil","""geo"":{""latitude"":40.456630807574,""longitude"":-3.69323992729187",Cre-Cotte
