,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,ROLLITOS de magret de pato dorados en su punto,Offer,7.5,EUR,SNACKS PARA PICAR,8.7,"""Japonés""","""Calle de Sor Ángela de la Cruz","""geo"":{""latitude"":40.4597422,""longitude"":-3.6950108",Duck & Sushi
1,1,MenuItem,ROLLITOS de langostino con tiras de seta y bambú,Offer,7.8,EUR,SNACKS PARA PICAR,8.7,"""Japonés""","""Calle de Sor Ángela de la Cruz","""geo"":{""latitude"":40.4597422,""longitude"":-3.6950108",Duck & Sushi
2,2,MenuItem,ALITAS DE POLLO (4 uds) crujientes con miel y sésamo,Offer,6.8,EUR,SNACKS PARA PICAR,8.7,"""Japonés""","""Calle de Sor Ángela de la Cruz","""geo"":{""latitude"":40.4597422,""longitude"":-3.6950108",Duck & Sushi
3,3,MenuItem,PALOMITAS DE LANGOSTINOS en tempura con mayonesa de chili dulce,Offer,8.6,EUR,SNACKS PARA PICAR,8.7,"""Japonés""","""Calle de Sor Ángela de la Cruz","""geo"":{""latitude"":40.4597422,""longitude"":-3.6950108",Duck & Sushi
4,4,MenuItem,EDAMAME vainas de soja al vapor con escamas de sal rosa,Offer,6.8,EUR,SNACKS PARA PICAR,8.7,"""Japonés""","""Calle de Sor Ángela de la Cruz","""geo"":{""latitude"":40.4597422,""longitude"":-3.6950108",Duck & Sushi
5,5,MenuItem,YAKITORI ROBATA de pollo/solomillo/langostinos/setas,Offer,7.5,EUR,SNACKS PARA PICAR,8.7,"""Japonés""","""Calle de Sor Ángela de la Cruz","""geo"":{""latitude"":40.4597422,""longitude"":-3.6950108",Duck & Sushi
6,6,MenuItem,TOSTADAS de arroz japonés crujiente con atún ligeramente picante,Offer,7.5,EUR,SNACKS PARA PICAR,8.7,"""Japonés""","""Calle de Sor Ángela de la Cruz","""geo"":{""latitude"":40.4597422,""longitude"":-3.6950108",Duck & Sushi
7,7,MenuItem,CRAG RANGOON (4 uds) raviolis crujientes rellenos de queso crema con cangrejo,Offer,7.8,EUR,SNACKS PARA PICAR,8.7,"""Japonés""","""Calle de Sor Ángela de la Cruz","""geo"":{""latitude"":40.4597422,""longitude"":-3.6950108",Duck & Sushi
8,8,MenuItem,TEMPURA de langostinos tigre y verduras variadas con salsa tártara,Offer,11.8,EUR,SNACKS PARA PICAR,8.7,"""Japonés""","""Calle de Sor Ángela de la Cruz","""geo"":{""latitude"":40.4597422,""longitude"":-3.6950108",Duck & Sushi
9,9,MenuItem,TEMPURA de mariscos variados,Offer,16.8,EUR,SNACKS PARA PICAR,8.7,"""Japonés""","""Calle de Sor Ángela de la Cruz","""geo"":{""latitude"":40.4597422,""longitude"":-3.6950108",Duck & Sushi
