,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,Tabla de quesos,Offer,6.0,EUR,Platos,9,"""Internacional""","""Calle de Vallehermoso","""geo"":{""latitude"":40.4341194,""longitude"":-3.7081906",EGGO - Mercado de Vallehe...
1,1,MenuItem,Ensalada de aguacate y huevo a baja temperatura,Offer,8.0,EUR,Platos,9,"""Internacional""","""Calle de Vallehermoso","""geo"":{""latitude"":40.4341194,""longitude"":-3.7081906",EGGO - Mercado de Vallehe...
2,2,MenuItem,Tartar japo-castizo,Offer,9.0,EUR,Platos,9,"""Internacional""","""Calle de Vallehermoso","""geo"":{""latitude"":40.4341194,""longitude"":-3.7081906",EGGO - Mercado de Vallehe...
3,3,MenuItem,"Huevos rotos, pero sin romper",Offer,7.0,EUR,Platos,9,"""Internacional""","""Calle de Vallehermoso","""geo"":{""latitude"":40.4341194,""longitude"":-3.7081906",EGGO - Mercado de Vallehe...
4,4,MenuItem,Tortilla de patata ecológica (Entera),Offer,16.0,EUR,Platos,9,"""Internacional""","""Calle de Vallehermoso","""geo"":{""latitude"":40.4341194,""longitude"":-3.7081906",EGGO - Mercado de Vallehe...
5,5,MenuItem,Tortilla de patata ecológica (Porción),Offer,3.0,EUR,Platos,9,"""Internacional""","""Calle de Vallehermoso","""geo"":{""latitude"":40.4341194,""longitude"":-3.7081906",EGGO - Mercado de Vallehe...
6,6,MenuItem,Tortilla de patata ecológica (Individual),Offer,5.0,EUR,Platos,9,"""Internacional""","""Calle de Vallehermoso","""geo"":{""latitude"":40.4341194,""longitude"":-3.7081906",EGGO - Mercado de Vallehe...
7,7,MenuItem,Tostas de huevo a baja temperatura,Offer,4.0,EUR,Platos,9,"""Internacional""","""Calle de Vallehermoso","""geo"":{""latitude"":40.4341194,""longitude"":-3.7081906",EGGO - Mercado de Vallehe...
8,8,MenuItem,Tostas de huevo a baja temperatura,Offer,7.0,EUR,Platos,9,"""Internacional""","""Calle de Vallehermoso","""geo"":{""latitude"":40.4341194,""longitude"":-3.7081906",EGGO - Mercado de Vallehe...
9,9,MenuItem,Huevo escocés,Offer,6.0,EUR,Platos,9,"""Internacional""","""Calle de Vallehermoso","""geo"":{""latitude"":40.4341194,""longitude"":-3.7081906",EGGO - Mercado de Vallehe...
10,10,MenuItem,Croquetas caseras de huevo y jamón ibérico o de cocido,Offer,4.0,EUR,Platos,9,"""Internacional""","""Calle de Vallehermoso","""geo"":{""latitude"":40.4341194,""longitude"":-3.7081906",EGGO - Mercado de Vallehe...
11,11,MenuItem,Cremoso de gulas,Offer,8.0,EUR,Platos,9,"""Internacional""","""Calle de Vallehermoso","""geo"":{""latitude"":40.4341194,""longitude"":-3.7081906",EGGO - Mercado de Vallehe...
12,12,MenuItem,Cremoso revuelto de morcilla,Offer,5.0,EUR,Platos,9,"""Internacional""","""Calle de Vallehermoso","""geo"":{""latitude"":40.4341194,""longitude"":-3.7081906",EGGO - Mercado de Vallehe...
13,13,MenuItem,Más huevos...!!!,,,,Platos,9,"""Internacional""","""Calle de Vallehermoso","""geo"":{""latitude"":40.4341194,""longitude"":-3.7081906",EGGO - Mercado de Vallehe...
