,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,Patatas bravas hojaldradas,Offer,8.0,EUR,Raciones y más,9,"""Madrileño""","""Plaza de Tirso de Molina","""geo"":{""latitude"":40.4121355,""longitude"":-3.7041618",El 5 de Tirso
1,1,MenuItem,Ensaladilla rusa cremosa,Offer,8.5,EUR,Raciones y más,9,"""Madrileño""","""Plaza de Tirso de Molina","""geo"":{""latitude"":40.4121355,""longitude"":-3.7041618",El 5 de Tirso
2,2,MenuItem,Nuestros torreznos,Offer,6.5,EUR,Raciones y más,9,"""Madrileño""","""Plaza de Tirso de Molina","""geo"":{""latitude"":40.4121355,""longitude"":-3.7041618",El 5 de Tirso
3,3,MenuItem,Croquetas fetén,Offer,8.5,EUR,Raciones y más,9,"""Madrileño""","""Plaza de Tirso de Molina","""geo"":{""latitude"":40.4121355,""longitude"":-3.7041618",El 5 de Tirso
4,4,MenuItem,Burrata de Puglia con tomate asado y pesto,Offer,13.0,EUR,Raciones y más,9,"""Madrileño""","""Plaza de Tirso de Molina","""geo"":{""latitude"":40.4121355,""longitude"":-3.7041618",El 5 de Tirso
5,5,MenuItem,"Tortilla mini, cuajada al momento",Offer,8.0,EUR,Raciones y más,9,"""Madrileño""","""Plaza de Tirso de Molina","""geo"":{""latitude"":40.4121355,""longitude"":-3.7041618",El 5 de Tirso
6,6,MenuItem,Huevos rotos: trufados o con jamón ibérico,Offer,10.5,EUR,Raciones y más,9,"""Madrileño""","""Plaza de Tirso de Molina","""geo"":{""latitude"":40.4121355,""longitude"":-3.7041618",El 5 de Tirso
7,7,MenuItem,Salmorejo con helado de queso de cabra,Offer,8.0,EUR,Raciones y más,9,"""Madrileño""","""Plaza de Tirso de Molina","""geo"":{""latitude"":40.4121355,""longitude"":-3.7041618",El 5 de Tirso
8,8,MenuItem,Setas crujientes con alioli,Offer,8.5,EUR,Raciones y más,9,"""Madrileño""","""Plaza de Tirso de Molina","""geo"":{""latitude"":40.4121355,""longitude"":-3.7041618",El 5 de Tirso
9,9,MenuItem,"Tomate, ventresca y pimientos asados",Offer,14.0,EUR,Raciones y más,9,"""Madrileño""","""Plaza de Tirso de Molina","""geo"":{""latitude"":40.4121355,""longitude"":-3.7041618",El 5 de Tirso
