,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,Takoyaki,Offer,7.5,EUR,Entrante,7.9,"""Japonés""","""Calle de Carranza","""geo"":{""latitude"":40.429374,""longitude"":-3.7032569",El Japo - Carranza
1,1,MenuItem,Japotinos,Offer,8.5,EUR,Entrante,7.9,"""Japonés""","""Calle de Carranza","""geo"":{""latitude"":40.429374,""longitude"":-3.7032569",El Japo - Carranza
2,2,MenuItem,Bombones,Offer,8.5,EUR,Entrante,7.9,"""Japonés""","""Calle de Carranza","""geo"":{""latitude"":40.429374,""longitude"":-3.7032569",El Japo - Carranza
3,3,MenuItem,Sushipizza,Offer,6.95,EUR,Entrante,7.9,"""Japonés""","""Calle de Carranza","""geo"":{""latitude"":40.429374,""longitude"":-3.7032569",El Japo - Carranza
4,4,MenuItem,Korquetas,Offer,6.95,EUR,Entrante,7.9,"""Japonés""","""Calle de Carranza","""geo"":{""latitude"":40.429374,""longitude"":-3.7032569",El Japo - Carranza
5,5,MenuItem,Ensalada Neptun,Offer,9.9,EUR,Entrante,7.9,"""Japonés""","""Calle de Carranza","""geo"":{""latitude"":40.429374,""longitude"":-3.7032569",El Japo - Carranza
6,6,MenuItem,Ensalada Wakame,Offer,5.9,EUR,Entrante,7.9,"""Japonés""","""Calle de Carranza","""geo"":{""latitude"":40.429374,""longitude"":-3.7032569",El Japo - Carranza
7,7,MenuItem,Ensalada Dinamita,Offer,6.9,EUR,Entrante,7.9,"""Japonés""","""Calle de Carranza","""geo"":{""latitude"":40.429374,""longitude"":-3.7032569",El Japo - Carranza
8,8,MenuItem,Ensalada Papadum,Offer,9.9,EUR,Entrante,7.9,"""Japonés""","""Calle de Carranza","""geo"":{""latitude"":40.429374,""longitude"":-3.7032569",El Japo - Carranza
9,9,MenuItem,Gyozas mixtas (10 unidades),Offer,10.95,EUR,Entrante,7.9,"""Japonés""","""Calle de Carranza","""geo"":{""latitude"":40.429374,""longitude"":-3.7032569",El Japo - Carranza
