,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,"El jamón, el pan y el tomate",Offer,26,EUR,Para empezar,9,"""Mediterráneo""","""Calle de Miguel Angel","""geo"":{""latitude"":40.437529,""longitude"":-3.69137",El Jardín del Miguel Angel
1,1,MenuItem,"Foie de pato, manzana caramelizada y esferificación de frutos rojos",Offer,20,EUR,Para empezar,9,"""Mediterráneo""","""Calle de Miguel Angel","""geo"":{""latitude"":40.437529,""longitude"":-3.69137",El Jardín del Miguel Angel
2,2,MenuItem,"Salmón ahumado, tzatziqui y blinis",Offer,17,EUR,Para empezar,9,"""Mediterráneo""","""Calle de Miguel Angel","""geo"":{""latitude"":40.437529,""longitude"":-3.69137",El Jardín del Miguel Angel
3,3,MenuItem,"Emulsión de tomate y pimientos, brandada de bacalao y patatas hilo",Offer,17,EUR,Para empezar,9,"""Mediterráneo""","""Calle de Miguel Angel","""geo"":{""latitude"":40.437529,""longitude"":-3.69137",El Jardín del Miguel Angel
4,4,MenuItem,Chipironcitos a la plancha y mayonesa con ligero aroma picante,Offer,18,EUR,Para empezar,9,"""Mediterráneo""","""Calle de Miguel Angel","""geo"":{""latitude"":40.437529,""longitude"":-3.69137",El Jardín del Miguel Angel
5,5,MenuItem,"Tartar de gambas, salsa kimchee, jengibre y guacamole",Offer,20,EUR,Para empezar,9,"""Mediterráneo""","""Calle de Miguel Angel","""geo"":{""latitude"":40.437529,""longitude"":-3.69137",El Jardín del Miguel Angel
6,6,MenuItem,"Croquetas de jamón y setas, chips de yuca, paprika",Offer,16,EUR,Para empezar,9,"""Mediterráneo""","""Calle de Miguel Angel","""geo"":{""latitude"":40.437529,""longitude"":-3.69137",El Jardín del Miguel Angel
7,7,MenuItem,Nuestra idea de ensaladilla rusa con atún rojo en escabeche templado,Offer,18,EUR,Para empezar,9,"""Mediterráneo""","""Calle de Miguel Angel","""geo"":{""latitude"":40.437529,""longitude"":-3.69137",El Jardín del Miguel Angel
8,8,MenuItem,Samosas de ternera y curry con salsa yogurt,Offer,17,EUR,Para empezar,9,"""Mediterráneo""","""Calle de Miguel Angel","""geo"":{""latitude"":40.437529,""longitude"":-3.69137",El Jardín del Miguel Angel
9,9,MenuItem,"Pan bao, cochinita pibil, crudités y licuado de manzana y apio",Offer,18,EUR,Para empezar,9,"""Mediterráneo""","""Calle de Miguel Angel","""geo"":{""latitude"":40.437529,""longitude"":-3.69137",El Jardín del Miguel Angel
