,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,Pastel de bacalao,Offer,8.95,EUR,Entrante,9.5,"""Africano""","""C","""geo"":{""latitude"":40.417280448988,""longitude"":-3.7100698947906",El Mandela
1,1,MenuItem,Alitas de pollo a la africana,Offer,7.5,EUR,Entrante,9.5,"""Africano""","""C","""geo"":{""latitude"":40.417280448988,""longitude"":-3.7100698947906",El Mandela
2,2,MenuItem,Koki,Offer,8.5,EUR,Entrante,9.5,"""Africano""","""C","""geo"":{""latitude"":40.417280448988,""longitude"":-3.7100698947906",El Mandela
3,3,MenuItem,Croquetas de cebra y papaya (6 uds),Offer,10.5,EUR,Entrante,9.5,"""Africano""","""C","""geo"":{""latitude"":40.417280448988,""longitude"":-3.7100698947906",El Mandela
4,4,MenuItem,Croquetas de cocodrilo y mango (6uds),Offer,10.5,EUR,Entrante,9.5,"""Africano""","""C","""geo"":{""latitude"":40.417280448988,""longitude"":-3.7100698947906",El Mandela
5,5,MenuItem,Croquetas de brócoli,Offer,9.5,EUR,Entrante,9.5,"""Africano""","""C","""geo"":{""latitude"":40.417280448988,""longitude"":-3.7100698947906",El Mandela
6,6,MenuItem,Carpaccio de cebra,Offer,11.0,EUR,Entrante,9.5,"""Africano""","""C","""geo"":{""latitude"":40.417280448988,""longitude"":-3.7100698947906",El Mandela
7,7,MenuItem,Carpaccio de camello,Offer,11.0,EUR,Entrante,9.5,"""Africano""","""C","""geo"":{""latitude"":40.417280448988,""longitude"":-3.7100698947906",El Mandela
8,8,MenuItem,Carpaccio de bufalo,Offer,11.95,EUR,Entrante,9.5,"""Africano""","""C","""geo"":{""latitude"":40.417280448988,""longitude"":-3.7100698947906",El Mandela
9,9,MenuItem,Carpaccio de avestruz,Offer,11.95,EUR,Entrante,9.5,"""Africano""","""C","""geo"":{""latitude"":40.417280448988,""longitude"":-3.7100698947906",El Mandela
10,10,MenuItem,Carpaccio cocodrilo,Offer,12.95,EUR,Entrante,9.5,"""Africano""","""C","""geo"":{""latitude"":40.417280448988,""longitude"":-3.7100698947906",El Mandela
