,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,Alitas de pollo con mayonesa de miel y mostaza,Offer,6.0,EUR,Raciones,8.5,"""Español""","""Av","""geo"":{""latitude"":40.4522796,""longitude"":-3.7100331",El Punto
1,1,MenuItem,Croquetas de jamón. (5 und),Offer,5.0,EUR,Raciones,8.5,"""Español""","""Av","""geo"":{""latitude"":40.4522796,""longitude"":-3.7100331",El Punto
2,2,MenuItem,Nachos con guacamole y queso,Offer,6.5,EUR,Raciones,8.5,"""Español""","""Av","""geo"":{""latitude"":40.4522796,""longitude"":-3.7100331",El Punto
3,3,MenuItem,Nachos con guacamole y queso,Offer,3.0,EUR,Raciones,8.5,"""Español""","""Av","""geo"":{""latitude"":40.4522796,""longitude"":-3.7100331",El Punto
4,4,MenuItem,Huevos rotos,Offer,5.0,EUR,Raciones,8.5,"""Español""","""Av","""geo"":{""latitude"":40.4522796,""longitude"":-3.7100331",El Punto
5,5,MenuItem,Hamburguesas: Clásica,Offer,5.0,EUR,Raciones,8.5,"""Español""","""Av","""geo"":{""latitude"":40.4522796,""longitude"":-3.7100331",El Punto
6,6,MenuItem,Hamburguesas: Vegana,Offer,5.0,EUR,Raciones,8.5,"""Español""","""Av","""geo"":{""latitude"":40.4522796,""longitude"":-3.7100331",El Punto
7,7,MenuItem,Hamburguesas: El punto,Offer,6.0,EUR,Raciones,8.5,"""Español""","""Av","""geo"":{""latitude"":40.4522796,""longitude"":-3.7100331",El Punto
8,8,MenuItem,Tacos de cerdo con guacamole y salsa picante,Offer,5.0,EUR,Raciones,8.5,"""Español""","""Av","""geo"":{""latitude"":40.4522796,""longitude"":-3.7100331",El Punto
9,9,MenuItem,Perrito caliente,Offer,3.0,EUR,Raciones,8.5,"""Español""","""Av","""geo"":{""latitude"":40.4522796,""longitude"":-3.7100331",El Punto
10,10,MenuItem,Quesadillas de pollo con queso y pimientos,Offer,3.5,EUR,Raciones,8.5,"""Español""","""Av","""geo"":{""latitude"":40.4522796,""longitude"":-3.7100331",El Punto
