,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,Flores de alcachofa con sal maldon y crujiente de jamón,Offer,12.0,EUR,Entradas,8.9,"""Argentino""","""Calle Federico Mompou","""geo"":{""latitude"":40.5108522,""longitude"":-3.6788826",El Taller de La Churrasquita
1,1,MenuItem,Flores de alcachofa con sal maldon y crujiente de jamón (media ración),Offer,6.0,EUR,Entradas,8.9,"""Argentino""","""Calle Federico Mompou","""geo"":{""latitude"":40.5108522,""longitude"":-3.6788826",El Taller de La Churrasquita
2,2,MenuItem,Tempura de berenjenas con miel y ali oli,Offer,12.0,EUR,Entradas,8.9,"""Argentino""","""Calle Federico Mompou","""geo"":{""latitude"":40.5108522,""longitude"":-3.6788826",El Taller de La Churrasquita
3,3,MenuItem,Tempura de berenjenas con miel y ali oli (media ración),Offer,6.0,EUR,Entradas,8.9,"""Argentino""","""Calle Federico Mompou","""geo"":{""latitude"":40.5108522,""longitude"":-3.6788826",El Taller de La Churrasquita
4,4,MenuItem,Pimientos del piquillo rellenos de bacalao y puerro confitado,Offer,5.0,EUR,Entradas,8.9,"""Argentino""","""Calle Federico Mompou","""geo"":{""latitude"":40.5108522,""longitude"":-3.6788826",El Taller de La Churrasquita
5,5,MenuItem,Pimientos del piquillo rellenos de bacalao y puerro confitado,Offer,10.0,EUR,Entradas,8.9,"""Argentino""","""Calle Federico Mompou","""geo"":{""latitude"":40.5108522,""longitude"":-3.6788826",El Taller de La Churrasquita
6,6,MenuItem,Croquetas de jamón ibérico (6 unidades),Offer,8.5,EUR,Entradas,8.9,"""Argentino""","""Calle Federico Mompou","""geo"":{""latitude"":40.5108522,""longitude"":-3.6788826",El Taller de La Churrasquita
7,7,MenuItem,Tartar de salmón con aguacate y salsa kimchee,Offer,12.0,EUR,Entradas,8.9,"""Argentino""","""Calle Federico Mompou","""geo"":{""latitude"":40.5108522,""longitude"":-3.6788826",El Taller de La Churrasquita
8,8,MenuItem,Pulpo a la gallega,Offer,16.0,EUR,Entradas,8.9,"""Argentino""","""Calle Federico Mompou","""geo"":{""latitude"":40.5108522,""longitude"":-3.6788826",El Taller de La Churrasquita
9,9,MenuItem,Empanada criolla de carne,Offer,2.8,EUR,Entradas,8.9,"""Argentino""","""Calle Federico Mompou","""geo"":{""latitude"":40.5108522,""longitude"":-3.6788826",El Taller de La Churrasquita
10,10,MenuItem,Provoleta,Offer,8.0,EUR,Entradas,8.9,"""Argentino""","""Calle Federico Mompou","""geo"":{""latitude"":40.5108522,""longitude"":-3.6788826",El Taller de La Churrasquita
11,11,MenuItem,Huevos rotos con jamón,Offer,9.5,EUR,Entradas,8.9,"""Argentino""","""Calle Federico Mompou","""geo"":{""latitude"":40.5108522,""longitude"":-3.6788826",El Taller de La Churrasquita
12,12,MenuItem,Chorizo criollo,Offer,2.9,EUR,Entradas,8.9,"""Argentino""","""Calle Federico Mompou","""geo"":{""latitude"":40.5108522,""longitude"":-3.6788826",El Taller de La Churrasquita
13,13,MenuItem,Morcilla criolla,Offer,2.9,EUR,Entradas,8.9,"""Argentino""","""Calle Federico Mompou","""geo"":{""latitude"":40.5108522,""longitude"":-3.6788826",El Taller de La Churrasquita
