,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,Pimientos rellenos de marisco,Offer,18.0,EUR,Entrante,9.5,"""Marisquería""","""C","""geo"":{""latitude"":40.387007,""longitude"":-3.758082",El Timón Del Terraza
1,1,MenuItem,Foie de pato y verduras,Offer,18.0,EUR,Entrante,9.5,"""Marisquería""","""C","""geo"":{""latitude"":40.387007,""longitude"":-3.758082",El Timón Del Terraza
2,2,MenuItem,Ensalada templada de bacalao,Offer,18.0,EUR,Entrante,9.5,"""Marisquería""","""C","""geo"":{""latitude"":40.387007,""longitude"":-3.758082",El Timón Del Terraza
3,3,MenuItem,Parrillada de Verduras,Offer,16.0,EUR,Entrante,9.5,"""Marisquería""","""C","""geo"":{""latitude"":40.387007,""longitude"":-3.758082",El Timón Del Terraza
4,4,MenuItem,Pulpo Gallega,Offer,19.0,EUR,Entrante,9.5,"""Marisquería""","""C","""geo"":{""latitude"":40.387007,""longitude"":-3.758082",El Timón Del Terraza
5,5,MenuItem,Calamares,Offer,14.0,EUR,Entrante,9.5,"""Marisquería""","""C","""geo"":{""latitude"":40.387007,""longitude"":-3.758082",El Timón Del Terraza
6,6,MenuItem,Chopitos,Offer,14.0,EUR,Entrante,9.5,"""Marisquería""","""C","""geo"":{""latitude"":40.387007,""longitude"":-3.758082",El Timón Del Terraza
7,7,MenuItem,Sepia,Offer,16.0,EUR,Entrante,9.5,"""Marisquería""","""C","""geo"":{""latitude"":40.387007,""longitude"":-3.758082",El Timón Del Terraza
8,8,MenuItem,Bienmesabe,Offer,14.0,EUR,Entrante,9.5,"""Marisquería""","""C","""geo"":{""latitude"":40.387007,""longitude"":-3.758082",El Timón Del Terraza
9,9,MenuItem,Oreja,Offer,13.0,EUR,Entrante,9.5,"""Marisquería""","""C","""geo"":{""latitude"":40.387007,""longitude"":-3.758082",El Timón Del Terraza
10,10,MenuItem,Mollejas de Cordero,Offer,18.0,EUR,Entrante,9.5,"""Marisquería""","""C","""geo"":{""latitude"":40.387007,""longitude"":-3.758082",El Timón Del Terraza
11,11,MenuItem,Croquetas de Rabo de Toro con Chocolate,Offer,3.5,EUR,Entrante,9.5,"""Marisquería""","""C","""geo"":{""latitude"":40.387007,""longitude"":-3.758082",El Timón Del Terraza
