,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,Choricillos al estilo gallego a la sidra (tapa),Offer,5.9,EUR,Tapas y raciones,8.8,"""Mediterráneo""","""Plaza Mayor","""geo"":{""latitude"":40.4149274,""longitude"":-3.7079592",Gustos Madrid Plaza Mayor
1,1,MenuItem,Alitas de pollo aliñadas con hierbas aromáticas (tapa),Offer,7.9,EUR,Tapas y raciones,8.8,"""Mediterráneo""","""Plaza Mayor","""geo"":{""latitude"":40.4149274,""longitude"":-3.7079592",Gustos Madrid Plaza Mayor
2,2,MenuItem,Pulpo a la gallega (ración),Offer,19.0,EUR,Tapas y raciones,8.8,"""Mediterráneo""","""Plaza Mayor","""geo"":{""latitude"":40.4149274,""longitude"":-3.7079592",Gustos Madrid Plaza Mayor
3,3,MenuItem,Nuestras bravas picantes con mayonesa y salsa brava (ración),Offer,13.5,EUR,Tapas y raciones,8.8,"""Mediterráneo""","""Plaza Mayor","""geo"":{""latitude"":40.4149274,""longitude"":-3.7079592",Gustos Madrid Plaza Mayor
4,4,MenuItem,Anchoas del cantábrico con aceite de oliva y pan tostado con tomate,Offer,12.9,EUR,Tapas y raciones,8.8,"""Mediterráneo""","""Plaza Mayor","""geo"":{""latitude"":40.4149274,""longitude"":-3.7079592",Gustos Madrid Plaza Mayor
5,5,MenuItem,"Jamón especial Segovia (100gr) y pan tostado con tomate, aceite d eoliva y sal (ración)",Offer,19.0,EUR,Tapas y raciones,8.8,"""Mediterráneo""","""Plaza Mayor","""geo"":{""latitude"":40.4149274,""longitude"":-3.7079592",Gustos Madrid Plaza Mayor
6,6,MenuItem,Mejillones gallegos con nuestra exquisita salsa marinera (ración),Offer,17.0,EUR,Tapas y raciones,8.8,"""Mediterráneo""","""Plaza Mayor","""geo"":{""latitude"":40.4149274,""longitude"":-3.7079592",Gustos Madrid Plaza Mayor
7,7,MenuItem,Champiñones al ajillo (ración),Offer,7.0,EUR,Tapas y raciones,8.8,"""Mediterráneo""","""Plaza Mayor","""geo"":{""latitude"":40.4149274,""longitude"":-3.7079592",Gustos Madrid Plaza Mayor
8,8,MenuItem,"Tradicionales gambas al ajillo, al estilo marinero con un toque picante (ración)",Offer,18.0,EUR,Tapas y raciones,8.8,"""Mediterráneo""","""Plaza Mayor","""geo"":{""latitude"":40.4149274,""longitude"":-3.7079592",Gustos Madrid Plaza Mayor
9,9,MenuItem,Boquerones en vinagre y pan tostado con tomate (tapa),Offer,10.5,EUR,Tapas y raciones,8.8,"""Mediterráneo""","""Plaza Mayor","""geo"":{""latitude"":40.4149274,""longitude"":-3.7079592",Gustos Madrid Plaza Mayor
10,10,MenuItem,Queso manchego curado reserva (ración),Offer,18.5,EUR,Tapas y raciones,8.8,"""Mediterráneo""","""Plaza Mayor","""geo"":{""latitude"":40.4149274,""longitude"":-3.7079592",Gustos Madrid Plaza Mayor
11,11,MenuItem,Tortilla artesana de patatas y cebolla acompañada con pan con tomate (ración),Offer,6.5,EUR,Tapas y raciones,8.8,"""Mediterráneo""","""Plaza Mayor","""geo"":{""latitude"":40.4149274,""longitude"":-3.7079592",Gustos Madrid Plaza Mayor
12,12,MenuItem,Calamares a la andaluza (ración),Offer,15.0,EUR,Tapas y raciones,8.8,"""Mediterráneo""","""Plaza Mayor","""geo"":{""latitude"":40.4149274,""longitude"":-3.7079592",Gustos Madrid Plaza Mayor
13,13,MenuItem,"Pan de coca tostado con tomate, aceite de oliva y sal (ración)",Offer,4.0,EUR,Tapas y raciones,8.8,"""Mediterráneo""","""Plaza Mayor","""geo"":{""latitude"":40.4149274,""longitude"":-3.7079592",Gustos Madrid Plaza Mayor
