,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,Jamón ibérico puro de bellota con pan con tomate,Offer,28,EUR,Entrantes,9,"""Creativo""","""Calle de Diego de León","""geo"":{""latitude"":40.434877,""longitude"":-3.6789438",Haroma por Mario Sandoval...
1,1,MenuItem,"Capuchino de patata, huevo y espuma de trufa",Offer,21,EUR,Entrantes,9,"""Creativo""","""Calle de Diego de León","""geo"":{""latitude"":40.434877,""longitude"":-3.6789438",Haroma por Mario Sandoval...
2,2,MenuItem,Panaché de verduras de temporada con puré de apio nabo y brotes orgánico,Offer,16,EUR,Entrantes,9,"""Creativo""","""Calle de Diego de León","""geo"":{""latitude"":40.434877,""longitude"":-3.6789438",Haroma por Mario Sandoval...
3,3,MenuItem,Pulpo a la brasa con mojo verde y mahonesa tikka masala,Offer,26,EUR,Entrantes,9,"""Creativo""","""Calle de Diego de León","""geo"":{""latitude"":40.434877,""longitude"":-3.6789438",Haroma por Mario Sandoval...
4,4,MenuItem,Ravioli de crustáceo y verduritas con salsa de champagne y azafrán,Offer,18,EUR,Entrantes,9,"""Creativo""","""Calle de Diego de León","""geo"":{""latitude"":40.434877,""longitude"":-3.6789438",Haroma por Mario Sandoval...
5,5,MenuItem,Tartar de bogavante con jugo de sus cabezas y encurtidos,Offer,22,EUR,Entrantes,9,"""Creativo""","""Calle de Diego de León","""geo"":{""latitude"":40.434877,""longitude"":-3.6789438",Haroma por Mario Sandoval...
6,6,MenuItem,Rabo de toro Estofado con yema a baja temperatura y encurtidos,Offer,21,EUR,Entrantes,9,"""Creativo""","""Calle de Diego de León","""geo"":{""latitude"":40.434877,""longitude"":-3.6789438",Haroma por Mario Sandoval...
7,7,MenuItem,"Emulsión de gachas con papada Ibérica, repollo y huevas de arenque",Offer,18,EUR,Entrantes,9,"""Creativo""","""Calle de Diego de León","""geo"":{""latitude"":40.434877,""longitude"":-3.6789438",Haroma por Mario Sandoval...
8,8,MenuItem,Arroz meloso de codorniz con trompetilla y ceniza de boletus,Offer,18,EUR,Entrantes,9,"""Creativo""","""Calle de Diego de León","""geo"":{""latitude"":40.434877,""longitude"":-3.6789438",Haroma por Mario Sandoval...
9,9,MenuItem,"Guiso de setas de temporada con trufa, yema de huevo poché y foie",Offer,21,EUR,Entrantes,9,"""Creativo""","""Calle de Diego de León","""geo"":{""latitude"":40.434877,""longitude"":-3.6789438",Haroma por Mario Sandoval...
10,10,MenuItem,Ensalada de perdiz escabechada con verduras y canónigos,Offer,20,EUR,Entrantes,9,"""Creativo""","""Calle de Diego de León","""geo"":{""latitude"":40.434877,""longitude"":-3.6789438",Haroma por Mario Sandoval...
11,11,MenuItem,Bullabesa de pescado y moluscos gallegos,Offer,22,EUR,Entrantes,9,"""Creativo""","""Calle de Diego de León","""geo"":{""latitude"":40.434877,""longitude"":-3.6789438",Haroma por Mario Sandoval...
12,12,MenuItem,Caviar Osetra y su guarnición 20 g SM,Offer,78,EUR,Entrantes,9,"""Creativo""","""Calle de Diego de León","""geo"":{""latitude"":40.434877,""longitude"":-3.6789438",Haroma por Mario Sandoval...
