,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,Pimientos del piquillo rellenos de cangrejo,Offer,9.0,EUR,Nuestros primeros,None,"""Mediterráneo""","""Av","""geo"":{""latitude"":40.4380805,""longitude"":-3.6633168",Healthy Gourmet by Reto 48
1,1,MenuItem,Quiche,Offer,9.0,EUR,Nuestros primeros,None,"""Mediterráneo""","""Av","""geo"":{""latitude"":40.4380805,""longitude"":-3.6633168",Healthy Gourmet by Reto 48
2,2,MenuItem,Carpaccio de remolacha con bonito,Offer,6.0,EUR,Nuestros primeros,None,"""Mediterráneo""","""Av","""geo"":{""latitude"":40.4380805,""longitude"":-3.6633168",Healthy Gourmet by Reto 48
3,3,MenuItem,Torre de tomate con queso,Offer,5.5,EUR,Nuestros primeros,None,"""Mediterráneo""","""Av","""geo"":{""latitude"":40.4380805,""longitude"":-3.6633168",Healthy Gourmet by Reto 48
4,4,MenuItem,Volaván de atún,Offer,6.0,EUR,Nuestros primeros,None,"""Mediterráneo""","""Av","""geo"":{""latitude"":40.4380805,""longitude"":-3.6633168",Healthy Gourmet by Reto 48
5,5,MenuItem,Ensalada de rúcula y queso parmesano,Offer,4.5,EUR,Nuestros primeros,None,"""Mediterráneo""","""Av","""geo"":{""latitude"":40.4380805,""longitude"":-3.6633168",Healthy Gourmet by Reto 48
6,6,MenuItem,"Ensalada de queso de cabra, espinaca, nueces y fruta de temporada",Offer,5.5,EUR,Nuestros primeros,None,"""Mediterráneo""","""Av","""geo"":{""latitude"":40.4380805,""longitude"":-3.6633168",Healthy Gourmet by Reto 48
7,7,MenuItem,Pastel de verduras,Offer,6.0,EUR,Nuestros primeros,None,"""Mediterráneo""","""Av","""geo"":{""latitude"":40.4380805,""longitude"":-3.6633168",Healthy Gourmet by Reto 48
8,8,MenuItem,Pastel de espinacas en cama de salsa de tomate,Offer,6.0,EUR,Nuestros primeros,None,"""Mediterráneo""","""Av","""geo"":{""latitude"":40.4380805,""longitude"":-3.6633168",Healthy Gourmet by Reto 48
9,9,MenuItem,Pastel de espárragos blancos de Navarra,Offer,6.5,EUR,Nuestros primeros,None,"""Mediterráneo""","""Av","""geo"":{""latitude"":40.4380805,""longitude"":-3.6633168",Healthy Gourmet by Reto 48
