,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,1. Miso Shiru,Offer,3.69,EUR,ENTRANTE,8.9,"""Vegetariano""","""Av","""geo"":{""latitude"":40.4214136,""longitude"":-3.6796668",Hokkaido Vegano japonés
1,1,MenuItem,3.Coma Wakame,Offer,6.55,EUR,ENTRANTE,8.9,"""Vegetariano""","""Av","""geo"":{""latitude"":40.4214136,""longitude"":-3.6796668",Hokkaido Vegano japonés
2,2,MenuItem,4. Wakame Su,Offer,5.45,EUR,ENTRANTE,8.9,"""Vegetariano""","""Av","""geo"":{""latitude"":40.4214136,""longitude"":-3.6796668",Hokkaido Vegano japonés
3,3,MenuItem,5.Salada de bambú,Offer,6.55,EUR,ENTRANTE,8.9,"""Vegetariano""","""Av","""geo"":{""latitude"":40.4214136,""longitude"":-3.6796668",Hokkaido Vegano japonés
4,4,MenuItem,6. Gomaae,Offer,5.45,EUR,ENTRANTE,8.9,"""Vegetariano""","""Av","""geo"":{""latitude"":40.4214136,""longitude"":-3.6796668",Hokkaido Vegano japonés
5,5,MenuItem,7. Hokkaido salada,Offer,6.55,EUR,ENTRANTE,8.9,"""Vegetariano""","""Av","""geo"":{""latitude"":40.4214136,""longitude"":-3.6796668",Hokkaido Vegano japonés
6,6,MenuItem,8. Agedashi Tofu,Offer,6.05,EUR,ENTRANTE,8.9,"""Vegetariano""","""Av","""geo"":{""latitude"":40.4214136,""longitude"":-3.6796668",Hokkaido Vegano japonés
7,7,MenuItem,9. Nasu Dengaku,Offer,6.55,EUR,ENTRANTE,8.9,"""Vegetariano""","""Av","""geo"":{""latitude"":40.4214136,""longitude"":-3.6796668",Hokkaido Vegano japonés
8,8,MenuItem,10. Pincho de Tofu,Offer,5.89,EUR,ENTRANTE,8.9,"""Vegetariano""","""Av","""geo"":{""latitude"":40.4214136,""longitude"":-3.6796668",Hokkaido Vegano japonés
9,9,MenuItem,11. Hijiki,Offer,4.4,EUR,ENTRANTE,8.9,"""Vegetariano""","""Av","""geo"":{""latitude"":40.4214136,""longitude"":-3.6796668",Hokkaido Vegano japonés
10,10,MenuItem,13. Edamame,Offer,4.79,EUR,ENTRANTE,8.9,"""Vegetariano""","""Av","""geo"":{""latitude"":40.4214136,""longitude"":-3.6796668",Hokkaido Vegano japonés
11,11,MenuItem,V15. Gyoza,Offer,6.55,EUR,ENTRANTE,8.9,"""Vegetariano""","""Av","""geo"":{""latitude"":40.4214136,""longitude"":-3.6796668",Hokkaido Vegano japonés
12,12,MenuItem,V16. Rollitos,Offer,5.45,EUR,ENTRANTE,8.9,"""Vegetariano""","""Av","""geo"":{""latitude"":40.4214136,""longitude"":-3.6796668",Hokkaido Vegano japonés
