,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,TABLA DE 4 QUESOS ENTERA,Offer,21.0,EUR,NUESTRAS TABLAS,9.4,"""Creativo""","""Calle de Bernardo López García","""geo"":{""latitude"":40.4265965,""longitude"":-3.709937",LA CARBONERA - QUESOS VIN...
1,1,MenuItem,TABLA DE 5 QUESOS ENTERA,Offer,25.0,EUR,NUESTRAS TABLAS,9.4,"""Creativo""","""Calle de Bernardo López García","""geo"":{""latitude"":40.4265965,""longitude"":-3.709937",LA CARBONERA - QUESOS VIN...
2,2,MenuItem,TABLA DE 6 QUESOS ENTERA,Offer,29.0,EUR,NUESTRAS TABLAS,9.4,"""Creativo""","""Calle de Bernardo López García","""geo"":{""latitude"":40.4265965,""longitude"":-3.709937",LA CARBONERA - QUESOS VIN...
3,3,MenuItem,TABLA DE 8 QUESOS ENTERA,Offer,35.0,EUR,NUESTRAS TABLAS,9.4,"""Creativo""","""Calle de Bernardo López García","""geo"":{""latitude"":40.4265965,""longitude"":-3.709937",LA CARBONERA - QUESOS VIN...
4,4,MenuItem,TABLA DE 10 QUESOS ENTERA,Offer,48.0,EUR,NUESTRAS TABLAS,9.4,"""Creativo""","""Calle de Bernardo López García","""geo"":{""latitude"":40.4265965,""longitude"":-3.709937",LA CARBONERA - QUESOS VIN...
5,5,MenuItem,TABLA DE TODOS NUESTROS QUESOS,Offer,75.0,EUR,NUESTRAS TABLAS,9.4,"""Creativo""","""Calle de Bernardo López García","""geo"":{""latitude"":40.4265965,""longitude"":-3.709937",LA CARBONERA - QUESOS VIN...
6,6,MenuItem,MEDIA TABLA DE 4 QUESOS,Offer,12.0,EUR,NUESTRAS TABLAS,9.4,"""Creativo""","""Calle de Bernardo López García","""geo"":{""latitude"":40.4265965,""longitude"":-3.709937",LA CARBONERA - QUESOS VIN...
7,7,MenuItem,MEDIA TABLA DE 5 QUESOS,Offer,15.0,EUR,NUESTRAS TABLAS,9.4,"""Creativo""","""Calle de Bernardo López García","""geo"":{""latitude"":40.4265965,""longitude"":-3.709937",LA CARBONERA - QUESOS VIN...
8,8,MenuItem,MEDIA TABLA DE 6 QUESOS,Offer,18.0,EUR,NUESTRAS TABLAS,9.4,"""Creativo""","""Calle de Bernardo López García","""geo"":{""latitude"":40.4265965,""longitude"":-3.709937",LA CARBONERA - QUESOS VIN...
9,9,MenuItem,MEDIA TABLA DE 8 QUESOS,Offer,24.0,EUR,NUESTRAS TABLAS,9.4,"""Creativo""","""Calle de Bernardo López García","""geo"":{""latitude"":40.4265965,""longitude"":-3.709937",LA CARBONERA - QUESOS VIN...
10,10,MenuItem,MEDIA TABLA DE 10 QUESOS,Offer,28.0,EUR,NUESTRAS TABLAS,9.4,"""Creativo""","""Calle de Bernardo López García","""geo"":{""latitude"":40.4265965,""longitude"":-3.709937",LA CARBONERA - QUESOS VIN...
11,11,MenuItem,MEDIA TABLA DE TODOS NUESTROS QUESOS,Offer,42.0,EUR,NUESTRAS TABLAS,9.4,"""Creativo""","""Calle de Bernardo López García","""geo"":{""latitude"":40.4265965,""longitude"":-3.709937",LA CARBONERA - QUESOS VIN...
12,12,MenuItem,JAMÓN IBERICO DE BELLOTA,Offer,28.0,EUR,NUESTRAS TABLAS,9.4,"""Creativo""","""Calle de Bernardo López García","""geo"":{""latitude"":40.4265965,""longitude"":-3.709937",LA CARBONERA - QUESOS VIN...
13,13,MenuItem,TABLA DE EMBUTIDOS,Offer,19.9,EUR,NUESTRAS TABLAS,9.4,"""Creativo""","""Calle de Bernardo López García","""geo"":{""latitude"":40.4265965,""longitude"":-3.709937",LA CARBONERA - QUESOS VIN...
14,14,MenuItem,MEDIA TABLA DE EMBUTIDOS,Offer,11.0,EUR,NUESTRAS TABLAS,9.4,"""Creativo""","""Calle de Bernardo López García","""geo"":{""latitude"":40.4265965,""longitude"":-3.709937",LA CARBONERA - QUESOS VIN...
15,15,MenuItem,TABLA DE EMBUTIDOS Y 3 QUESOS,Offer,35.0,EUR,NUESTRAS TABLAS,9.4,"""Creativo""","""Calle de Bernardo López García","""geo"":{""latitude"":40.4265965,""longitude"":-3.709937",LA CARBONERA - QUESOS VIN...
16,16,MenuItem,MEDIA TABLA DE EMBUTIDOS Y 3 QUESOS,Offer,18.0,EUR,NUESTRAS TABLAS,9.4,"""Creativo""","""Calle de Bernardo López García","""geo"":{""latitude"":40.4265965,""longitude"":-3.709937",LA CARBONERA - QUESOS VIN...
