,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,Salmorejo,Offer,5.9,EUR,Entrantes,8.7,"""Mediterráneo""","""Calle del Cardenal Cisneros","""geo"":{""latitude"":40.4344575,""longitude"":-3.7027356",La Chula
1,1,MenuItem,Trío de hummus,Offer,7.0,EUR,Entrantes,8.7,"""Mediterráneo""","""Calle del Cardenal Cisneros","""geo"":{""latitude"":40.4344575,""longitude"":-3.7027356",La Chula
2,2,MenuItem,Ensaladilla rusa,Offer,9.0,EUR,Entrantes,8.7,"""Mediterráneo""","""Calle del Cardenal Cisneros","""geo"":{""latitude"":40.4344575,""longitude"":-3.7027356",La Chula
3,3,MenuItem,Patatas chulas,Offer,8.0,EUR,Entrantes,8.7,"""Mediterráneo""","""Calle del Cardenal Cisneros","""geo"":{""latitude"":40.4344575,""longitude"":-3.7027356",La Chula
4,4,MenuItem,Alitas de pollo con tempura de verduras,Offer,11.0,EUR,Entrantes,8.7,"""Mediterráneo""","""Calle del Cardenal Cisneros","""geo"":{""latitude"":40.4344575,""longitude"":-3.7027356",La Chula
5,5,MenuItem,Surtido de croquetas,Offer,9.9,EUR,Entrantes,8.7,"""Mediterráneo""","""Calle del Cardenal Cisneros","""geo"":{""latitude"":40.4344575,""longitude"":-3.7027356",La Chula
6,6,MenuItem,Nachos con queso,Offer,12.0,EUR,Entrantes,8.7,"""Mediterráneo""","""Calle del Cardenal Cisneros","""geo"":{""latitude"":40.4344575,""longitude"":-3.7027356",La Chula
7,7,MenuItem,Parrillada de verduras,Offer,12.0,EUR,Entrantes,8.7,"""Mediterráneo""","""Calle del Cardenal Cisneros","""geo"":{""latitude"":40.4344575,""longitude"":-3.7027356",La Chula
8,8,MenuItem,Huevos rotos con trufa,Offer,10.0,EUR,Entrantes,8.7,"""Mediterráneo""","""Calle del Cardenal Cisneros","""geo"":{""latitude"":40.4344575,""longitude"":-3.7027356",La Chula
9,9,MenuItem,Pisto manchego con huevo frito,Offer,8.0,EUR,Entrantes,8.7,"""Mediterráneo""","""Calle del Cardenal Cisneros","""geo"":{""latitude"":40.4344575,""longitude"":-3.7027356",La Chula
10,10,MenuItem,Dado de sepia con alioli,Offer,12.0,EUR,Entrantes,8.7,"""Mediterráneo""","""Calle del Cardenal Cisneros","""geo"":{""latitude"":40.4344575,""longitude"":-3.7027356",La Chula
11,11,MenuItem,Pulpo braseado sobre patata parmentier,Offer,19.0,EUR,Entrantes,8.7,"""Mediterráneo""","""Calle del Cardenal Cisneros","""geo"":{""latitude"":40.4344575,""longitude"":-3.7027356",La Chula
