,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,Jamón ibérico de bellota,Offer,26.0,EUR,Entrante,8.7,"""Español""","""Calle de Velázquez","""geo"":{""latitude"":40.4240038,""longitude"":-3.6840345",La Clave
1,1,MenuItem,Cecina de León,Offer,18.0,EUR,Entrante,8.7,"""Español""","""Calle de Velázquez","""geo"":{""latitude"":40.4240038,""longitude"":-3.6840345",La Clave
2,2,MenuItem,Tabla de quesos,Offer,16.0,EUR,Entrante,8.7,"""Español""","""Calle de Velázquez","""geo"":{""latitude"":40.4240038,""longitude"":-3.6840345",La Clave
3,3,MenuItem,Ensaladilla rusa,Offer,2.5,EUR,Entrante,8.7,"""Español""","""Calle de Velázquez","""geo"":{""latitude"":40.4240038,""longitude"":-3.6840345",La Clave
4,4,MenuItem,Anchoas de Santoña,Offer,18.0,EUR,Entrante,8.7,"""Español""","""Calle de Velázquez","""geo"":{""latitude"":40.4240038,""longitude"":-3.6840345",La Clave
5,5,MenuItem,Salmón marinado,Offer,16.0,EUR,Entrante,8.7,"""Español""","""Calle de Velázquez","""geo"":{""latitude"":40.4240038,""longitude"":-3.6840345",La Clave
6,6,MenuItem,Tartar de salmón,Offer,18.0,EUR,Entrante,8.7,"""Español""","""Calle de Velázquez","""geo"":{""latitude"":40.4240038,""longitude"":-3.6840345",La Clave
7,7,MenuItem,Calamares fritos de potera,Offer,16.0,EUR,Entrante,8.7,"""Español""","""Calle de Velázquez","""geo"":{""latitude"":40.4240038,""longitude"":-3.6840345",La Clave
8,8,MenuItem,Berenjena a la miel de caña,Offer,14.0,EUR,Entrante,8.7,"""Español""","""Calle de Velázquez","""geo"":{""latitude"":40.4240038,""longitude"":-3.6840345",La Clave
9,9,MenuItem,Pulpo a la brasa o a feira,Offer,22.0,EUR,Entrante,8.7,"""Español""","""Calle de Velázquez","""geo"":{""latitude"":40.4240038,""longitude"":-3.6840345",La Clave
10,10,MenuItem,Croquetas La Clave (unidad),Offer,2.0,EUR,Entrante,8.7,"""Español""","""Calle de Velázquez","""geo"":{""latitude"":40.4240038,""longitude"":-3.6840345",La Clave
11,11,MenuItem,Hervido La Clave (para dos personas),Offer,25.0,EUR,Entrante,8.7,"""Español""","""Calle de Velázquez","""geo"":{""latitude"":40.4240038,""longitude"":-3.6840345",La Clave
12,12,MenuItem,Fritos de brie,Offer,14.0,EUR,Entrante,8.7,"""Español""","""Calle de Velázquez","""geo"":{""latitude"":40.4240038,""longitude"":-3.6840345",La Clave
13,13,MenuItem,Tabla de ibéricos,Offer,26.0,EUR,Entrante,8.7,"""Español""","""Calle de Velázquez","""geo"":{""latitude"":40.4240038,""longitude"":-3.6840345",La Clave
14,14,MenuItem,Morcilla de Villarcayo,Offer,12.0,EUR,Entrante,8.7,"""Español""","""Calle de Velázquez","""geo"":{""latitude"":40.4240038,""longitude"":-3.6840345",La Clave
