,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,Jamón Ibérico de bellota ( D.O. Jabugo),Offer,22.9,EUR,Para empezar...,9,"""Americano""","""C","""geo"":{""latitude"":40.418802280939,""longitude"":-3.6888999938965",La Gamella
1,1,MenuItem,"Cecina de vaca de Astorga, con aceite virgen extra y pistachos",Offer,16.5,EUR,Para empezar...,9,"""Americano""","""C","""geo"":{""latitude"":40.418802280939,""longitude"":-3.6888999938965",La Gamella
2,2,MenuItem,Ensalada César al estilo del Chef con pollo,Offer,16.5,EUR,Para empezar...,9,"""Americano""","""C","""geo"":{""latitude"":40.418802280939,""longitude"":-3.6888999938965",La Gamella
3,3,MenuItem,Ensalada de pato confitado a la naranja,Offer,16.5,EUR,Para empezar...,9,"""Americano""","""C","""geo"":{""latitude"":40.418802280939,""longitude"":-3.6888999938965",La Gamella
4,4,MenuItem,Tacos mexicanos de verduras,Offer,16.5,EUR,Para empezar...,9,"""Americano""","""C","""geo"":{""latitude"":40.418802280939,""longitude"":-3.6888999938965",La Gamella
5,5,MenuItem,Terrina de foie de pato sobre pan de té verde,Offer,21.9,EUR,Para empezar...,9,"""Americano""","""C","""geo"":{""latitude"":40.418802280939,""longitude"":-3.6888999938965",La Gamella
6,6,MenuItem,Fundido de queso fresco de cabra ecológico con mermelada de tomate,Offer,16.5,EUR,Para empezar...,9,"""Americano""","""C","""geo"":{""latitude"":40.418802280939,""longitude"":-3.6888999938965",La Gamella
7,7,MenuItem,"Tosta de sardina ahumada, tomate dulce, aguacate y queso fresco / Por unidad",Offer,6.0,EUR,Para empezar...,9,"""Americano""","""C","""geo"":{""latitude"":40.418802280939,""longitude"":-3.6888999938965",La Gamella
8,8,MenuItem,"Parrillada de verduras de temporada, tomates semi secos, albahaca, olivas, burrata de Puglia",Offer,16.5,EUR,Para empezar...,9,"""Americano""","""C","""geo"":{""latitude"":40.418802280939,""longitude"":-3.6888999938965",La Gamella
9,9,MenuItem,Rollitos crujientes de morcilla de Burgos sobre compota de manzana y jengibre,Offer,16.5,EUR,Para empezar...,9,"""Americano""","""C","""geo"":{""latitude"":40.418802280939,""longitude"":-3.6888999938965",La Gamella
10,10,MenuItem,"Lasagna de langostinos tigre, verduritas y setas con ali oli de albahaca",Offer,18.5,EUR,Para empezar...,9,"""Americano""","""C","""geo"":{""latitude"":40.418802280939,""longitude"":-3.6888999938965",La Gamella
11,11,MenuItem,Surtido de croquetas de mar y tierra,Offer,16.5,EUR,Para empezar...,9,"""Americano""","""C","""geo"":{""latitude"":40.418802280939,""longitude"":-3.6888999938965",La Gamella
12,12,MenuItem,Revuelto de erizos de mar con pan de alga,Offer,16.5,EUR,Para empezar...,9,"""Americano""","""C","""geo"":{""latitude"":40.418802280939,""longitude"":-3.6888999938965",La Gamella
13,13,MenuItem,Cuchara del día,Offer,12.75,EUR,Para empezar...,9,"""Americano""","""C","""geo"":{""latitude"":40.418802280939,""longitude"":-3.6888999938965",La Gamella
