,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,"Puerros asados con vieira, velo de ibérico y vinagreta de avellana",Offer,11.5,EUR,Entrantes,9.2,"""Mediterráneo""","""Calle de Raimundo Fernández Villaverde","""geo"":{""latitude"":40.4465648,""longitude"":-3.6935868",Las Nubes de Castellana -...
1,1,MenuItem,Alcachofas confitadas con velo de ibérico y royal de foie,Offer,12.5,EUR,Entrantes,9.2,"""Mediterráneo""","""Calle de Raimundo Fernández Villaverde","""geo"":{""latitude"":40.4465648,""longitude"":-3.6935868",Las Nubes de Castellana -...
2,2,MenuItem,Verduras en tempura con langostinos y salsa teriyaki,Offer,12.95,EUR,Entrantes,9.2,"""Mediterráneo""","""Calle de Raimundo Fernández Villaverde","""geo"":{""latitude"":40.4465648,""longitude"":-3.6935868",Las Nubes de Castellana -...
3,3,MenuItem,Chipirones con trigueros y salsa romesco,Offer,13.75,EUR,Entrantes,9.2,"""Mediterráneo""","""Calle de Raimundo Fernández Villaverde","""geo"":{""latitude"":40.4465648,""longitude"":-3.6935868",Las Nubes de Castellana -...
4,4,MenuItem,"Salmón marinado con toque de eneldo, crema de aguacate y tomatillos verdes",Offer,12.0,EUR,Entrantes,9.2,"""Mediterráneo""","""Calle de Raimundo Fernández Villaverde","""geo"":{""latitude"":40.4465648,""longitude"":-3.6935868",Las Nubes de Castellana -...
5,5,MenuItem,Ensaladilla de carabinero con encurtidos y salsa de su coral,Offer,15.75,EUR,Entrantes,9.2,"""Mediterráneo""","""Calle de Raimundo Fernández Villaverde","""geo"":{""latitude"":40.4465648,""longitude"":-3.6935868",Las Nubes de Castellana -...
6,6,MenuItem,Carpaccio de gambón con crema de aguacate y tartar de tomate,Offer,15.95,EUR,Entrantes,9.2,"""Mediterráneo""","""Calle de Raimundo Fernández Villaverde","""geo"":{""latitude"":40.4465648,""longitude"":-3.6935868",Las Nubes de Castellana -...
7,7,MenuItem,Alubias verdinas con changurro,Offer,13.95,EUR,Entrantes,9.2,"""Mediterráneo""","""Calle de Raimundo Fernández Villaverde","""geo"":{""latitude"":40.4465648,""longitude"":-3.6935868",Las Nubes de Castellana -...
8,8,MenuItem,Pulpo con revolconas y mojo de tomates,Offer,18.0,EUR,Entrantes,9.2,"""Mediterráneo""","""Calle de Raimundo Fernández Villaverde","""geo"":{""latitude"":40.4465648,""longitude"":-3.6935868",Las Nubes de Castellana -...
9,9,MenuItem,Menestra de verduras de temporada,Offer,12.95,EUR,Entrantes,9.2,"""Mediterráneo""","""Calle de Raimundo Fernández Villaverde","""geo"":{""latitude"":40.4465648,""longitude"":-3.6935868",Las Nubes de Castellana -...
10,10,MenuItem,Ensalada de bogavante con trufa y tomate confitado,Offer,24.0,EUR,Entrantes,9.2,"""Mediterráneo""","""Calle de Raimundo Fernández Villaverde","""geo"":{""latitude"":40.4465648,""longitude"":-3.6935868",Las Nubes de Castellana -...
11,11,MenuItem,Jamón ibérico de bellota,Offer,24.0,EUR,Entrantes,9.2,"""Mediterráneo""","""Calle de Raimundo Fernández Villaverde","""geo"":{""latitude"":40.4465648,""longitude"":-3.6935868",Las Nubes de Castellana -...
12,12,MenuItem,Jamón ibérico de bellota,Offer,14.0,EUR,Entrantes,9.2,"""Mediterráneo""","""Calle de Raimundo Fernández Villaverde","""geo"":{""latitude"":40.4465648,""longitude"":-3.6935868",Las Nubes de Castellana -...
