,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,Dal sopa,Offer,5.0,EUR,Entrante,8.9,"""Indio""","""Calle del Aviador Zorita","""geo"":{""latitude"":40.452092,""longitude"":-3.6979454",Lumbini Tandoori
1,1,MenuItem,Raita mixta,Offer,5.0,EUR,Entrante,8.9,"""Indio""","""Calle del Aviador Zorita","""geo"":{""latitude"":40.452092,""longitude"":-3.6979454",Lumbini Tandoori
2,2,MenuItem,"Langostinos Pakora,",Offer,7.0,EUR,Entrante,8.9,"""Indio""","""Calle del Aviador Zorita","""geo"":{""latitude"":40.452092,""longitude"":-3.6979454",Lumbini Tandoori
3,3,MenuItem,Samosa de Verdura,Offer,6.0,EUR,Entrante,8.9,"""Indio""","""Calle del Aviador Zorita","""geo"":{""latitude"":40.452092,""longitude"":-3.6979454",Lumbini Tandoori
4,4,MenuItem,Samosa de Carne,Offer,6.5,EUR,Entrante,8.9,"""Indio""","""Calle del Aviador Zorita","""geo"":{""latitude"":40.452092,""longitude"":-3.6979454",Lumbini Tandoori
5,5,MenuItem,Onion bhaji,Offer,5.4,EUR,Entrante,8.9,"""Indio""","""Calle del Aviador Zorita","""geo"":{""latitude"":40.452092,""longitude"":-3.6979454",Lumbini Tandoori
6,6,MenuItem,Momo de verdura,Offer,6.5,EUR,Entrante,8.9,"""Indio""","""Calle del Aviador Zorita","""geo"":{""latitude"":40.452092,""longitude"":-3.6979454",Lumbini Tandoori
7,7,MenuItem,Momo de carne,Offer,7.5,EUR,Entrante,8.9,"""Indio""","""Calle del Aviador Zorita","""geo"":{""latitude"":40.452092,""longitude"":-3.6979454",Lumbini Tandoori
8,8,MenuItem,Pakora de verduras,Offer,6.0,EUR,Entrante,8.9,"""Indio""","""Calle del Aviador Zorita","""geo"":{""latitude"":40.452092,""longitude"":-3.6979454",Lumbini Tandoori
9,9,MenuItem,Rollo de queso,Offer,6.5,EUR,Entrante,8.9,"""Indio""","""Calle del Aviador Zorita","""geo"":{""latitude"":40.452092,""longitude"":-3.6979454",Lumbini Tandoori
10,10,MenuItem,Pakora de Paneer,Offer,6.0,EUR,Entrante,8.9,"""Indio""","""Calle del Aviador Zorita","""geo"":{""latitude"":40.452092,""longitude"":-3.6979454",Lumbini Tandoori
11,11,MenuItem,Pakora de Pollo,Offer,6.0,EUR,Entrante,8.9,"""Indio""","""Calle del Aviador Zorita","""geo"":{""latitude"":40.452092,""longitude"":-3.6979454",Lumbini Tandoori
12,12,MenuItem,Gambas Puri,Offer,7.5,EUR,Entrante,8.9,"""Indio""","""Calle del Aviador Zorita","""geo"":{""latitude"":40.452092,""longitude"":-3.6979454",Lumbini Tandoori
