,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,Degustación de quesos nacionales,Offer,19,EUR,Entrantes,8.4,"""Mediterráneo""","""Plaza de la Independencia","""geo"":{""latitude"":40.420561,""longitude"":-3.6893038",Malvar - Hotel Hospes Pue...
1,1,MenuItem,Jamón puro de bellota D.O. Guijuelo con picos y tomate natural,Offer,28,EUR,Entrantes,8.4,"""Mediterráneo""","""Plaza de la Independencia","""geo"":{""latitude"":40.420561,""longitude"":-3.6893038",Malvar - Hotel Hospes Pue...
2,2,MenuItem,"Ensalada verde con trigueros, manzana y vinagreta de frambuesa",Offer,12,EUR,Entrantes,8.4,"""Mediterráneo""","""Plaza de la Independencia","""geo"":{""latitude"":40.420561,""longitude"":-3.6893038",Malvar - Hotel Hospes Pue...
3,3,MenuItem,"Ensalada de tomate raf, mozzarella y albahaca",Offer,16,EUR,Entrantes,8.4,"""Mediterráneo""","""Plaza de la Independencia","""geo"":{""latitude"":40.420561,""longitude"":-3.6893038",Malvar - Hotel Hospes Pue...
4,4,MenuItem,Nuestra ensalada César,Offer,15,EUR,Entrantes,8.4,"""Mediterráneo""","""Plaza de la Independencia","""geo"":{""latitude"":40.420561,""longitude"":-3.6893038",Malvar - Hotel Hospes Pue...
5,5,MenuItem,Tomate aliñado con morrillo de bonito del Cantábrico,Offer,16,EUR,Entrantes,8.4,"""Mediterráneo""","""Plaza de la Independencia","""geo"":{""latitude"":40.420561,""longitude"":-3.6893038",Malvar - Hotel Hospes Pue...
6,6,MenuItem,"Carpaccio de calabacín con vinagreta de piñones, queso azul, nueces y caviar de tomate",Offer,14,EUR,Entrantes,8.4,"""Mediterráneo""","""Plaza de la Independencia","""geo"":{""latitude"":40.420561,""longitude"":-3.6893038",Malvar - Hotel Hospes Pue...
7,7,MenuItem,Anchoas de Santoña 00 emulsionadas con aceite de ajo,Offer,22,EUR,Entrantes,8.4,"""Mediterráneo""","""Plaza de la Independencia","""geo"":{""latitude"":40.420561,""longitude"":-3.6893038",Malvar - Hotel Hospes Pue...
8,8,MenuItem,Ceviche de salmón con aguají de coco y encurtidos,Offer,18,EUR,Entrantes,8.4,"""Mediterráneo""","""Plaza de la Independencia","""geo"":{""latitude"":40.420561,""longitude"":-3.6893038",Malvar - Hotel Hospes Pue...
9,9,MenuItem,Crema de setas y trufa,Offer,13,EUR,Entrantes,8.4,"""Mediterráneo""","""Plaza de la Independencia","""geo"":{""latitude"":40.420561,""longitude"":-3.6893038",Malvar - Hotel Hospes Pue...
10,10,MenuItem,"Selección de croquetas del Chef (gambas al ajillo, jamón y rabo de toro)",Offer,14,EUR,Entrantes,8.4,"""Mediterráneo""","""Plaza de la Independencia","""geo"":{""latitude"":40.420561,""longitude"":-3.6893038",Malvar - Hotel Hospes Pue...
11,11,MenuItem,Boletus edulis con yema de corral y cecina,Offer,24,EUR,Entrantes,8.4,"""Mediterráneo""","""Plaza de la Independencia","""geo"":{""latitude"":40.420561,""longitude"":-3.6893038",Malvar - Hotel Hospes Pue...
12,12,MenuItem,Bravas castizas en dos salsas,Offer,10,EUR,Entrantes,8.4,"""Mediterráneo""","""Plaza de la Independencia","""geo"":{""latitude"":40.420561,""longitude"":-3.6893038",Malvar - Hotel Hospes Pue...
13,13,MenuItem,Alcachofas de Tudela rellenas de foie de oca,Offer,23,EUR,Entrantes,8.4,"""Mediterráneo""","""Plaza de la Independencia","""geo"":{""latitude"":40.420561,""longitude"":-3.6893038",Malvar - Hotel Hospes Pue...
14,14,MenuItem,Txipirones de potera con alioli de ajo asado,Offer,14,EUR,Entrantes,8.4,"""Mediterráneo""","""Plaza de la Independencia","""geo"":{""latitude"":40.420561,""longitude"":-3.6893038",Malvar - Hotel Hospes Pue...
15,15,MenuItem,"Chanquetitos de potera fritos, servido con huevo de corral y pimientos asados",Offer,16,EUR,Entrantes,8.4,"""Mediterráneo""","""Plaza de la Independencia","""geo"":{""latitude"":40.420561,""longitude"":-3.6893038",Malvar - Hotel Hospes Pue...
16,16,MenuItem,Garbanzos de Fuentesaúco con choco,Offer,19,EUR,Entrantes,8.4,"""Mediterráneo""","""Plaza de la Independencia","""geo"":{""latitude"":40.420561,""longitude"":-3.6893038",Malvar - Hotel Hospes Pue...
17,17,MenuItem,Habitas baby a la marinera,Offer,22,EUR,Entrantes,8.4,"""Mediterráneo""","""Plaza de la Independencia","""geo"":{""latitude"":40.420561,""longitude"":-3.6893038",Malvar - Hotel Hospes Pue...
18,18,MenuItem,Gyozas de pato y verduras con salsa Tonkatxu,Offer,12,EUR,Entrantes,8.4,"""Mediterráneo""","""Plaza de la Independencia","""geo"":{""latitude"":40.420561,""longitude"":-3.6893038",Malvar - Hotel Hospes Pue...
