,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,Tabla de ibéricos de guijuelo,Offer,19.0,EUR,Para picar,9,"""Madrileño""","""Calle de la Cruz","""geo"":{""latitude"":40.4160154,""longitude"":-3.7012054",Mantúa Madrid
1,1,MenuItem,Nuestra tortilla de patatas trufada,Offer,9.2,EUR,Para picar,9,"""Madrileño""","""Calle de la Cruz","""geo"":{""latitude"":40.4160154,""longitude"":-3.7012054",Mantúa Madrid
2,2,MenuItem,Croquetas de la abuela (6uds),Offer,10.9,EUR,Para picar,9,"""Madrileño""","""Calle de la Cruz","""geo"":{""latitude"":40.4160154,""longitude"":-3.7012054",Mantúa Madrid
3,3,MenuItem,Callos a la madrileña,Offer,10.5,EUR,Para picar,9,"""Madrileño""","""Calle de la Cruz","""geo"":{""latitude"":40.4160154,""longitude"":-3.7012054",Mantúa Madrid
4,4,MenuItem,Ensaladilla rusa con encurtidos,Offer,8.0,EUR,Para picar,9,"""Madrileño""","""Calle de la Cruz","""geo"":{""latitude"":40.4160154,""longitude"":-3.7012054",Mantúa Madrid
5,5,MenuItem,Huevos de corral al plato con chorizo y guisantes,Offer,9.5,EUR,Para picar,9,"""Madrileño""","""Calle de la Cruz","""geo"":{""latitude"":40.4160154,""longitude"":-3.7012054",Mantúa Madrid
6,6,MenuItem,Tapa de cocido en 3 vuelcos,Offer,4.5,EUR,Para picar,9,"""Madrileño""","""Calle de la Cruz","""geo"":{""latitude"":40.4160154,""longitude"":-3.7012054",Mantúa Madrid
7,7,MenuItem,Nuestra manera de ver el bocadillo de calamares,Offer,6.5,EUR,Para picar,9,"""Madrileño""","""Calle de la Cruz","""geo"":{""latitude"":40.4160154,""longitude"":-3.7012054",Mantúa Madrid
8,8,MenuItem,Lágrimas de Sant Lorenzo (helado de mostaza),Offer,9.2,EUR,Para picar,9,"""Madrileño""","""Calle de la Cruz","""geo"":{""latitude"":40.4160154,""longitude"":-3.7012054",Mantúa Madrid
9,9,MenuItem,Hevos rotos con jamón ibérico,Offer,12.5,EUR,Para picar,9,"""Madrileño""","""Calle de la Cruz","""geo"":{""latitude"":40.4160154,""longitude"":-3.7012054",Mantúa Madrid
10,10,MenuItem,Anchoa de Santoña tamaño 00,Offer,1.75,EUR,Para picar,9,"""Madrileño""","""Calle de la Cruz","""geo"":{""latitude"":40.4160154,""longitude"":-3.7012054",Mantúa Madrid
