,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,Croquetas Mixture,Offer,10.5,EUR,Para Compartir,9.3,"""Mediterráneo""","""Calle de Agastia","""geo"":{""latitude"":40.4553139,""longitude"":-3.6588681",Mixture Lounge & Restaura...
1,1,MenuItem,Colas de gambón confitadas al ajo negro,Offer,15.8,EUR,Para Compartir,9.3,"""Mediterráneo""","""Calle de Agastia","""geo"":{""latitude"":40.4553139,""longitude"":-3.6588681",Mixture Lounge & Restaura...
2,2,MenuItem,Pulpo a la brasa con su ají de huacatay,Offer,19.6,EUR,Para Compartir,9.3,"""Mediterráneo""","""Calle de Agastia","""geo"":{""latitude"":40.4553139,""longitude"":-3.6588681",Mixture Lounge & Restaura...
3,3,MenuItem,Chipirones encebollados al azafrán,Offer,14.0,EUR,Para Compartir,9.3,"""Mediterráneo""","""Calle de Agastia","""geo"":{""latitude"":40.4553139,""longitude"":-3.6588681",Mixture Lounge & Restaura...
4,4,MenuItem,Cazuelita de alcachofas con berberechos,Offer,16.2,EUR,Para Compartir,9.3,"""Mediterráneo""","""Calle de Agastia","""geo"":{""latitude"":40.4553139,""longitude"":-3.6588681",Mixture Lounge & Restaura...
5,5,MenuItem,Ensalada de tomate con burrata de Puglia,Offer,11.0,EUR,Para Compartir,9.3,"""Mediterráneo""","""Calle de Agastia","""geo"":{""latitude"":40.4553139,""longitude"":-3.6588681",Mixture Lounge & Restaura...
6,6,MenuItem,Jamón ibérico,Offer,22.0,EUR,Para Compartir,9.3,"""Mediterráneo""","""Calle de Agastia","""geo"":{""latitude"":40.4553139,""longitude"":-3.6588681",Mixture Lounge & Restaura...
7,7,MenuItem,Carpaccio de atún rojo y pulpo,Offer,15.9,EUR,Para Compartir,9.3,"""Mediterráneo""","""Calle de Agastia","""geo"":{""latitude"":40.4553139,""longitude"":-3.6588681",Mixture Lounge & Restaura...
8,8,MenuItem,Ceviche clásico de corvina con boniato asado,Offer,15.9,EUR,Para Compartir,9.3,"""Mediterráneo""","""Calle de Agastia","""geo"":{""latitude"":40.4553139,""longitude"":-3.6588681",Mixture Lounge & Restaura...
9,9,MenuItem,Tiradito de corvina con leche de tigre y ají amarillo,Offer,15.9,EUR,Para Compartir,9.3,"""Mediterráneo""","""Calle de Agastia","""geo"":{""latitude"":40.4553139,""longitude"":-3.6588681",Mixture Lounge & Restaura...
