,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,Berenjena con aroma de pescado,Offer,7.5,EUR,Plato Especial,8.6,"""Chino""","""Calle de Tomás García","""geo"":{""latitude"":40.3924164,""longitude"":-3.6655263",Ouhua
1,1,MenuItem,Cordero picante,Offer,8.8,EUR,Plato Especial,8.6,"""Chino""","""Calle de Tomás García","""geo"":{""latitude"":40.3924164,""longitude"":-3.6655263",Ouhua
2,2,MenuItem,Intestinos,Offer,6.5,EUR,Plato Especial,8.6,"""Chino""","""Calle de Tomás García","""geo"":{""latitude"":40.3924164,""longitude"":-3.6655263",Ouhua
3,3,MenuItem,Cerdo agridulce,Offer,5.8,EUR,Plato Especial,8.6,"""Chino""","""Calle de Tomás García","""geo"":{""latitude"":40.3924164,""longitude"":-3.6655263",Ouhua
4,4,MenuItem,Gambas a la plancha,Offer,8.8,EUR,Plato Especial,8.6,"""Chino""","""Calle de Tomás García","""geo"":{""latitude"":40.3924164,""longitude"":-3.6655263",Ouhua
5,5,MenuItem,Navajas con puerros,Offer,9.8,EUR,Plato Especial,8.6,"""Chino""","""Calle de Tomás García","""geo"":{""latitude"":40.3924164,""longitude"":-3.6655263",Ouhua
6,6,MenuItem,Sashimi con salmón,Offer,9.8,EUR,Plato Especial,8.6,"""Chino""","""Calle de Tomás García","""geo"":{""latitude"":40.3924164,""longitude"":-3.6655263",Ouhua
7,7,MenuItem,Filete de pescado picante,Offer,12.8,EUR,Plato Especial,8.6,"""Chino""","""Calle de Tomás García","""geo"":{""latitude"":40.3924164,""longitude"":-3.6655263",Ouhua
8,8,MenuItem,Pescado agrio,Offer,12.8,EUR,Plato Especial,8.6,"""Chino""","""Calle de Tomás García","""geo"":{""latitude"":40.3924164,""longitude"":-3.6655263",Ouhua
9,9,MenuItem,Sangre picante,Offer,10.8,EUR,Plato Especial,8.6,"""Chino""","""Calle de Tomás García","""geo"":{""latitude"":40.3924164,""longitude"":-3.6655263",Ouhua
10,10,MenuItem,Cangrejo picante,Offer,12.8,EUR,Plato Especial,8.6,"""Chino""","""Calle de Tomás García","""geo"":{""latitude"":40.3924164,""longitude"":-3.6655263",Ouhua
11,11,MenuItem,Pollo picante,Offer,7.8,EUR,Plato Especial,8.6,"""Chino""","""Calle de Tomás García","""geo"":{""latitude"":40.3924164,""longitude"":-3.6655263",Ouhua
12,12,MenuItem,Ternera picante,Offer,9.8,EUR,Plato Especial,8.6,"""Chino""","""Calle de Tomás García","""geo"":{""latitude"":40.3924164,""longitude"":-3.6655263",Ouhua
13,13,MenuItem,Cerdo con salsa de pescado,Offer,6.0,EUR,Plato Especial,8.6,"""Chino""","""Calle de Tomás García","""geo"":{""latitude"":40.3924164,""longitude"":-3.6655263",Ouhua
14,14,MenuItem,Doufu picante,Offer,5.0,EUR,Plato Especial,8.6,"""Chino""","""Calle de Tomás García","""geo"":{""latitude"":40.3924164,""longitude"":-3.6655263",Ouhua
15,15,MenuItem,Intestinos de cerdo picante,Offer,8.8,EUR,Plato Especial,8.6,"""Chino""","""Calle de Tomás García","""geo"":{""latitude"":40.3924164,""longitude"":-3.6655263",Ouhua
16,16,MenuItem,Verdura pincante,Offer,6.0,EUR,Plato Especial,8.6,"""Chino""","""Calle de Tomás García","""geo"":{""latitude"":40.3924164,""longitude"":-3.6655263",Ouhua
17,17,MenuItem,Pescado pincante shu-ge,Offer,15.8,EUR,Plato Especial,8.6,"""Chino""","""Calle de Tomás García","""geo"":{""latitude"":40.3924164,""longitude"":-3.6655263",Ouhua
18,18,MenuItem,Gambas con anacardos,Offer,8.8,EUR,Plato Especial,8.6,"""Chino""","""Calle de Tomás García","""geo"":{""latitude"":40.3924164,""longitude"":-3.6655263",Ouhua
19,19,MenuItem,Costillas con sal y pimienta,Offer,6.0,EUR,Plato Especial,8.6,"""Chino""","""Calle de Tomás García","""geo"":{""latitude"":40.3924164,""longitude"":-3.6655263",Ouhua
20,20,MenuItem,Doufu japonés,Offer,7.5,EUR,Plato Especial,8.6,"""Chino""","""Calle de Tomás García","""geo"":{""latitude"":40.3924164,""longitude"":-3.6655263",Ouhua
21,21,MenuItem,Cordero con puerros,Offer,8.8,EUR,Plato Especial,8.6,"""Chino""","""Calle de Tomás García","""geo"":{""latitude"":40.3924164,""longitude"":-3.6655263",Ouhua
22,22,MenuItem,Doufu de la casa,Offer,6.0,EUR,Plato Especial,8.6,"""Chino""","""Calle de Tomás García","""geo"":{""latitude"":40.3924164,""longitude"":-3.6655263",Ouhua
23,23,MenuItem,verduras variadas,Offer,6.0,EUR,Plato Especial,8.6,"""Chino""","""Calle de Tomás García","""geo"":{""latitude"":40.3924164,""longitude"":-3.6655263",Ouhua
