,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,"Puerros asados con vieira, velo de ibérico y vinagreta de avellana",Offer,11.5,EUR,Entradas,10,"""Mediterráneo""","""Calle de Preciados","""geo"":{""latitude"":40.4176744,""longitude"":-3.7048823",Preciados - El Corte Inglés
1,1,MenuItem,Alcachofas confitadas con velo de ibérico y royal de foie,Offer,12.5,EUR,Entradas,10,"""Mediterráneo""","""Calle de Preciados","""geo"":{""latitude"":40.4176744,""longitude"":-3.7048823",Preciados - El Corte Inglés
2,2,MenuItem,Carpaccio de gambón con boletus confitado y brotes tiernos,Offer,12.75,EUR,Entradas,10,"""Mediterráneo""","""Calle de Preciados","""geo"":{""latitude"":40.4176744,""longitude"":-3.7048823",Preciados - El Corte Inglés
3,3,MenuItem,Verduras en tempura con langostinos y salsa teriyaki,Offer,12.95,EUR,Entradas,10,"""Mediterráneo""","""Calle de Preciados","""geo"":{""latitude"":40.4176744,""longitude"":-3.7048823",Preciados - El Corte Inglés
4,4,MenuItem,Menestra de verduras de temporada,Offer,12.95,EUR,Entradas,10,"""Mediterráneo""","""Calle de Preciados","""geo"":{""latitude"":40.4176744,""longitude"":-3.7048823",Preciados - El Corte Inglés
5,5,MenuItem,Chipirones con trigueros y salsa romesco,Offer,13.75,EUR,Entradas,10,"""Mediterráneo""","""Calle de Preciados","""geo"":{""latitude"":40.4176744,""longitude"":-3.7048823",Preciados - El Corte Inglés
6,6,MenuItem,Alubias verdinas con changurro,Offer,13.95,EUR,Entradas,10,"""Mediterráneo""","""Calle de Preciados","""geo"":{""latitude"":40.4176744,""longitude"":-3.7048823",Preciados - El Corte Inglés
7,7,MenuItem,Salteado de verduras de invierno con cigala y tuétano a la brasa,Offer,14.5,EUR,Entradas,10,"""Mediterráneo""","""Calle de Preciados","""geo"":{""latitude"":40.4176744,""longitude"":-3.7048823",Preciados - El Corte Inglés
8,8,MenuItem,Ensaladilla de carabinero con encurtidos y salsa de su coral,Offer,15.75,EUR,Entradas,10,"""Mediterráneo""","""Calle de Preciados","""geo"":{""latitude"":40.4176744,""longitude"":-3.7048823",Preciados - El Corte Inglés
9,9,MenuItem,Pulpo con revolconas y mojo de tomates secos,Offer,18.0,EUR,Entradas,10,"""Mediterráneo""","""Calle de Preciados","""geo"":{""latitude"":40.4176744,""longitude"":-3.7048823",Preciados - El Corte Inglés
10,10,MenuItem,"Salmón marinado con toque de eneldo, crema de aguacate y tomatillos verdes",Offer,18.95,EUR,Entradas,10,"""Mediterráneo""","""Calle de Preciados","""geo"":{""latitude"":40.4176744,""longitude"":-3.7048823",Preciados - El Corte Inglés
11,11,MenuItem,Jamón ibérico de bellota,Offer,24.0,EUR,Entradas,10,"""Mediterráneo""","""Calle de Preciados","""geo"":{""latitude"":40.4176744,""longitude"":-3.7048823",Preciados - El Corte Inglés
12,12,MenuItem,Jamón ibérico de bellota,Offer,14.0,EUR,Entradas,10,"""Mediterráneo""","""Calle de Preciados","""geo"":{""latitude"":40.4176744,""longitude"":-3.7048823",Preciados - El Corte Inglés
13,13,MenuItem,Ensalada de bogavante con trufa y tomate confitado,Offer,24.0,EUR,Entradas,10,"""Mediterráneo""","""Calle de Preciados","""geo"":{""latitude"":40.4176744,""longitude"":-3.7048823",Preciados - El Corte Inglés
