,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,Mortadella Trufada,Offer,9.0,EUR,Tapas Italianas,9.3,"""Internacional""","""Calle Libertad","""geo"":{""latitude"":40.4209537,""longitude"":-3.6972699",Propaganda 12
1,1,MenuItem,Speck del Trentino,Offer,15.0,EUR,Tapas Italianas,9.3,"""Internacional""","""Calle Libertad","""geo"":{""latitude"":40.4209537,""longitude"":-3.6972699",Propaganda 12
2,2,MenuItem,Bresaola della Valtelina,Offer,9.5,EUR,Tapas Italianas,9.3,"""Internacional""","""Calle Libertad","""geo"":{""latitude"":40.4209537,""longitude"":-3.6972699",Propaganda 12
3,3,MenuItem,Porchetta di Ariccia,Offer,9.0,EUR,Tapas Italianas,9.3,"""Internacional""","""Calle Libertad","""geo"":{""latitude"":40.4209537,""longitude"":-3.6972699",Propaganda 12
4,4,MenuItem,Anchoas,Offer,7.0,EUR,Tapas Italianas,9.3,"""Internacional""","""Calle Libertad","""geo"":{""latitude"":40.4209537,""longitude"":-3.6972699",Propaganda 12
5,5,MenuItem,Coppa di Parma,Offer,7.0,EUR,Tapas Italianas,9.3,"""Internacional""","""Calle Libertad","""geo"":{""latitude"":40.4209537,""longitude"":-3.6972699",Propaganda 12
6,6,MenuItem,Foie,Offer,12.0,EUR,Tapas Italianas,9.3,"""Internacional""","""Calle Libertad","""geo"":{""latitude"":40.4209537,""longitude"":-3.6972699",Propaganda 12
7,7,MenuItem,Caponata alla Siciliana,Offer,9.0,EUR,Tapas Italianas,9.3,"""Internacional""","""Calle Libertad","""geo"":{""latitude"":40.4209537,""longitude"":-3.6972699",Propaganda 12
8,8,MenuItem,Pork & Roll,Offer,16.0,EUR,Tapas Italianas,9.3,"""Internacional""","""Calle Libertad","""geo"":{""latitude"":40.4209537,""longitude"":-3.6972699",Propaganda 12
9,9,MenuItem,Alcachofas confitadas,Offer,4.0,EUR,Tapas Italianas,9.3,"""Internacional""","""Calle Libertad","""geo"":{""latitude"":40.4209537,""longitude"":-3.6972699",Propaganda 12
