,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,Zakuskis,Offer,12.0,EUR,Entremeses y Sopas,8.9,"""Ruso""","""Calle de Yeseros","""geo"":{""latitude"":40.4120861,""longitude"":-3.7133162",Rasputín
1,1,MenuItem,Sopa Borsch,Offer,9.0,EUR,Entremeses y Sopas,8.9,"""Ruso""","""Calle de Yeseros","""geo"":{""latitude"":40.4120861,""longitude"":-3.7133162",Rasputín
2,2,MenuItem,Arenques Mar Blanco (Seliodka),Offer,12.0,EUR,Entremeses y Sopas,8.9,"""Ruso""","""Calle de Yeseros","""geo"":{""latitude"":40.4120861,""longitude"":-3.7133162",Rasputín
3,3,MenuItem,Piroski,Offer,12.0,EUR,Entremeses y Sopas,8.9,"""Ruso""","""Calle de Yeseros","""geo"":{""latitude"":40.4120861,""longitude"":-3.7133162",Rasputín
4,4,MenuItem,Ensalada Olivie con Salmon Ahumado,Offer,9.0,EUR,Entremeses y Sopas,8.9,"""Ruso""","""Calle de Yeseros","""geo"":{""latitude"":40.4120861,""longitude"":-3.7133162",Rasputín
5,5,MenuItem,Ensalada Shuba,Offer,9.0,EUR,Entremeses y Sopas,8.9,"""Ruso""","""Calle de Yeseros","""geo"":{""latitude"":40.4120861,""longitude"":-3.7133162",Rasputín
6,6,MenuItem,Ensalada Kapusta,Offer,9.0,EUR,Entremeses y Sopas,8.9,"""Ruso""","""Calle de Yeseros","""geo"":{""latitude"":40.4120861,""longitude"":-3.7133162",Rasputín
7,7,MenuItem,Huevos Roskoff,Offer,9.0,EUR,Entremeses y Sopas,8.9,"""Ruso""","""Calle de Yeseros","""geo"":{""latitude"":40.4120861,""longitude"":-3.7133162",Rasputín
8,8,MenuItem,Kotlety de Boletus,Offer,13.5,EUR,Entremeses y Sopas,8.9,"""Ruso""","""Calle de Yeseros","""geo"":{""latitude"":40.4120861,""longitude"":-3.7133162",Rasputín
9,9,MenuItem,Kotlety De Salmón Ahumado,Offer,13.5,EUR,Entremeses y Sopas,8.9,"""Ruso""","""Calle de Yeseros","""geo"":{""latitude"":40.4120861,""longitude"":-3.7133162",Rasputín
10,10,MenuItem,Ensalda Griega Con Feta,Offer,9.0,EUR,Entremeses y Sopas,8.9,"""Ruso""","""Calle de Yeseros","""geo"":{""latitude"":40.4120861,""longitude"":-3.7133162",Rasputín
