,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,Simple,Offer,5.4,EUR,Hot dog prensados,7.5,"""Brasileño""","""Calle de Eduardo Marquina","""geo"":{""latitude"":40.3931791,""longitude"":-3.7117211",Renan Prensado
1,1,MenuItem,Doble,Offer,6.0,EUR,Hot dog prensados,7.5,"""Brasileño""","""Calle de Eduardo Marquina","""geo"":{""latitude"":40.3931791,""longitude"":-3.7117211",Renan Prensado
2,2,MenuItem,Carne picada,Offer,7.2,EUR,Hot dog prensados,7.5,"""Brasileño""","""Calle de Eduardo Marquina","""geo"":{""latitude"":40.3931791,""longitude"":-3.7117211",Renan Prensado
3,3,MenuItem,Pizza,Offer,7.2,EUR,Hot dog prensados,7.5,"""Brasileño""","""Calle de Eduardo Marquina","""geo"":{""latitude"":40.3931791,""longitude"":-3.7117211",Renan Prensado
4,4,MenuItem,Bacon,Offer,7.8,EUR,Hot dog prensados,7.5,"""Brasileño""","""Calle de Eduardo Marquina","""geo"":{""latitude"":40.3931791,""longitude"":-3.7117211",Renan Prensado
5,5,MenuItem,Chorizo calabrés,Offer,7.8,EUR,Hot dog prensados,7.5,"""Brasileño""","""Calle de Eduardo Marquina","""geo"":{""latitude"":40.3931791,""longitude"":-3.7117211",Renan Prensado
6,6,MenuItem,Pollo,Offer,7.8,EUR,Hot dog prensados,7.5,"""Brasileño""","""Calle de Eduardo Marquina","""geo"":{""latitude"":40.3931791,""longitude"":-3.7117211",Renan Prensado
7,7,MenuItem,Pollo con catupiry o cheddar,Offer,8.4,EUR,Hot dog prensados,7.5,"""Brasileño""","""Calle de Eduardo Marquina","""geo"":{""latitude"":40.3931791,""longitude"":-3.7117211",Renan Prensado
8,8,MenuItem,Alcatra con cebolla,Offer,9.6,EUR,Hot dog prensados,7.5,"""Brasileño""","""Calle de Eduardo Marquina","""geo"":{""latitude"":40.3931791,""longitude"":-3.7117211",Renan Prensado
9,9,MenuItem,Picanha,Offer,10.2,EUR,Hot dog prensados,7.5,"""Brasileño""","""Calle de Eduardo Marquina","""geo"":{""latitude"":40.3931791,""longitude"":-3.7117211",Renan Prensado
10,10,MenuItem,Completo,Offer,12.6,EUR,Hot dog prensados,7.5,"""Brasileño""","""Calle de Eduardo Marquina","""geo"":{""latitude"":40.3931791,""longitude"":-3.7117211",Renan Prensado
