,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,Sabores de Esla,Offer,16.0,EUR,Entrada,8.8,"""Español""","""Calle de Atocha","""geo"":{""latitude"":40.4132142,""longitude"":-3.7010951",Restaurante CoolRooms
1,1,MenuItem,Cocido Madrileño,Offer,16.0,EUR,Entrada,8.8,"""Español""","""Calle de Atocha","""geo"":{""latitude"":40.4132142,""longitude"":-3.7010951",Restaurante CoolRooms
2,2,MenuItem,La Original,Offer,12.0,EUR,Entrada,8.8,"""Español""","""Calle de Atocha","""geo"":{""latitude"":40.4132142,""longitude"":-3.7010951",Restaurante CoolRooms
3,3,MenuItem,Cremita de huertas,Offer,11.5,EUR,Entrada,8.8,"""Español""","""Calle de Atocha","""geo"":{""latitude"":40.4132142,""longitude"":-3.7010951",Restaurante CoolRooms
4,4,MenuItem,Marejado de Bonito,Offer,16.0,EUR,Entrada,8.8,"""Español""","""Calle de Atocha","""geo"":{""latitude"":40.4132142,""longitude"":-3.7010951",Restaurante CoolRooms
5,5,MenuItem,Tortilla de la Estación,Offer,13.3,EUR,Entrada,8.8,"""Español""","""Calle de Atocha","""geo"":{""latitude"":40.4132142,""longitude"":-3.7010951",Restaurante CoolRooms
6,6,MenuItem,Taurus Tartar,Offer,18.5,EUR,Entrada,8.8,"""Español""","""Calle de Atocha","""geo"":{""latitude"":40.4132142,""longitude"":-3.7010951",Restaurante CoolRooms
7,7,MenuItem,Salteado de Verduras y Setas,Offer,14.0,EUR,Entrada,8.8,"""Español""","""Calle de Atocha","""geo"":{""latitude"":40.4132142,""longitude"":-3.7010951",Restaurante CoolRooms
8,8,MenuItem,El Corral de las Letras,Offer,14.5,EUR,Entrada,8.8,"""Español""","""Calle de Atocha","""geo"":{""latitude"":40.4132142,""longitude"":-3.7010951",Restaurante CoolRooms
9,9,MenuItem,Arroz de Campo y Playa,Offer,18.0,EUR,Entrada,8.8,"""Español""","""Calle de Atocha","""geo"":{""latitude"":40.4132142,""longitude"":-3.7010951",Restaurante CoolRooms
10,10,MenuItem,Kabi Thai,Offer,19.0,EUR,Entrada,8.8,"""Español""","""Calle de Atocha","""geo"":{""latitude"":40.4132142,""longitude"":-3.7010951",Restaurante CoolRooms
