,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,Ración de patatas paja,Offer,5,EUR,Platos,8.7,"""Español""","""Mercado Guillermo de Osma","""geo"":{""latitude"":40.3949509,""longitude"":-3.6959979",SABORÍSSIMO
1,1,MenuItem,Ración de patatas baby,Offer,7,EUR,Platos,8.7,"""Español""","""Mercado Guillermo de Osma","""geo"":{""latitude"":40.3949509,""longitude"":-3.6959979",SABORÍSSIMO
2,2,MenuItem,Patatas bravas (salsa caseras 100% artesanas),Offer,9,EUR,Platos,8.7,"""Español""","""Mercado Guillermo de Osma","""geo"":{""latitude"":40.3949509,""longitude"":-3.6959979",SABORÍSSIMO
3,3,MenuItem,Queso añejo 100% leche cruda de oveja (100% artesano),Offer,12,EUR,Platos,8.7,"""Español""","""Mercado Guillermo de Osma","""geo"":{""latitude"":40.3949509,""longitude"":-3.6959979",SABORÍSSIMO
4,4,MenuItem,"Callos a la madrileña, receta antigua, (ración 1/2 personas)",Offer,9,EUR,Platos,8.7,"""Español""","""Mercado Guillermo de Osma","""geo"":{""latitude"":40.3949509,""longitude"":-3.6959979",SABORÍSSIMO
5,5,MenuItem,"Morritos picantones, cocinado a fuego lento, como antaño. (Ración 1/2 personas)",Offer,9,EUR,Platos,8.7,"""Español""","""Mercado Guillermo de Osma","""geo"":{""latitude"":40.3949509,""longitude"":-3.6959979",SABORÍSSIMO
6,6,MenuItem,"Manitas cordero guisada, cocinado a fuego lento, como antaño. Receta antigua. (Ración 1/2 personas)",Offer,9,EUR,Platos,8.7,"""Español""","""Mercado Guillermo de Osma","""geo"":{""latitude"":40.3949509,""longitude"":-3.6959979",SABORÍSSIMO
7,7,MenuItem,"Estofado de mi abuela para los amantes de la cocina de antaño, cocinado a fuego lento. (Ración 1/2 personas)",Offer,9,EUR,Platos,8.7,"""Español""","""Mercado Guillermo de Osma","""geo"":{""latitude"":40.3949509,""longitude"":-3.6959979",SABORÍSSIMO
8,8,MenuItem,Goulash de ternera. Auténtico de Hungria. Receta antigua y a fuego lento. (Ración 1/2 personas),Offer,9,EUR,Platos,8.7,"""Español""","""Mercado Guillermo de Osma","""geo"":{""latitude"":40.3949509,""longitude"":-3.6959979",SABORÍSSIMO
9,9,MenuItem,"Albóndigas de mi abuela, receta antigua, cocinado a fuego lento, receta muy antigua... la receta de verdad! (Ración de 1/2 personas)",Offer,9,EUR,Platos,8.7,"""Español""","""Mercado Guillermo de Osma","""geo"":{""latitude"":40.3949509,""longitude"":-3.6959979",SABORÍSSIMO
10,10,MenuItem,"Albóndigas de tía Marisa, receta antigua, cocinado a fuego lento, tiene Curry (Ración de 1/2 personas)",Offer,9,EUR,Platos,8.7,"""Español""","""Mercado Guillermo de Osma","""geo"":{""latitude"":40.3949509,""longitude"":-3.6959979",SABORÍSSIMO
11,11,MenuItem,"Lengua estofada, cocinado a fuego lento, como antaño. (Ración 1/2 personas)",Offer,9,EUR,Platos,8.7,"""Español""","""Mercado Guillermo de Osma","""geo"":{""latitude"":40.3949509,""longitude"":-3.6959979",SABORÍSSIMO
12,12,MenuItem,"Carrillada de cerdo estofada, cocinado a fuego lento, como antaño (Ración 1/2 personas)",Offer,14,EUR,Platos,8.7,"""Español""","""Mercado Guillermo de Osma","""geo"":{""latitude"":40.3949509,""longitude"":-3.6959979",SABORÍSSIMO
13,13,MenuItem,"Carrillada de vacuno estofada, cocinado a fuego lento, como antaño. (Ración 1/2 personas)",Offer,15,EUR,Platos,8.7,"""Español""","""Mercado Guillermo de Osma","""geo"":{""latitude"":40.3949509,""longitude"":-3.6959979",SABORÍSSIMO
14,14,MenuItem,"Rabo estofado, cocinado a fuego lento, estilo cordobés y como antaño (Ración 1/2 personas)",Offer,18,EUR,Platos,8.7,"""Español""","""Mercado Guillermo de Osma","""geo"":{""latitude"":40.3949509,""longitude"":-3.6959979",SABORÍSSIMO
15,15,MenuItem,"Codillo especial de la casa, estibo bárbaro (alemán) y servido con patatas baby, abierto con sal, pimentón de la Vera y aceite de oliva virgen ecológico. (Ración 2/3 personas)",Offer,20,EUR,Platos,8.7,"""Español""","""Mercado Guillermo de Osma","""geo"":{""latitude"":40.3949509,""longitude"":-3.6959979",SABORÍSSIMO
16,16,MenuItem,"Patatas Ali-Oli, (100% caseras y salsa artesanal)",Offer,9,EUR,Platos,8.7,"""Español""","""Mercado Guillermo de Osma","""geo"":{""latitude"":40.3949509,""longitude"":-3.6959979",SABORÍSSIMO
17,17,MenuItem,El mejor Sándwich de PASTRAMI,Offer,14,EUR,Platos,8.7,"""Español""","""Mercado Guillermo de Osma","""geo"":{""latitude"":40.3949509,""longitude"":-3.6959979",SABORÍSSIMO
18,18,MenuItem,Pack de 4 cervezas artesanales LA SAGRA,Offer,12,EUR,Platos,8.7,"""Español""","""Mercado Guillermo de Osma","""geo"":{""latitude"":40.3949509,""longitude"":-3.6959979",SABORÍSSIMO
19,19,MenuItem,Rioja CRIANZA (100% barrica roble francés) EDULIS de ALTANZA 2016 - mas de 12 meses en barrica,Offer,14,EUR,Platos,8.7,"""Español""","""Mercado Guillermo de Osma","""geo"":{""latitude"":40.3949509,""longitude"":-3.6959979",SABORÍSSIMO
20,20,MenuItem,Carpacio de LENGUA Escarlata... ÚNICO Y EXCLUSIVO aquí!,Offer,12,EUR,Platos,8.7,"""Español""","""Mercado Guillermo de Osma","""geo"":{""latitude"":40.3949509,""longitude"":-3.6959979",SABORÍSSIMO
21,21,MenuItem,Patatas mixtas (Ali-oli y bravas),Offer,9,EUR,Platos,8.7,"""Español""","""Mercado Guillermo de Osma","""geo"":{""latitude"":40.3949509,""longitude"":-3.6959979",SABORÍSSIMO
