,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,El Tomate Samarkanda relleno con mousse de ventresca y salmorejo de albahaca,Offer,12.1,EUR,Entrantes y Primeros Platos,8.7,"""Mediterráneo""","""Glorieta de Carlos V","""geo"":{""latitude"":40.4074969,""longitude"":-3.6917107",Samarkanda
1,1,MenuItem,Ensaladilla rusa marinera con su anchoa doble cero del Cantábrico,Offer,13.0,EUR,Entrantes y Primeros Platos,8.7,"""Mediterráneo""","""Glorieta de Carlos V","""geo"":{""latitude"":40.4074969,""longitude"":-3.6917107",Samarkanda
2,2,MenuItem,Croquetas caseras de jamón ibérico con salsa de tomate especiado (8 unidades),Offer,11.0,EUR,Entrantes y Primeros Platos,8.7,"""Mediterráneo""","""Glorieta de Carlos V","""geo"":{""latitude"":40.4074969,""longitude"":-3.6917107",Samarkanda
3,3,MenuItem,Croquetas caseras de bacalao con ali-oli (6 unidades),Offer,11.0,EUR,Entrantes y Primeros Platos,8.7,"""Mediterráneo""","""Glorieta de Carlos V","""geo"":{""latitude"":40.4074969,""longitude"":-3.6917107",Samarkanda
4,4,MenuItem,Jamón Ibérico de Bellota Etiqueta Roja cortado a cuchillo *,Offer,23.1,EUR,Entrantes y Primeros Platos,8.7,"""Mediterráneo""","""Glorieta de Carlos V","""geo"":{""latitude"":40.4074969,""longitude"":-3.6917107",Samarkanda
5,5,MenuItem,1/2 Jamón Ibérico de Bellota Etiqueta Roja cortado a cuchillo*,Offer,13.75,EUR,Entrantes y Primeros Platos,8.7,"""Mediterráneo""","""Glorieta de Carlos V","""geo"":{""latitude"":40.4074969,""longitude"":-3.6917107",Samarkanda
6,6,MenuItem,Dúo de Jamón Ibérico de Bellota cortado a cuchillo y queso de oveja Zamorano,Offer,20.9,EUR,Entrantes y Primeros Platos,8.7,"""Mediterráneo""","""Glorieta de Carlos V","""geo"":{""latitude"":40.4074969,""longitude"":-3.6917107",Samarkanda
7,7,MenuItem,Chipirones de potera sobre nuestro encebollado marinero,Offer,15.4,EUR,Entrantes y Primeros Platos,8.7,"""Mediterráneo""","""Glorieta de Carlos V","""geo"":{""latitude"":40.4074969,""longitude"":-3.6917107",Samarkanda
8,8,MenuItem,Anchoa Doble Cero el Cantábrico con aceite de oliva virgen extra (1 unidad),Offer,3.9,EUR,Entrantes y Primeros Platos,8.7,"""Mediterráneo""","""Glorieta de Carlos V","""geo"":{""latitude"":40.4074969,""longitude"":-3.6917107",Samarkanda
9,9,MenuItem,Burrata al aceto balsámico con hoja de acelga roja y rúcula,Offer,15.4,EUR,Entrantes y Primeros Platos,8.7,"""Mediterráneo""","""Glorieta de Carlos V","""geo"":{""latitude"":40.4074969,""longitude"":-3.6917107",Samarkanda
10,10,MenuItem,Ensalada Ilustrada Samarkanda,Offer,12.1,EUR,Entrantes y Primeros Platos,8.7,"""Mediterráneo""","""Glorieta de Carlos V","""geo"":{""latitude"":40.4074969,""longitude"":-3.6917107",Samarkanda
11,11,MenuItem,Huevos rotos camperos con jamón ibérico de bellota,Offer,15.4,EUR,Entrantes y Primeros Platos,8.7,"""Mediterráneo""","""Glorieta de Carlos V","""geo"":{""latitude"":40.4074969,""longitude"":-3.6917107",Samarkanda
12,12,MenuItem,Menestra de verduras frescas salteadas con habitas y jamón ibérico,Offer,16.5,EUR,Entrantes y Primeros Platos,8.7,"""Mediterráneo""","""Glorieta de Carlos V","""geo"":{""latitude"":40.4074969,""longitude"":-3.6917107",Samarkanda
13,13,MenuItem,Espárragos trigueros a la parrilla con mayonesa al curry,Offer,10.9,EUR,Entrantes y Primeros Platos,8.7,"""Mediterráneo""","""Glorieta de Carlos V","""geo"":{""latitude"":40.4074969,""longitude"":-3.6917107",Samarkanda
14,14,MenuItem,Rissoto de boletus y parmesano,Offer,17.9,EUR,Entrantes y Primeros Platos,8.7,"""Mediterráneo""","""Glorieta de Carlos V","""geo"":{""latitude"":40.4074969,""longitude"":-3.6917107",Samarkanda
