,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,Nuestra ensaladilla,Offer,9.9,EUR,Picoteo,8.5,None,"""Calle de San Mateo","""geo"":{""latitude"":40.4250476,""longitude"":-3.7001177",San Mateo Circus
1,1,MenuItem,Ensaladilla con lomitos de ventresca,Offer,12.9,EUR,Picoteo,8.5,None,"""Calle de San Mateo","""geo"":{""latitude"":40.4250476,""longitude"":-3.7001177",San Mateo Circus
2,2,MenuItem,Jamón ibérico de bellota,Offer,18.9,EUR,Picoteo,8.5,None,"""Calle de San Mateo","""geo"":{""latitude"":40.4250476,""longitude"":-3.7001177",San Mateo Circus
3,3,MenuItem,"Tabla de quesos ( con nueces , orejones y compota )",Offer,13.9,EUR,Picoteo,8.5,None,"""Calle de San Mateo","""geo"":{""latitude"":40.4250476,""longitude"":-3.7001177",San Mateo Circus
4,4,MenuItem,"Burrata fresca sobre salmorejo , rúcula , tomate deshidratado y sal negra",Offer,12.9,EUR,Picoteo,8.5,None,"""Calle de San Mateo","""geo"":{""latitude"":40.4250476,""longitude"":-3.7001177",San Mateo Circus
5,5,MenuItem,"Tomate Circus ( mango , aguacate , papaya y piñones )",Offer,12.9,EUR,Picoteo,8.5,None,"""Calle de San Mateo","""geo"":{""latitude"":40.4250476,""longitude"":-3.7001177",San Mateo Circus
6,6,MenuItem,Lomos de sardina al punto de sal sobre ajoblanco,Offer,12.9,EUR,Picoteo,8.5,None,"""Calle de San Mateo","""geo"":{""latitude"":40.4250476,""longitude"":-3.7001177",San Mateo Circus
7,7,MenuItem,Pulpo sobre emulsión de patata,Offer,17.9,EUR,Picoteo,8.5,None,"""Calle de San Mateo","""geo"":{""latitude"":40.4250476,""longitude"":-3.7001177",San Mateo Circus
8,8,MenuItem,Albondigas de gallina y poularda,Offer,13.9,EUR,Picoteo,8.5,None,"""Calle de San Mateo","""geo"":{""latitude"":40.4250476,""longitude"":-3.7001177",San Mateo Circus
9,9,MenuItem,"Hamburguesa Distinto , con pan de tomate , mayonesa de albahaca y scamorza gratinado",Offer,8.9,EUR,Picoteo,8.5,None,"""Calle de San Mateo","""geo"":{""latitude"":40.4250476,""longitude"":-3.7001177",San Mateo Circus
10,10,MenuItem,Paquito de cordero con recula y provolone,Offer,5.9,EUR,Picoteo,8.5,None,"""Calle de San Mateo","""geo"":{""latitude"":40.4250476,""longitude"":-3.7001177",San Mateo Circus
