,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,Zamburiñas a la llama con gremolata siciliana y lemond curd,Offer,17.9,EUR,Las creaciones de nuestro chef,9.2,"""Creativo""","""Calle de Don Ramon de la Cruz","""geo"":{""latitude"":40.4285833,""longitude"":-3.6748306",Shalakabula
1,1,MenuItem,Croquetas de ají de gallina madrileña,Offer,10.9,EUR,Las creaciones de nuestro chef,9.2,"""Creativo""","""Calle de Don Ramon de la Cruz","""geo"":{""latitude"":40.4285833,""longitude"":-3.6748306",Shalakabula
2,2,MenuItem,"Dumpling peruano de ají limo con pollo de corral al anticucho, aliño de ceviche y crema de batata a la canela ahumada",Offer,4.9,EUR,Las creaciones de nuestro chef,9.2,"""Creativo""","""Calle de Don Ramon de la Cruz","""geo"":{""latitude"":40.4285833,""longitude"":-3.6748306",Shalakabula
3,3,MenuItem,Gyozas crujientes de pollo de corral y shitake con salsa hoisin y tártara asiática,Offer,9.9,EUR,Las creaciones de nuestro chef,9.2,"""Creativo""","""Calle de Don Ramon de la Cruz","""geo"":{""latitude"":40.4285833,""longitude"":-3.6748306",Shalakabula
4,4,MenuItem,Ensaladilla rusa templada del Siglo XXI,Offer,10.9,EUR,Las creaciones de nuestro chef,9.2,"""Creativo""","""Calle de Don Ramon de la Cruz","""geo"":{""latitude"":40.4285833,""longitude"":-3.6748306",Shalakabula
5,5,MenuItem,"Nigiri de careta suflada con anguila al tamarindo quemado, salsa de kimuchi no moto acidulada y pesto de jalapeños y yuzu",Offer,15.9,EUR,Las creaciones de nuestro chef,9.2,"""Creativo""","""Calle de Don Ramon de la Cruz","""geo"":{""latitude"":40.4285833,""longitude"":-3.6748306",Shalakabula
6,6,MenuItem,El gato nipón (nuestra versión de ramen miso),Offer,13.9,EUR,Las creaciones de nuestro chef,9.2,"""Creativo""","""Calle de Don Ramon de la Cruz","""geo"":{""latitude"":40.4285833,""longitude"":-3.6748306",Shalakabula
7,7,MenuItem,Tiradito de atún rojo templado al sésamo con crema de chipotle y soja sempio,Offer,21.9,EUR,Las creaciones de nuestro chef,9.2,"""Creativo""","""Calle de Don Ramon de la Cruz","""geo"":{""latitude"":40.4285833,""longitude"":-3.6748306",Shalakabula
8,8,MenuItem,Ceviche templado de corvina y tomate de árbol con crema a la huancaína de parmesano,Offer,17.9,EUR,Las creaciones de nuestro chef,9.2,"""Creativo""","""Calle de Don Ramon de la Cruz","""geo"":{""latitude"":40.4285833,""longitude"":-3.6748306",Shalakabula
9,9,MenuItem,Chipirón a la llama con ensalada de papaya thai y hoisin de hibiscus,Offer,16.9,EUR,Las creaciones de nuestro chef,9.2,"""Creativo""","""Calle de Don Ramon de la Cruz","""geo"":{""latitude"":40.4285833,""longitude"":-3.6748306",Shalakabula
10,10,MenuItem,"Bokata de calamares cañí de chipirón encebollado al gochu jang, espuma templada de ali-oli yuzu y calamar frito",Offer,14.9,EUR,Las creaciones de nuestro chef,9.2,"""Creativo""","""Calle de Don Ramon de la Cruz","""geo"":{""latitude"":40.4285833,""longitude"":-3.6748306",Shalakabula
11,11,MenuItem,Baozi de rabo de vaca con suquet de cangrejo y bilbaina de vinagre negro,Offer,17.9,EUR,Las creaciones de nuestro chef,9.2,"""Creativo""","""Calle de Don Ramon de la Cruz","""geo"":{""latitude"":40.4285833,""longitude"":-3.6748306",Shalakabula
12,12,MenuItem,Nem ran de pato pekinés con salsa agria de pimientas y huevas ahumadas,Offer,14.9,EUR,Las creaciones de nuestro chef,9.2,"""Creativo""","""Calle de Don Ramon de la Cruz","""geo"":{""latitude"":40.4285833,""longitude"":-3.6748306",Shalakabula
13,13,MenuItem,"Carrillera melosa de ternera con su reducción, terminada con curry verde tailandés",Offer,18.9,EUR,Las creaciones de nuestro chef,9.2,"""Creativo""","""Calle de Don Ramon de la Cruz","""geo"":{""latitude"":40.4285833,""longitude"":-3.6748306",Shalakabula
