,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,Wantón (14 piezas),Offer,4.9,EUR,Tapas,None,"""Chino""","""Calle de los Reyes","""geo"":{""latitude"":40.4241173,""longitude"":-3.7097129",Tapa China
1,1,MenuItem,Wantón con Verdura y Carne,Offer,6.5,EUR,Tapas,None,"""Chino""","""Calle de los Reyes","""geo"":{""latitude"":40.4241173,""longitude"":-3.7097129",Tapa China
2,2,MenuItem,Tiras Fritas de Pollo Q,Offer,3.5,EUR,Tapas,None,"""Chino""","""Calle de los Reyes","""geo"":{""latitude"":40.4241173,""longitude"":-3.7097129",Tapa China
3,3,MenuItem,Pechuga Frita de Pollo,Offer,1.5,EUR,Tapas,None,"""Chino""","""Calle de los Reyes","""geo"":{""latitude"":40.4241173,""longitude"":-3.7097129",Tapa China
4,4,MenuItem,Empanada de Huevo y Cebolleta (De mi Mamá),Offer,5.5,EUR,Tapas,None,"""Chino""","""Calle de los Reyes","""geo"":{""latitude"":40.4241173,""longitude"":-3.7097129",Tapa China
5,5,MenuItem,Piel de Toufu con Cerdo (De mi Abuela),Offer,4.5,EUR,Tapas,None,"""Chino""","""Calle de los Reyes","""geo"":{""latitude"":40.4241173,""longitude"":-3.7097129",Tapa China
6,6,MenuItem,HuiTou de Cerdo,Offer,5.5,EUR,Tapas,None,"""Chino""","""Calle de los Reyes","""geo"":{""latitude"":40.4241173,""longitude"":-3.7097129",Tapa China
7,7,MenuItem,Verdura Mixta Koreana,Offer,5.0,EUR,Tapas,None,"""Chino""","""Calle de los Reyes","""geo"":{""latitude"":40.4241173,""longitude"":-3.7097129",Tapa China
8,8,MenuItem,Ternera cocida,Offer,5.5,EUR,Tapas,None,"""Chino""","""Calle de los Reyes","""geo"":{""latitude"":40.4241173,""longitude"":-3.7097129",Tapa China
9,9,MenuItem,Croqueta de Cerdo,Offer,4.0,EUR,Tapas,None,"""Chino""","""Calle de los Reyes","""geo"":{""latitude"":40.4241173,""longitude"":-3.7097129",Tapa China
10,10,MenuItem,Raviollis fritos de pollo,Offer,4.0,EUR,Tapas,None,"""Chino""","""Calle de los Reyes","""geo"":{""latitude"":40.4241173,""longitude"":-3.7097129",Tapa China
11,11,MenuItem,Verdura mixta fría,Offer,4.5,EUR,Tapas,None,"""Chino""","""Calle de los Reyes","""geo"":{""latitude"":40.4241173,""longitude"":-3.7097129",Tapa China
12,12,MenuItem,Arroz frito con verdura,Offer,6.0,EUR,Tapas,None,"""Chino""","""Calle de los Reyes","""geo"":{""latitude"":40.4241173,""longitude"":-3.7097129",Tapa China
