,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,Humus cremoso con tostas y sésamo negro,Offer,10,EUR,PARA COMPARTIR / TO SHARE,8.5,None,"""Plaza de Sta","""geo"":{""latitude"":40.42644,""longitude"":-3.69639",The Place To Be - Petit P...
1,1,MenuItem,Burrata di bufala con salsa pesto y pan tramezzini de tomate,Offer,14,EUR,PARA COMPARTIR / TO SHARE,8.5,None,"""Plaza de Sta","""geo"":{""latitude"":40.42644,""longitude"":-3.69639",The Place To Be - Petit P...
2,2,MenuItem,Jamón Ibérico de bellota al plato,Offer,20,EUR,PARA COMPARTIR / TO SHARE,8.5,None,"""Plaza de Sta","""geo"":{""latitude"":40.42644,""longitude"":-3.69639",The Place To Be - Petit P...
3,3,MenuItem,Surtido de quesos con frutos rojos,Offer,14,EUR,PARA COMPARTIR / TO SHARE,8.5,None,"""Plaza de Sta","""geo"":{""latitude"":40.42644,""longitude"":-3.69639",The Place To Be - Petit P...
4,4,MenuItem,Provolone al horno con confitura de tomate y focaccia de quinoa,Offer,12,EUR,PARA COMPARTIR / TO SHARE,8.5,None,"""Plaza de Sta","""geo"":{""latitude"":40.42644,""longitude"":-3.69639",The Place To Be - Petit P...
5,5,MenuItem,Corazones tiernos de alcachofa al grill,Offer,9,EUR,PARA COMPARTIR / TO SHARE,8.5,None,"""Plaza de Sta","""geo"":{""latitude"":40.42644,""longitude"":-3.69639",The Place To Be - Petit P...
6,6,MenuItem,Patatas revolconas con torreznos de Soria,Offer,8,EUR,PARA COMPARTIR / TO SHARE,8.5,None,"""Plaza de Sta","""geo"":{""latitude"":40.42644,""longitude"":-3.69639",The Place To Be - Petit P...
7,7,MenuItem,Nuestra versión de patatas bravas con salsa chipotle,Offer,7,EUR,PARA COMPARTIR / TO SHARE,8.5,None,"""Plaza de Sta","""geo"":{""latitude"":40.42644,""longitude"":-3.69639",The Place To Be - Petit P...
8,8,MenuItem,"Selección de croquetas: jamón ibérico, carabinero, espinacas y boletus",Offer,9,EUR,PARA COMPARTIR / TO SHARE,8.5,None,"""Plaza de Sta","""geo"":{""latitude"":40.42644,""longitude"":-3.69639",The Place To Be - Petit P...
9,9,MenuItem,Saquitos crujientes de langostino y setas con salsa de puerro y parmesano,Offer,12,EUR,PARA COMPARTIR / TO SHARE,8.5,None,"""Plaza de Sta","""geo"":{""latitude"":40.42644,""longitude"":-3.69639",The Place To Be - Petit P...
10,10,MenuItem,Langostino al panko con salsa rocoto y kimchi,Offer,12,EUR,PARA COMPARTIR / TO SHARE,8.5,None,"""Plaza de Sta","""geo"":{""latitude"":40.42644,""longitude"":-3.69639",The Place To Be - Petit P...
11,11,MenuItem,Ceviche de pescado en copa,Offer,14,EUR,PARA COMPARTIR / TO SHARE,8.5,None,"""Plaza de Sta","""geo"":{""latitude"":40.42644,""longitude"":-3.69639",The Place To Be - Petit P...
