,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,Jamón ibérico de bellota,Offer,19.0,EUR,Entrantes,8.9,"""Gallego""","""Calle de Gonzalo de Córdoba","""geo"":{""latitude"":40.4321335,""longitude"":-3.7026989",Villa de Foz
1,1,MenuItem,Surtido de quesos,Offer,15.0,EUR,Entrantes,8.9,"""Gallego""","""Calle de Gonzalo de Córdoba","""geo"":{""latitude"":40.4321335,""longitude"":-3.7026989",Villa de Foz
2,2,MenuItem,Verbena de ibéricos,Offer,17.0,EUR,Entrantes,8.9,"""Gallego""","""Calle de Gonzalo de Córdoba","""geo"":{""latitude"":40.4321335,""longitude"":-3.7026989",Villa de Foz
3,3,MenuItem,Lomo de sardina ahumada con pan tumaca,Offer,3.5,EUR,Entrantes,8.9,"""Gallego""","""Calle de Gonzalo de Córdoba","""geo"":{""latitude"":40.4321335,""longitude"":-3.7026989",Villa de Foz
4,4,MenuItem,Ensalada de tomate raf con bonito,Offer,12.0,EUR,Entrantes,8.9,"""Gallego""","""Calle de Gonzalo de Córdoba","""geo"":{""latitude"":40.4321335,""longitude"":-3.7026989",Villa de Foz
5,5,MenuItem,Anchoas de Santoña,Offer,17.0,EUR,Entrantes,8.9,"""Gallego""","""Calle de Gonzalo de Córdoba","""geo"":{""latitude"":40.4321335,""longitude"":-3.7026989",Villa de Foz
6,6,MenuItem,Empanada gallega,Offer,11.5,EUR,Entrantes,8.9,"""Gallego""","""Calle de Gonzalo de Córdoba","""geo"":{""latitude"":40.4321335,""longitude"":-3.7026989",Villa de Foz
7,7,MenuItem,Foie de oca al Pedro Ximénez,Offer,18.5,EUR,Entrantes,8.9,"""Gallego""","""Calle de Gonzalo de Córdoba","""geo"":{""latitude"":40.4321335,""longitude"":-3.7026989",Villa de Foz
8,8,MenuItem,Tabla de croquetas caseras variadas,Offer,11.0,EUR,Entrantes,8.9,"""Gallego""","""Calle de Gonzalo de Córdoba","""geo"":{""latitude"":40.4321335,""longitude"":-3.7026989",Villa de Foz
9,9,MenuItem,Pulpo a feira,Offer,16.5,EUR,Entrantes,8.9,"""Gallego""","""Calle de Gonzalo de Córdoba","""geo"":{""latitude"":40.4321335,""longitude"":-3.7026989",Villa de Foz
10,10,MenuItem,Habitas con chipirones,Offer,15.0,EUR,Entrantes,8.9,"""Gallego""","""Calle de Gonzalo de Córdoba","""geo"":{""latitude"":40.4321335,""longitude"":-3.7026989",Villa de Foz
11,11,MenuItem,Callos a la madrileña,Offer,15.0,EUR,Entrantes,8.9,"""Gallego""","""Calle de Gonzalo de Córdoba","""geo"":{""latitude"":40.4321335,""longitude"":-3.7026989",Villa de Foz
