,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,Triángulo de Curry,Offer,4.0,EUR,Entrantes,8.6,"""Asiático""","""Calle de San Bernardo","""geo"":{""latitude"":40.4219998,""longitude"":-3.7076177",Asian
1,1,MenuItem,Patata con sésamo,Offer,3.0,EUR,Entrantes,8.6,"""Asiático""","""Calle de San Bernardo","""geo"":{""latitude"":40.4219998,""longitude"":-3.7076177",Asian
2,2,MenuItem,Tou Fu frito,Offer,4.5,EUR,Entrantes,8.6,"""Asiático""","""Calle de San Bernardo","""geo"":{""latitude"":40.4219998,""longitude"":-3.7076177",Asian
3,3,MenuItem,Rollitos fritos,Offer,4.0,EUR,Entrantes,8.6,"""Asiático""","""Calle de San Bernardo","""geo"":{""latitude"":40.4219998,""longitude"":-3.7076177",Asian
4,4,MenuItem,Pan frito,Offer,1.0,EUR,Entrantes,8.6,"""Asiático""","""Calle de San Bernardo","""geo"":{""latitude"":40.4219998,""longitude"":-3.7076177",Asian
5,5,MenuItem,Plátano frito,Offer,4.0,EUR,Entrantes,8.6,"""Asiático""","""Calle de San Bernardo","""geo"":{""latitude"":40.4219998,""longitude"":-3.7076177",Asian
6,6,MenuItem,Wantun de queso,Offer,4.0,EUR,Entrantes,8.6,"""Asiático""","""Calle de San Bernardo","""geo"":{""latitude"":40.4219998,""longitude"":-3.7076177",Asian
7,7,MenuItem,Tempura de langostinos,Offer,6.0,EUR,Entrantes,8.6,"""Asiático""","""Calle de San Bernardo","""geo"":{""latitude"":40.4219998,""longitude"":-3.7076177",Asian
8,8,MenuItem,Tempura de verduras,Offer,5.0,EUR,Entrantes,8.6,"""Asiático""","""Calle de San Bernardo","""geo"":{""latitude"":40.4219998,""longitude"":-3.7076177",Asian
9,9,MenuItem,Tempura mixta,Offer,5.0,EUR,Entrantes,8.6,"""Asiático""","""Calle de San Bernardo","""geo"":{""latitude"":40.4219998,""longitude"":-3.7076177",Asian
