,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,Soft-shell Crab,Offer,11.5,EUR,Especialidades (Makis especiales Inari),9,"""Japonés""","""Calle del Gral","""geo"":{""latitude"":40.4292844,""longitude"":-3.6783969",Inari - General Pardiñas
1,1,MenuItem,Shitake Crunchy Roll,Offer,11.0,EUR,Especialidades (Makis especiales Inari),9,"""Japonés""","""Calle del Gral","""geo"":{""latitude"":40.4292844,""longitude"":-3.6783969",Inari - General Pardiñas
2,2,MenuItem,California Especial,Offer,13.0,EUR,Especialidades (Makis especiales Inari),9,"""Japonés""","""Calle del Gral","""geo"":{""latitude"":40.4292844,""longitude"":-3.6783969",Inari - General Pardiñas
3,3,MenuItem,Inari Surimi Roll,Offer,13.3,EUR,Especialidades (Makis especiales Inari),9,"""Japonés""","""Calle del Gral","""geo"":{""latitude"":40.4292844,""longitude"":-3.6783969",Inari - General Pardiñas
4,4,MenuItem,Ebi Especial,Offer,13.0,EUR,Especialidades (Makis especiales Inari),9,"""Japonés""","""Calle del Gral","""geo"":{""latitude"":40.4292844,""longitude"":-3.6783969",Inari - General Pardiñas
5,5,MenuItem,Inari Spicy Tuna,Offer,14.2,EUR,Especialidades (Makis especiales Inari),9,"""Japonés""","""Calle del Gral","""geo"":{""latitude"":40.4292844,""longitude"":-3.6783969",Inari - General Pardiñas
6,6,MenuItem,Inari Uramaki,Offer,16.5,EUR,Especialidades (Makis especiales Inari),9,"""Japonés""","""Calle del Gral","""geo"":{""latitude"":40.4292844,""longitude"":-3.6783969",Inari - General Pardiñas
7,7,MenuItem,Unagui Maki Especial,Offer,16.0,EUR,Especialidades (Makis especiales Inari),9,"""Japonés""","""Calle del Gral","""geo"":{""latitude"":40.4292844,""longitude"":-3.6783969",Inari - General Pardiñas
8,8,MenuItem,Salmón Crispy Roll,Offer,13.3,EUR,Especialidades (Makis especiales Inari),9,"""Japonés""","""Calle del Gral","""geo"":{""latitude"":40.4292844,""longitude"":-3.6783969",Inari - General Pardiñas
9,9,MenuItem,Corvina Especial Roll,Offer,12.9,EUR,Especialidades (Makis especiales Inari),9,"""Japonés""","""Calle del Gral","""geo"":{""latitude"":40.4292844,""longitude"":-3.6783969",Inari - General Pardiñas
10,10,MenuItem,Maki Acevichado Inari,Offer,12.5,EUR,Especialidades (Makis especiales Inari),9,"""Japonés""","""Calle del Gral","""geo"":{""latitude"":40.4292844,""longitude"":-3.6783969",Inari - General Pardiñas
11,11,MenuItem,Inari Aguacate,Offer,13.75,EUR,Especialidades (Makis especiales Inari),9,"""Japonés""","""Calle del Gral","""geo"":{""latitude"":40.4292844,""longitude"":-3.6783969",Inari - General Pardiñas
12,12,MenuItem,Salmón Roll Flambeado,Offer,14.95,EUR,Especialidades (Makis especiales Inari),9,"""Japonés""","""Calle del Gral","""geo"":{""latitude"":40.4292844,""longitude"":-3.6783969",Inari - General Pardiñas
13,13,MenuItem,Pez Mantequilla Roll Flambeado,Offer,14.95,EUR,Especialidades (Makis especiales Inari),9,"""Japonés""","""Calle del Gral","""geo"":{""latitude"":40.4292844,""longitude"":-3.6783969",Inari - General Pardiñas
14,14,MenuItem,Toro Roll Flambeado,Offer,16.5,EUR,Especialidades (Makis especiales Inari),9,"""Japonés""","""Calle del Gral","""geo"":{""latitude"":40.4292844,""longitude"":-3.6783969",Inari - General Pardiñas
