,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,Mix Vegetable (Siempre popular plato de verduras frescas variadas con salsa suave o picante),Offer,10.5,EUR,PLATOS DE VERDURA,9.4,"""Indio""","""Calle Antonio Arias","""geo"":{""latitude"":40.4177183,""longitude"":-3.6716143",Shampan Indian
1,1,MenuItem,Mashroom Bhaji (Botón de setas arrojadas con especias ligeras asadas y salpicaduras de aceite de oliva con cilantro),Offer,7.5,EUR,PLATOS DE VERDURA,9.4,"""Indio""","""Calle Antonio Arias","""geo"":{""latitude"":40.4177183,""longitude"":-3.6716143",Shampan Indian
2,2,MenuItem,Brinjal Bhaji (Una combinación de cinco tipos deferentes de especias con berenjena fresca crujiente y rallada),Offer,8.0,EUR,PLATOS DE VERDURA,9.4,"""Indio""","""Calle Antonio Arias","""geo"":{""latitude"":40.4177183,""longitude"":-3.6716143",Shampan Indian
3,3,MenuItem,"Chana Sag (Espinacas con garbanzos, un plato único muy delicioso, cocinado con especias, cebolla y salsas)",Offer,8.5,EUR,PLATOS DE VERDURA,9.4,"""Indio""","""Calle Antonio Arias","""geo"":{""latitude"":40.4177183,""longitude"":-3.6716143",Shampan Indian
4,4,MenuItem,"Bhindi Bhaji (Okra frsca salteada con cebollín, tomate y con especias)",Offer,9.0,EUR,PLATOS DE VERDURA,9.4,"""Indio""","""Calle Antonio Arias","""geo"":{""latitude"":40.4177183,""longitude"":-3.6716143",Shampan Indian
5,5,MenuItem,"Tarka Dhal (Lentejas, templadas con copos de ajo y comino)",Offer,8.0,EUR,PLATOS DE VERDURA,9.4,"""Indio""","""Calle Antonio Arias","""geo"":{""latitude"":40.4177183,""longitude"":-3.6716143",Shampan Indian
6,6,MenuItem,"Aloo Gobi (Floreros de coliflor y patata, cebollín y salsa suave)",Offer,10.5,EUR,PLATOS DE VERDURA,9.4,"""Indio""","""Calle Antonio Arias","""geo"":{""latitude"":40.4177183,""longitude"":-3.6716143",Shampan Indian
7,7,MenuItem,Sag Aloo (La espinaca y las patatas más populares del plato lateral arrojadas en las semillas de nigella),Offer,9.0,EUR,PLATOS DE VERDURA,9.4,"""Indio""","""Calle Antonio Arias","""geo"":{""latitude"":40.4177183,""longitude"":-3.6716143",Shampan Indian
8,8,MenuItem,Sag Paneer (Cubos frescos de queso paneer con nata y espinacas ligeramente condimentadas),Offer,9.5,EUR,PLATOS DE VERDURA,9.4,"""Indio""","""Calle Antonio Arias","""geo"":{""latitude"":40.4177183,""longitude"":-3.6716143",Shampan Indian
9,9,MenuItem,"Karay Paneer (Queso fresco preparado con pimiento verde, rojo, tomate y cebolla)",Offer,10.0,EUR,PLATOS DE VERDURA,9.4,"""Indio""","""Calle Antonio Arias","""geo"":{""latitude"":40.4177183,""longitude"":-3.6716143",Shampan Indian
