,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,Cerveza Japonesa Asahi,Offer,3.0,EUR,BEBIDAS,9.5,"""Japonés""","""Plaza del Descubridor Diego de Ordás","""geo"":{""latitude"":40.4405443,""longitude"":-3.7007029",Tori-Key
1,1,MenuItem,Copa Vino Blanco Basa (Rueda),Offer,3.0,EUR,BEBIDAS,9.5,"""Japonés""","""Plaza del Descubridor Diego de Ordás","""geo"":{""latitude"":40.4405443,""longitude"":-3.7007029",Tori-Key
2,2,MenuItem,Copa Vino Tinto Casa de Fieras (Rioja),Offer,3.0,EUR,BEBIDAS,9.5,"""Japonés""","""Plaza del Descubridor Diego de Ordás","""geo"":{""latitude"":40.4405443,""longitude"":-3.7007029",Tori-Key
3,3,MenuItem,Copa Vino Tinto Emilio Moro (Ribera del Duero),Offer,4.5,EUR,BEBIDAS,9.5,"""Japonés""","""Plaza del Descubridor Diego de Ordás","""geo"":{""latitude"":40.4405443,""longitude"":-3.7007029",Tori-Key
4,4,MenuItem,Copa de Champange André Clouet,Offer,7.0,EUR,BEBIDAS,9.5,"""Japonés""","""Plaza del Descubridor Diego de Ordás","""geo"":{""latitude"":40.4405443,""longitude"":-3.7007029",Tori-Key
5,5,MenuItem,Copa de Cava Terraprima,Offer,5.0,EUR,BEBIDAS,9.5,"""Japonés""","""Plaza del Descubridor Diego de Ordás","""geo"":{""latitude"":40.4405443,""longitude"":-3.7007029",Tori-Key
6,6,MenuItem,Umesyu (licor de ciruela),Offer,6.5,EUR,BEBIDAS,9.5,"""Japonés""","""Plaza del Descubridor Diego de Ordás","""geo"":{""latitude"":40.4405443,""longitude"":-3.7007029",Tori-Key
7,7,MenuItem,Té sencha,Offer,3.0,EUR,BEBIDAS,9.5,"""Japonés""","""Plaza del Descubridor Diego de Ordás","""geo"":{""latitude"":40.4405443,""longitude"":-3.7007029",Tori-Key
8,8,MenuItem,Té genmaicha,Offer,3.0,EUR,BEBIDAS,9.5,"""Japonés""","""Plaza del Descubridor Diego de Ordás","""geo"":{""latitude"":40.4405443,""longitude"":-3.7007029",Tori-Key
9,9,MenuItem,Calpis (refresco japonés),Offer,3.8,EUR,BEBIDAS,9.5,"""Japonés""","""Plaza del Descubridor Diego de Ordás","""geo"":{""latitude"":40.4405443,""longitude"":-3.7007029",Tori-Key
10,10,MenuItem,"Ramune (refresco japo: fresa, melon, lychee...)",Offer,3.9,EUR,BEBIDAS,9.5,"""Japonés""","""Plaza del Descubridor Diego de Ordás","""geo"":{""latitude"":40.4405443,""longitude"":-3.7007029",Tori-Key
