,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,"Sandwich de paté de shitake con lechuga, tomate y cebolla",Offer,4.5,EUR,Plato,7.9,"""Vegetariano""","""Calle de las Navas de Tolosa","""geo"":{""latitude"":40.4191452,""longitude"":-3.70684",AbonaVida
1,1,MenuItem,Tosta de queso de cabra con mermelada ecológica de higo,Offer,6.9,EUR,Plato,7.9,"""Vegetariano""","""Calle de las Navas de Tolosa","""geo"":{""latitude"":40.4191452,""longitude"":-3.70684",AbonaVida
2,2,MenuItem,"Pizza Retiro (tomate, ajo y especias)",Offer,7.5,EUR,Plato,7.9,"""Vegetariano""","""Calle de las Navas de Tolosa","""geo"":{""latitude"":40.4191452,""longitude"":-3.70684",AbonaVida
3,3,MenuItem,"Pizza Callao (tomate, mozzarella y hierbas)",Offer,8.0,EUR,Plato,7.9,"""Vegetariano""","""Calle de las Navas de Tolosa","""geo"":{""latitude"":40.4191452,""longitude"":-3.70684",AbonaVida
4,4,MenuItem,"Pizza Lavapiés ( tomate, mozzarella, cebolla atún y hierbas)",Offer,8.5,EUR,Plato,7.9,"""Vegetariano""","""Calle de las Navas de Tolosa","""geo"":{""latitude"":40.4191452,""longitude"":-3.70684",AbonaVida
5,5,MenuItem,"Pizza Sol (tomate, champiñón, pimiento rojo y hierbas)",Offer,8.5,EUR,Plato,7.9,"""Vegetariano""","""Calle de las Navas de Tolosa","""geo"":{""latitude"":40.4191452,""longitude"":-3.70684",AbonaVida
6,6,MenuItem,"Pizza Ópera (tomate, mozzarella, tomate seco, alcaparras y hierbas)",Offer,9.0,EUR,Plato,7.9,"""Vegetariano""","""Calle de las Navas de Tolosa","""geo"":{""latitude"":40.4191452,""longitude"":-3.70684",AbonaVida
7,7,MenuItem,"Pizza Malasaña (tomate, mozzarella, jamón ibérico y hierbas)",Offer,9.0,EUR,Plato,7.9,"""Vegetariano""","""Calle de las Navas de Tolosa","""geo"":{""latitude"":40.4191452,""longitude"":-3.70684",AbonaVida
8,8,MenuItem,"Pizza Carabanchel (tomate, mozzarella, champiñón, cebolla, bacon y hierbas)",Offer,9.0,EUR,Plato,7.9,"""Vegetariano""","""Calle de las Navas de Tolosa","""geo"":{""latitude"":40.4191452,""longitude"":-3.70684",AbonaVida
9,9,MenuItem,Tosta de hummus con pimentón y aceite de oliva virgen extra,Offer,4.9,EUR,Plato,7.9,"""Vegetariano""","""Calle de las Navas de Tolosa","""geo"":{""latitude"":40.4191452,""longitude"":-3.70684",AbonaVida
10,10,MenuItem,Tosta de paté de shitake con nueces y pimienta negra),Offer,5.4,EUR,Plato,7.9,"""Vegetariano""","""Calle de las Navas de Tolosa","""geo"":{""latitude"":40.4191452,""longitude"":-3.70684",AbonaVida
11,11,MenuItem,Tosta de queso crema con mermelada ecológica de pimiento confitado,Offer,5.4,EUR,Plato,7.9,"""Vegetariano""","""Calle de las Navas de Tolosa","""geo"":{""latitude"":40.4191452,""longitude"":-3.70684",AbonaVida
12,12,MenuItem,Tosta de calabacín con queso de oveja gratinado y hierbas,Offer,5.4,EUR,Plato,7.9,"""Vegetariano""","""Calle de las Navas de Tolosa","""geo"":{""latitude"":40.4191452,""longitude"":-3.70684",AbonaVida
13,13,MenuItem,"Tosta de queso manchego, tomate y hierbas",Offer,5.4,EUR,Plato,7.9,"""Vegetariano""","""Calle de las Navas de Tolosa","""geo"":{""latitude"":40.4191452,""longitude"":-3.70684",AbonaVida
14,14,MenuItem,"Tosta de caballa, tomate y pimientos del piquillo",Offer,6.5,EUR,Plato,7.9,"""Vegetariano""","""Calle de las Navas de Tolosa","""geo"":{""latitude"":40.4191452,""longitude"":-3.70684",AbonaVida
15,15,MenuItem,Tosta de jamón ibérico con tomate y aceite de oliva virgen extra,Offer,6.5,EUR,Plato,7.9,"""Vegetariano""","""Calle de las Navas de Tolosa","""geo"":{""latitude"":40.4191452,""longitude"":-3.70684",AbonaVida
16,16,MenuItem,Tosta de queso de cabra con mermelada de higo,Offer,6.9,EUR,Plato,7.9,"""Vegetariano""","""Calle de las Navas de Tolosa","""geo"":{""latitude"":40.4191452,""longitude"":-3.70684",AbonaVida
