,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,Pelúa,Offer,6.9,EUR,Arepas,8.9,"""Venezolano""","""Calle de Almansa","""geo"":{""latitude"":40.4487447,""longitude"":-3.7068901",Arepas And Go
1,1,MenuItem,Sifrina,Offer,6.9,EUR,Arepas,8.9,"""Venezolano""","""Calle de Almansa","""geo"":{""latitude"":40.4487447,""longitude"":-3.7068901",Arepas And Go
2,2,MenuItem,Pabellón,Offer,6.9,EUR,Arepas,8.9,"""Venezolano""","""Calle de Almansa","""geo"":{""latitude"":40.4487447,""longitude"":-3.7068901",Arepas And Go
3,3,MenuItem,Carne Mechada,Offer,6.9,EUR,Arepas,8.9,"""Venezolano""","""Calle de Almansa","""geo"":{""latitude"":40.4487447,""longitude"":-3.7068901",Arepas And Go
4,4,MenuItem,Reina Pepiada,Offer,7.0,EUR,Arepas,8.9,"""Venezolano""","""Calle de Almansa","""geo"":{""latitude"":40.4487447,""longitude"":-3.7068901",Arepas And Go
5,5,MenuItem,Vegana,Offer,6.9,EUR,Arepas,8.9,"""Venezolano""","""Calle de Almansa","""geo"":{""latitude"":40.4487447,""longitude"":-3.7068901",Arepas And Go
6,6,MenuItem,Catira,Offer,6.5,EUR,Arepas,8.9,"""Venezolano""","""Calle de Almansa","""geo"":{""latitude"":40.4487447,""longitude"":-3.7068901",Arepas And Go
7,7,MenuItem,Yankee,Offer,7.5,EUR,Arepas,8.9,"""Venezolano""","""Calle de Almansa","""geo"":{""latitude"":40.4487447,""longitude"":-3.7068901",Arepas And Go
8,8,MenuItem,Colombiana,Offer,6.9,EUR,Arepas,8.9,"""Venezolano""","""Calle de Almansa","""geo"":{""latitude"":40.4487447,""longitude"":-3.7068901",Arepas And Go
9,9,MenuItem,Dominó,Offer,6.5,EUR,Arepas,8.9,"""Venezolano""","""Calle de Almansa","""geo"":{""latitude"":40.4487447,""longitude"":-3.7068901",Arepas And Go
10,10,MenuItem,Guadarrama,Offer,7.5,EUR,Arepas,8.9,"""Venezolano""","""Calle de Almansa","""geo"":{""latitude"":40.4487447,""longitude"":-3.7068901",Arepas And Go
