,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,Manhattan burger,Offer,7.9,EUR,Plato,9,"""Americano""","""Plaza Amanecer en Méndez Álvaro","""geo"":{""latitude"":40.3986936,""longitude"":-3.6846057",BBQ BURGER - Méndez Álvaro
1,1,MenuItem,Big Cheese burger,Offer,7.9,EUR,Plato,9,"""Americano""","""Plaza Amanecer en Méndez Álvaro","""geo"":{""latitude"":40.3986936,""longitude"":-3.6846057",BBQ BURGER - Méndez Álvaro
2,2,MenuItem,Empire Goat BURGER,Offer,7.9,EUR,Plato,9,"""Americano""","""Plaza Amanecer en Méndez Álvaro","""geo"":{""latitude"":40.3986936,""longitude"":-3.6846057",BBQ BURGER - Méndez Álvaro
3,3,MenuItem,HARLEM EGG Y BACON BURGER,Offer,7.9,EUR,Plato,9,"""Americano""","""Plaza Amanecer en Méndez Álvaro","""geo"":{""latitude"":40.3986936,""longitude"":-3.6846057",BBQ BURGER - Méndez Álvaro
4,4,MenuItem,BBQ BURGER,Offer,7.9,EUR,Plato,9,"""Americano""","""Plaza Amanecer en Méndez Álvaro","""geo"":{""latitude"":40.3986936,""longitude"":-3.6846057",BBQ BURGER - Méndez Álvaro
5,5,MenuItem,TEX MEX BURGER,Offer,7.9,EUR,Plato,9,"""Americano""","""Plaza Amanecer en Méndez Álvaro","""geo"":{""latitude"":40.3986936,""longitude"":-3.6846057",BBQ BURGER - Méndez Álvaro
6,6,MenuItem,QUEENS BURGER,Offer,7.9,EUR,Plato,9,"""Americano""","""Plaza Amanecer en Méndez Álvaro","""geo"":{""latitude"":40.3986936,""longitude"":-3.6846057",BBQ BURGER - Méndez Álvaro
7,7,MenuItem,CHINATOWN BURGER,Offer,7.9,EUR,Plato,9,"""Americano""","""Plaza Amanecer en Méndez Álvaro","""geo"":{""latitude"":40.3986936,""longitude"":-3.6846057",BBQ BURGER - Méndez Álvaro
8,8,MenuItem,PARIS BURGER,Offer,12.9,EUR,Plato,9,"""Americano""","""Plaza Amanecer en Méndez Álvaro","""geo"":{""latitude"":40.3986936,""longitude"":-3.6846057",BBQ BURGER - Méndez Álvaro
9,9,MenuItem,TOSCANA BURGER,Offer,12.9,EUR,Plato,9,"""Americano""","""Plaza Amanecer en Méndez Álvaro","""geo"":{""latitude"":40.3986936,""longitude"":-3.6846057",BBQ BURGER - Méndez Álvaro
10,10,MenuItem,TRUFFLE BURGER,Offer,12.9,EUR,Plato,9,"""Americano""","""Plaza Amanecer en Méndez Álvaro","""geo"":{""latitude"":40.3986936,""longitude"":-3.6846057",BBQ BURGER - Méndez Álvaro
11,11,MenuItem,PX BURGER,Offer,12.9,EUR,Plato,9,"""Americano""","""Plaza Amanecer en Méndez Álvaro","""geo"":{""latitude"":40.3986936,""longitude"":-3.6846057",BBQ BURGER - Méndez Álvaro
12,12,MenuItem,COSTILLAR BBQ,Offer,12.9,EUR,Plato,9,"""Americano""","""Plaza Amanecer en Méndez Álvaro","""geo"":{""latitude"":40.3986936,""longitude"":-3.6846057",BBQ BURGER - Méndez Álvaro
13,13,MenuItem,COSTILLAR PEDRO XIMENEZ,Offer,12.9,EUR,Plato,9,"""Americano""","""Plaza Amanecer en Méndez Álvaro","""geo"":{""latitude"":40.3986936,""longitude"":-3.6846057",BBQ BURGER - Méndez Álvaro
