,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,"Cremoso de chía, frutos rojos y manzana",Offer,7,EUR,"Si el amor endulza la vida, nuestros postres son un flechazo!",9.5,"""Vegetariano""","""Calle Gran Vía","""geo"":{""latitude"":40.4194705,""longitude"":-3.6990859",BLoved Veggie Corner
1,1,MenuItem,Éxtasis bio vegano con helado de frambuesa,Offer,7,EUR,"Si el amor endulza la vida, nuestros postres son un flechazo!",9.5,"""Vegetariano""","""Calle Gran Vía","""geo"":{""latitude"":40.4194705,""longitude"":-3.6990859",BLoved Veggie Corner
2,2,MenuItem,"Mochi de yuzu, lima y sirope de arce",Offer,7,EUR,"Si el amor endulza la vida, nuestros postres son un flechazo!",9.5,"""Vegetariano""","""Calle Gran Vía","""geo"":{""latitude"":40.4194705,""longitude"":-3.6990859",BLoved Veggie Corner
3,3,MenuItem,Eboca chocolate,Offer,7,EUR,"Si el amor endulza la vida, nuestros postres son un flechazo!",9.5,"""Vegetariano""","""Calle Gran Vía","""geo"":{""latitude"":40.4194705,""longitude"":-3.6990859",BLoved Veggie Corner
4,4,MenuItem,"Cheesecake de zanahoria, calabaza y cardamomo",Offer,7,EUR,"Si el amor endulza la vida, nuestros postres son un flechazo!",9.5,"""Vegetariano""","""Calle Gran Vía","""geo"":{""latitude"":40.4194705,""longitude"":-3.6990859",BLoved Veggie Corner
5,5,MenuItem,Panacotta con infusión de pasas y ron añejo,Offer,7,EUR,"Si el amor endulza la vida, nuestros postres son un flechazo!",9.5,"""Vegetariano""","""Calle Gran Vía","""geo"":{""latitude"":40.4194705,""longitude"":-3.6990859",BLoved Veggie Corner
6,6,MenuItem,Ganache de chocolate y café blanco,Offer,7,EUR,"Si el amor endulza la vida, nuestros postres son un flechazo!",9.5,"""Vegetariano""","""Calle Gran Vía","""geo"":{""latitude"":40.4194705,""longitude"":-3.6990859",BLoved Veggie Corner
7,7,MenuItem,Mosaico de frutas con miel de caña,Offer,7,EUR,"Si el amor endulza la vida, nuestros postres son un flechazo!",9.5,"""Vegetariano""","""Calle Gran Vía","""geo"":{""latitude"":40.4194705,""longitude"":-3.6990859",BLoved Veggie Corner
8,8,MenuItem,Helado de chocolate belga con trocitos,Offer,7,EUR,"Si el amor endulza la vida, nuestros postres son un flechazo!",9.5,"""Vegetariano""","""Calle Gran Vía","""geo"":{""latitude"":40.4194705,""longitude"":-3.6990859",BLoved Veggie Corner
9,9,MenuItem,Helado de vainilla con nuez pecan,Offer,7,EUR,"Si el amor endulza la vida, nuestros postres son un flechazo!",9.5,"""Vegetariano""","""Calle Gran Vía","""geo"":{""latitude"":40.4194705,""longitude"":-3.6990859",BLoved Veggie Corner
10,10,MenuItem,Sorbete de Gin tonic,Offer,7,EUR,"Si el amor endulza la vida, nuestros postres son un flechazo!",9.5,"""Vegetariano""","""Calle Gran Vía","""geo"":{""latitude"":40.4194705,""longitude"":-3.6990859",BLoved Veggie Corner
