,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,Hamburguesa de Pollo,Offer,9.9,EUR,Hmburguesas,9.3,"""Americano""","""Calle de Galileo","""geo"":{""latitude"":40.430918,""longitude"":-3.710305",Beefcious- Galileo
1,1,MenuItem,Hamburguesa de queso azul,Offer,9.9,EUR,Hmburguesas,9.3,"""Americano""","""Calle de Galileo","""geo"":{""latitude"":40.430918,""longitude"":-3.710305",Beefcious- Galileo
2,2,MenuItem,Hamburguesa barbacoa,Offer,9.9,EUR,Hmburguesas,9.3,"""Americano""","""Calle de Galileo","""geo"":{""latitude"":40.430918,""longitude"":-3.710305",Beefcious- Galileo
3,3,MenuItem,Hamburguesa clásica,Offer,9.9,EUR,Hmburguesas,9.3,"""Americano""","""Calle de Galileo","""geo"":{""latitude"":40.430918,""longitude"":-3.710305",Beefcious- Galileo
4,4,MenuItem,Hamburguesa jalapeños,Offer,9.9,EUR,Hmburguesas,9.3,"""Americano""","""Calle de Galileo","""geo"":{""latitude"":40.430918,""longitude"":-3.710305",Beefcious- Galileo
5,5,MenuItem,Hamburguesa mozzarella,Offer,9.9,EUR,Hmburguesas,9.3,"""Americano""","""Calle de Galileo","""geo"":{""latitude"":40.430918,""longitude"":-3.710305",Beefcious- Galileo
6,6,MenuItem,Hamburguesa diablo,Offer,9.9,EUR,Hmburguesas,9.3,"""Americano""","""Calle de Galileo","""geo"":{""latitude"":40.430918,""longitude"":-3.710305",Beefcious- Galileo
7,7,MenuItem,Hamburguesa vegetaruaba,Offer,9.9,EUR,Hmburguesas,9.3,"""Americano""","""Calle de Galileo","""geo"":{""latitude"":40.430918,""longitude"":-3.710305",Beefcious- Galileo
8,8,MenuItem,Cheesburguer,Offer,9.9,EUR,Hmburguesas,9.3,"""Americano""","""Calle de Galileo","""geo"":{""latitude"":40.430918,""longitude"":-3.710305",Beefcious- Galileo
9,9,MenuItem,Hamburguesa básica,Offer,8.5,EUR,Hmburguesas,9.3,"""Americano""","""Calle de Galileo","""geo"":{""latitude"":40.430918,""longitude"":-3.710305",Beefcious- Galileo
10,10,MenuItem,Hamburguesa infantil,Offer,7.5,EUR,Hmburguesas,9.3,"""Americano""","""Calle de Galileo","""geo"":{""latitude"":40.430918,""longitude"":-3.710305",Beefcious- Galileo
