,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,Bacalao Confitado,Offer,21.0,EUR,Plato,8.9,"""Español""","""Crta","""geo"":{""latitude"":40.4882662,""longitude"":-3.7435554",Club de Tiro Madrid
1,1,MenuItem,Lenguado Meuniére,Offer,26.0,EUR,Plato,8.9,"""Español""","""Crta","""geo"":{""latitude"":40.4882662,""longitude"":-3.7435554",Club de Tiro Madrid
2,2,MenuItem,Tacos de Merluza a la Romana,Offer,21.0,EUR,Plato,8.9,"""Español""","""Crta","""geo"":{""latitude"":40.4882662,""longitude"":-3.7435554",Club de Tiro Madrid
3,3,MenuItem,Rodaballo Salvaje,Offer,21.5,EUR,Plato,8.9,"""Español""","""Crta","""geo"":{""latitude"":40.4882662,""longitude"":-3.7435554",Club de Tiro Madrid
4,4,MenuItem,Carrillera Ibérica Glaseada,Offer,16.5,EUR,Plato,8.9,"""Español""","""Crta","""geo"":{""latitude"":40.4882662,""longitude"":-3.7435554",Club de Tiro Madrid
5,5,MenuItem,Jarrete de Cordero a Baja Temperatura,Offer,18.5,EUR,Plato,8.9,"""Español""","""Crta","""geo"":{""latitude"":40.4882662,""longitude"":-3.7435554",Club de Tiro Madrid
6,6,MenuItem,Presa Ibérica Braseada,Offer,17.5,EUR,Plato,8.9,"""Español""","""Crta","""geo"":{""latitude"":40.4882662,""longitude"":-3.7435554",Club de Tiro Madrid
7,7,MenuItem,Entrecotte 250gr al Carbón,Offer,19.0,EUR,Plato,8.9,"""Español""","""Crta","""geo"":{""latitude"":40.4882662,""longitude"":-3.7435554",Club de Tiro Madrid
8,8,MenuItem,Lomo de Vaca Vieja 500gr,Offer,45.0,EUR,Plato,8.9,"""Español""","""Crta","""geo"":{""latitude"":40.4882662,""longitude"":-3.7435554",Club de Tiro Madrid
9,9,MenuItem,Milanesa de Ternera Blanca,Offer,14.5,EUR,Plato,8.9,"""Español""","""Crta","""geo"":{""latitude"":40.4882662,""longitude"":-3.7435554",Club de Tiro Madrid
