,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,restaurant
0,0,MenuItem,"Guiso de setas de temporada con huevo poché, foie y trufa",Offer,23,EUR,Entrantes,None,None,None,El Jardín de Orfila por M...
1,1,MenuItem,Menestra de verduras con hierbas aromáticas y purés especiados,Offer,19,EUR,Entrantes,None,None,None,El Jardín de Orfila por M...
2,2,MenuItem,"Caldereta de langosta, rape y cabracho",Offer,26,EUR,Entrantes,None,None,None,El Jardín de Orfila por M...
3,3,MenuItem,Ensalada de perdíz escabechada con berros y granada,Offer,18,EUR,Entrantes,None,None,None,El Jardín de Orfila por M...
4,4,MenuItem,"Carabinero con el jugo de sus cabezas, salsa de soja, pimienta y jarabe de arce y mayonesa de shiracha",Offer,27,EUR,Entrantes,None,None,None,El Jardín de Orfila por M...
5,5,MenuItem,Escabeche de foie al oloroso con mango encurtido y piel de picantón crujiente,Offer,21,EUR,Entrantes,None,None,None,El Jardín de Orfila por M...
6,6,MenuItem,"Ravioli de rabo de toro con cebón gallego, hierbabuena y salsa de manitas",Offer,22,EUR,Entrantes,None,None,None,El Jardín de Orfila por M...
7,7,MenuItem,Capuchino de patata y trufa,Offer,21,EUR,Entrantes,None,None,None,El Jardín de Orfila por M...
8,8,MenuItem,Arroz meloso de trufa y setas de temporada,Offer,22,EUR,Entrantes,None,None,None,El Jardín de Orfila por M...
9,9,MenuItem,Jamón Ibérico 100%ibérico Extrem Puro Extremadura,Offer,29,EUR,Entrantes,None,None,None,El Jardín de Orfila por M...
10,10,MenuItem,Caviar Osetra y su guarnición 10gr,Offer,39,EUR,Entrantes,None,None,None,El Jardín de Orfila por M...
