,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,"Raviolis de trufa con tomates sicilianos, albahaca y parmesano",Offer,13.0,EUR,Plato,8.6,"""Mediterráneo""","""Calle Duque de Rivas","""geo"":{""latitude"":40.4132268,""longitude"":-3.7061709",El b_US
1,1,MenuItem,"Ensalada mezclum con aguacate, aceitunas negras y virutas de jamón",Offer,9.9,EUR,Plato,8.6,"""Mediterráneo""","""Calle Duque de Rivas","""geo"":{""latitude"":40.4132268,""longitude"":-3.7061709",El b_US
2,2,MenuItem,Carpaccio de gambón con salsa de rocoto,Offer,13.0,EUR,Plato,8.6,"""Mediterráneo""","""Calle Duque de Rivas","""geo"":{""latitude"":40.4132268,""longitude"":-3.7061709",El b_US
3,3,MenuItem,Canelones de espinacas y pasas al pesto,Offer,12.0,EUR,Plato,8.6,"""Mediterráneo""","""Calle Duque de Rivas","""geo"":{""latitude"":40.4132268,""longitude"":-3.7061709",El b_US
4,4,MenuItem,Lasaña de verduras,Offer,12.5,EUR,Plato,8.6,"""Mediterráneo""","""Calle Duque de Rivas","""geo"":{""latitude"":40.4132268,""longitude"":-3.7061709",El b_US
5,5,MenuItem,Tartar de salmón con aguacate y mango,Offer,14.5,EUR,Plato,8.6,"""Mediterráneo""","""Calle Duque de Rivas","""geo"":{""latitude"":40.4132268,""longitude"":-3.7061709",El b_US
6,6,MenuItem,Pulpo con puré de patata al pimentón,Offer,13.5,EUR,Plato,8.6,"""Mediterráneo""","""Calle Duque de Rivas","""geo"":{""latitude"":40.4132268,""longitude"":-3.7061709",El b_US
7,7,MenuItem,Fishburguer de salmón con salsa de soja,Offer,8.5,EUR,Plato,8.6,"""Mediterráneo""","""Calle Duque de Rivas","""geo"":{""latitude"":40.4132268,""longitude"":-3.7061709",El b_US
8,8,MenuItem,Tataki de solomillo de ternera,Offer,14.5,EUR,Plato,8.6,"""Mediterráneo""","""Calle Duque de Rivas","""geo"":{""latitude"":40.4132268,""longitude"":-3.7061709",El b_US
9,9,MenuItem,Steak Tartar,Offer,14.8,EUR,Plato,8.6,"""Mediterráneo""","""Calle Duque de Rivas","""geo"":{""latitude"":40.4132268,""longitude"":-3.7061709",El b_US
10,10,MenuItem,Carpaccio de buey con rúcula y parmesano,Offer,12.0,EUR,Plato,8.6,"""Mediterráneo""","""Calle Duque de Rivas","""geo"":{""latitude"":40.4132268,""longitude"":-3.7061709",El b_US
11,11,MenuItem,Carrilleras de cerdo al vino tinto,Offer,13.0,EUR,Plato,8.6,"""Mediterráneo""","""Calle Duque de Rivas","""geo"":{""latitude"":40.4132268,""longitude"":-3.7061709",El b_US
12,12,MenuItem,Rollitos de lomo rellenos de jamón y almendras,Offer,12.0,EUR,Plato,8.6,"""Mediterráneo""","""Calle Duque de Rivas","""geo"":{""latitude"":40.4132268,""longitude"":-3.7061709",El b_US
