,Unnamed: 0,Unnamed: 0.1,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,0,MenuItem,Gamba Blanca de Huelva a la Plancha 250gr.,Offer,28.0,EUR,Entrantes,9,"""Asturiano""","""Paseo de la Florida","""geo"":{""latitude"":40.4215583,""longitude"":-3.7218509",Ferreiro
1,1,1,MenuItem,Almejas terciadas a la Sartén ó en Salsa Marinera,Offer,24.0,EUR,Entrantes,9,"""Asturiano""","""Paseo de la Florida","""geo"":{""latitude"":40.4215583,""longitude"":-3.7218509",Ferreiro
2,2,2,MenuItem,Angulas a la Bilbaína,Offer,88.0,EUR,Entrantes,9,"""Asturiano""","""Paseo de la Florida","""geo"":{""latitude"":40.4215583,""longitude"":-3.7218509",Ferreiro
3,3,3,MenuItem,Calamares de Cudillero fritos al Limón,Offer,15.9,EUR,Entrantes,9,"""Asturiano""","""Paseo de la Florida","""geo"":{""latitude"":40.4215583,""longitude"":-3.7218509",Ferreiro
4,4,4,MenuItem,Buñuelos de Bacalao Crujientes con Patatas Paja,Offer,17.5,EUR,Entrantes,9,"""Asturiano""","""Paseo de la Florida","""geo"":{""latitude"":40.4215583,""longitude"":-3.7218509",Ferreiro
5,5,5,MenuItem,Sepia a la Plancha con su Alioli,Offer,14.9,EUR,Entrantes,9,"""Asturiano""","""Paseo de la Florida","""geo"":{""latitude"":40.4215583,""longitude"":-3.7218509",Ferreiro
6,6,6,MenuItem,Pulpo a la Gallega con sus Cachelos,Offer,19.9,EUR,Entrantes,9,"""Asturiano""","""Paseo de la Florida","""geo"":{""latitude"":40.4215583,""longitude"":-3.7218509",Ferreiro
7,7,7,MenuItem,Mollejinas de Lechal a la Plancha con Ajo y Perejil,Offer,16.5,EUR,Entrantes,9,"""Asturiano""","""Paseo de la Florida","""geo"":{""latitude"":40.4215583,""longitude"":-3.7218509",Ferreiro
8,8,8,MenuItem,Mollejas de Cordero Salteadas con Boletus al Vinagre de Jerez sobre demi-glacé de Foie,Offer,17.9,EUR,Entrantes,9,"""Asturiano""","""Paseo de la Florida","""geo"":{""latitude"":40.4215583,""longitude"":-3.7218509",Ferreiro
9,9,9,MenuItem,Croquetas de Fabada,Offer,10.0,EUR,Entrantes,9,"""Asturiano""","""Paseo de la Florida","""geo"":{""latitude"":40.4215583,""longitude"":-3.7218509",Ferreiro
10,10,10,MenuItem,Croquetas de Bacalao sobre Pil-Pil y triturado de Piquillo,Offer,12.0,EUR,Entrantes,9,"""Asturiano""","""Paseo de la Florida","""geo"":{""latitude"":40.4215583,""longitude"":-3.7218509",Ferreiro
11,11,11,MenuItem,Tortilla de Bacalao con Pimientos de Padrón y Ajos tostados,Offer,11.5,EUR,Entrantes,9,"""Asturiano""","""Paseo de la Florida","""geo"":{""latitude"":40.4215583,""longitude"":-3.7218509",Ferreiro
12,12,12,MenuItem,"Revuelto de Boletus, Bacalao y Cebollas Tiernas",Offer,13.9,EUR,Entrantes,9,"""Asturiano""","""Paseo de la Florida","""geo"":{""latitude"":40.4215583,""longitude"":-3.7218509",Ferreiro
13,13,13,MenuItem,Huevos de Corral en Sartén con Patatas a lo Pobre y Lascas de Jamón,Offer,13.9,EUR,Entrantes,9,"""Asturiano""","""Paseo de la Florida","""geo"":{""latitude"":40.4215583,""longitude"":-3.7218509",Ferreiro
