,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,Edamame,Offer,6.5,EUR,Para compartir,8.9,"""Asiático""","""Calle de Zurbano","""geo"":{""latitude"":40.4390495,""longitude"":-3.6929208",Green Tea - Zurbano
1,1,MenuItem,Wakame sunomono,Offer,12.5,EUR,Para compartir,8.9,"""Asiático""","""Calle de Zurbano","""geo"":{""latitude"":40.4390495,""longitude"":-3.6929208",Green Tea - Zurbano
2,2,MenuItem,Ceviche de corvina,Offer,14.5,EUR,Para compartir,8.9,"""Asiático""","""Calle de Zurbano","""geo"":{""latitude"":40.4390495,""longitude"":-3.6929208",Green Tea - Zurbano
3,3,MenuItem,Tiradito de calamar,Offer,14.5,EUR,Para compartir,8.9,"""Asiático""","""Calle de Zurbano","""geo"":{""latitude"":40.4390495,""longitude"":-3.6929208",Green Tea - Zurbano
4,4,MenuItem,Coca de atun mediterraneo,Offer,15.5,EUR,Para compartir,8.9,"""Asiático""","""Calle de Zurbano","""geo"":{""latitude"":40.4390495,""longitude"":-3.6929208",Green Tea - Zurbano
5,5,MenuItem,Tartar de atun y caviar tobiko,Offer,15.5,EUR,Para compartir,8.9,"""Asiático""","""Calle de Zurbano","""geo"":{""latitude"":40.4390495,""longitude"":-3.6929208",Green Tea - Zurbano
6,6,MenuItem,Tataki de atun con salsa de trufa,Offer,17.5,EUR,Para compartir,8.9,"""Asiático""","""Calle de Zurbano","""geo"":{""latitude"":40.4390495,""longitude"":-3.6929208",Green Tea - Zurbano
7,7,MenuItem,Tartar de salmon con yuzu cremoso y cebolletas,Offer,14.5,EUR,Para compartir,8.9,"""Asiático""","""Calle de Zurbano","""geo"":{""latitude"":40.4390495,""longitude"":-3.6929208",Green Tea - Zurbano
8,8,MenuItem,Tataki de salmon con vinagreta de wasabi e ikura,Offer,14.5,EUR,Para compartir,8.9,"""Asiático""","""Calle de Zurbano","""geo"":{""latitude"":40.4390495,""longitude"":-3.6929208",Green Tea - Zurbano
9,9,MenuItem,Poke Bowls Green Tea,Offer,14.5,EUR,Para compartir,8.9,"""Asiático""","""Calle de Zurbano","""geo"":{""latitude"":40.4390495,""longitude"":-3.6929208",Green Tea - Zurbano
