,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,Buey,Offer,15.9,EUR,Elige una de nuestras 9 recetas del chef...,8.8,"""Americano""","""Paseo de la Castellana","""geo"":{""latitude"":40.4746087,""longitude"":-3.6875915",Hamburguesa Nostra - Cast...
1,1,MenuItem,Clásica,Offer,11.9,EUR,Elige una de nuestras 9 recetas del chef...,8.8,"""Americano""","""Paseo de la Castellana","""geo"":{""latitude"":40.4746087,""longitude"":-3.6875915",Hamburguesa Nostra - Cast...
2,2,MenuItem,Francesa,Offer,11.9,EUR,Elige una de nuestras 9 recetas del chef...,8.8,"""Americano""","""Paseo de la Castellana","""geo"":{""latitude"":40.4746087,""longitude"":-3.6875915",Hamburguesa Nostra - Cast...
3,3,MenuItem,Inglesa,Offer,14.9,EUR,Elige una de nuestras 9 recetas del chef...,8.8,"""Americano""","""Paseo de la Castellana","""geo"":{""latitude"":40.4746087,""longitude"":-3.6875915",Hamburguesa Nostra - Cast...
4,4,MenuItem,Del chef,Offer,11.9,EUR,Elige una de nuestras 9 recetas del chef...,8.8,"""Americano""","""Paseo de la Castellana","""geo"":{""latitude"":40.4746087,""longitude"":-3.6875915",Hamburguesa Nostra - Cast...
5,5,MenuItem,De pueblo,Offer,10.9,EUR,Elige una de nuestras 9 recetas del chef...,8.8,"""Americano""","""Paseo de la Castellana","""geo"":{""latitude"":40.4746087,""longitude"":-3.6875915",Hamburguesa Nostra - Cast...
6,6,MenuItem,Alemana,Offer,14.9,EUR,Elige una de nuestras 9 recetas del chef...,8.8,"""Americano""","""Paseo de la Castellana","""geo"":{""latitude"":40.4746087,""longitude"":-3.6875915",Hamburguesa Nostra - Cast...
7,7,MenuItem,Mexicana,Offer,14.9,EUR,Elige una de nuestras 9 recetas del chef...,8.8,"""Americano""","""Paseo de la Castellana","""geo"":{""latitude"":40.4746087,""longitude"":-3.6875915",Hamburguesa Nostra - Cast...
8,8,MenuItem,Trufa,Offer,12.9,EUR,Elige una de nuestras 9 recetas del chef...,8.8,"""Americano""","""Paseo de la Castellana","""geo"":{""latitude"":40.4746087,""longitude"":-3.6875915",Hamburguesa Nostra - Cast...
9,9,MenuItem,Veggie,Offer,10.9,EUR,Elige una de nuestras 9 recetas del chef...,8.8,"""Americano""","""Paseo de la Castellana","""geo"":{""latitude"":40.4746087,""longitude"":-3.6875915",Hamburguesa Nostra - Cast...
