,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,Hamburguesa + guarnición,Offer,12.9,EUR,Elige una de nuestras 9 recetas del chef,8.8,"""Americano""","""Calle de José Ortega y Gasset","""geo"":{""latitude"":40.4298357,""longitude"":-3.6710515",Hamburguesa Nostra - Orte...
1,1,MenuItem,Hamburguesa grande + guarnición,Offer,14.9,EUR,Elige una de nuestras 9 recetas del chef,8.8,"""Americano""","""Calle de José Ortega y Gasset","""geo"":{""latitude"":40.4298357,""longitude"":-3.6710515",Hamburguesa Nostra - Orte...
2,2,MenuItem,Toppings extra o guarnición extra,Offer,1.0,EUR,Elige una de nuestras 9 recetas del chef,8.8,"""Americano""","""Calle de José Ortega y Gasset","""geo"":{""latitude"":40.4298357,""longitude"":-3.6710515",Hamburguesa Nostra - Orte...
3,3,MenuItem,Inglesa,,,,Elige una de nuestras 9 recetas del chef,8.8,"""Americano""","""Calle de José Ortega y Gasset","""geo"":{""latitude"":40.4298357,""longitude"":-3.6710515",Hamburguesa Nostra - Orte...
4,4,MenuItem,Francesa,,,,Elige una de nuestras 9 recetas del chef,8.8,"""Americano""","""Calle de José Ortega y Gasset","""geo"":{""latitude"":40.4298357,""longitude"":-3.6710515",Hamburguesa Nostra - Orte...
5,5,MenuItem,Del chef,,,,Elige una de nuestras 9 recetas del chef,8.8,"""Americano""","""Calle de José Ortega y Gasset","""geo"":{""latitude"":40.4298357,""longitude"":-3.6710515",Hamburguesa Nostra - Orte...
6,6,MenuItem,Del pueblo,,,,Elige una de nuestras 9 recetas del chef,8.8,"""Americano""","""Calle de José Ortega y Gasset","""geo"":{""latitude"":40.4298357,""longitude"":-3.6710515",Hamburguesa Nostra - Orte...
7,7,MenuItem,Alemana,,,,Elige una de nuestras 9 recetas del chef,8.8,"""Americano""","""Calle de José Ortega y Gasset","""geo"":{""latitude"":40.4298357,""longitude"":-3.6710515",Hamburguesa Nostra - Orte...
8,8,MenuItem,Buey,,,,Elige una de nuestras 9 recetas del chef,8.8,"""Americano""","""Calle de José Ortega y Gasset","""geo"":{""latitude"":40.4298357,""longitude"":-3.6710515",Hamburguesa Nostra - Orte...
9,9,MenuItem,Mexicana,,,,Elige una de nuestras 9 recetas del chef,8.8,"""Americano""","""Calle de José Ortega y Gasset","""geo"":{""latitude"":40.4298357,""longitude"":-3.6710515",Hamburguesa Nostra - Orte...
10,10,MenuItem,Trufa,,,,Elige una de nuestras 9 recetas del chef,8.8,"""Americano""","""Calle de José Ortega y Gasset","""geo"":{""latitude"":40.4298357,""longitude"":-3.6710515",Hamburguesa Nostra - Orte...
11,11,MenuItem,Veggie,,,,Elige una de nuestras 9 recetas del chef,8.8,"""Americano""","""Calle de José Ortega y Gasset","""geo"":{""latitude"":40.4298357,""longitude"":-3.6710515",Hamburguesa Nostra - Orte...
