,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,Cochinillo asado en horno de leña,Offer,22.75,EUR,Plato,8.8,"""Asador""","""C","""geo"":{""latitude"":40.423750901055,""longitude"":-3.6772899627686",Horno de Juan Goya
1,1,MenuItem,Lechazo asado en horno de leña,Offer,22.75,EUR,Plato,8.8,"""Asador""","""C","""geo"":{""latitude"":40.423750901055,""longitude"":-3.6772899627686",Horno de Juan Goya
2,2,MenuItem,Carpaccio de bacalao al acéto de Módena,Offer,17.5,EUR,Plato,8.8,"""Asador""","""C","""geo"":{""latitude"":40.423750901055,""longitude"":-3.6772899627686",Horno de Juan Goya
3,3,MenuItem,Pastel de cabracho sobre salsa de piquillo,Offer,16.5,EUR,Plato,8.8,"""Asador""","""C","""geo"":{""latitude"":40.423750901055,""longitude"":-3.6772899627686",Horno de Juan Goya
4,4,MenuItem,Salmón marinado al eneldo,Offer,18.5,EUR,Plato,8.8,"""Asador""","""C","""geo"":{""latitude"":40.423750901055,""longitude"":-3.6772899627686",Horno de Juan Goya
5,5,MenuItem,Lubina al Horno Bilbaína,Offer,21.75,EUR,Plato,8.8,"""Asador""","""C","""geo"":{""latitude"":40.423750901055,""longitude"":-3.6772899627686",Horno de Juan Goya
6,6,MenuItem,Chipirones a la parrilla sobre lecho de setas al ajillo,Offer,17.5,EUR,Plato,8.8,"""Asador""","""C","""geo"":{""latitude"":40.423750901055,""longitude"":-3.6772899627686",Horno de Juan Goya
7,7,MenuItem,Gambas al ajillo,Offer,18.5,EUR,Plato,8.8,"""Asador""","""C","""geo"":{""latitude"":40.423750901055,""longitude"":-3.6772899627686",Horno de Juan Goya
8,8,MenuItem,Carpaccio de buey al parmesano,Offer,17.5,EUR,Plato,8.8,"""Asador""","""C","""geo"":{""latitude"":40.423750901055,""longitude"":-3.6772899627686",Horno de Juan Goya
9,9,MenuItem,Chuletitas de cordero lechal a la parrila,Offer,19.5,EUR,Plato,8.8,"""Asador""","""C","""geo"":{""latitude"":40.423750901055,""longitude"":-3.6772899627686",Horno de Juan Goya
10,10,MenuItem,Villagodio de buey a la piedra (dos personas),Offer,44.0,EUR,Plato,8.8,"""Asador""","""C","""geo"":{""latitude"":40.423750901055,""longitude"":-3.6772899627686",Horno de Juan Goya
