,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,Original,Offer,12.5,EUR,Juanchis burgers,9,"""Americano""","""Calle de Manuela Malasaña","""geo"":{""latitude"":40.4285318,""longitude"":-3.7026228",Juanchis Burgers Malasaña
1,1,MenuItem,Juancheese,Offer,12.5,EUR,Juanchis burgers,9,"""Americano""","""Calle de Manuela Malasaña","""geo"":{""latitude"":40.4285318,""longitude"":-3.7026228",Juanchis Burgers Malasaña
2,2,MenuItem,Old buddy,Offer,10.9,EUR,Juanchis burgers,9,"""Americano""","""Calle de Manuela Malasaña","""geo"":{""latitude"":40.4285318,""longitude"":-3.7026228",Juanchis Burgers Malasaña
3,3,MenuItem,Psychedelic swiss,Offer,13.0,EUR,Juanchis burgers,9,"""Americano""","""Calle de Manuela Malasaña","""geo"":{""latitude"":40.4285318,""longitude"":-3.7026228",Juanchis Burgers Malasaña
4,4,MenuItem,Sunny,Offer,12.5,EUR,Juanchis burgers,9,"""Americano""","""Calle de Manuela Malasaña","""geo"":{""latitude"":40.4285318,""longitude"":-3.7026228",Juanchis Burgers Malasaña
5,5,MenuItem,Cheese,Offer,13.0,EUR,Juanchis burgers,9,"""Americano""","""Calle de Manuela Malasaña","""geo"":{""latitude"":40.4285318,""longitude"":-3.7026228",Juanchis Burgers Malasaña
6,6,MenuItem,Spanish queen,Offer,12.5,EUR,Juanchis burgers,9,"""Americano""","""Calle de Manuela Malasaña","""geo"":{""latitude"":40.4285318,""longitude"":-3.7026228",Juanchis Burgers Malasaña
7,7,MenuItem,The Pilgrim,Offer,12.5,EUR,Juanchis burgers,9,"""Americano""","""Calle de Manuela Malasaña","""geo"":{""latitude"":40.4285318,""longitude"":-3.7026228",Juanchis Burgers Malasaña
8,8,MenuItem,The Salamanca,Offer,12.5,EUR,Juanchis burgers,9,"""Americano""","""Calle de Manuela Malasaña","""geo"":{""latitude"":40.4285318,""longitude"":-3.7026228",Juanchis Burgers Malasaña
9,9,MenuItem,No tears,Offer,13.0,EUR,Juanchis burgers,9,"""Americano""","""Calle de Manuela Malasaña","""geo"":{""latitude"":40.4285318,""longitude"":-3.7026228",Juanchis Burgers Malasaña
10,10,MenuItem,Caribe,Offer,12.5,EUR,Juanchis burgers,9,"""Americano""","""Calle de Manuela Malasaña","""geo"":{""latitude"":40.4285318,""longitude"":-3.7026228",Juanchis Burgers Malasaña
11,11,MenuItem,Tempura boss,Offer,12.5,EUR,Juanchis burgers,9,"""Americano""","""Calle de Manuela Malasaña","""geo"":{""latitude"":40.4285318,""longitude"":-3.7026228",Juanchis Burgers Malasaña
12,12,MenuItem,Truffle goddes,Offer,12.5,EUR,Juanchis burgers,9,"""Americano""","""Calle de Manuela Malasaña","""geo"":{""latitude"":40.4285318,""longitude"":-3.7026228",Juanchis Burgers Malasaña
13,13,MenuItem,Patacón burguer,Offer,12.5,EUR,Juanchis burgers,9,"""Americano""","""Calle de Manuela Malasaña","""geo"":{""latitude"":40.4285318,""longitude"":-3.7026228",Juanchis Burgers Malasaña
14,14,MenuItem,The veggie,Offer,12.5,EUR,Juanchis burgers,9,"""Americano""","""Calle de Manuela Malasaña","""geo"":{""latitude"":40.4285318,""longitude"":-3.7026228",Juanchis Burgers Malasaña
