,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,Karubi,Offer,11.5,EUR,Yakiniku BBQ: Carne,8.9,"""Japonés""","""Calle de Ponzano","""geo"":{""latitude"":40.4407626,""longitude"":-3.6994713",Kemuri 49
1,1,MenuItem,Sankaku,Offer,11.5,EUR,Yakiniku BBQ: Carne,8.9,"""Japonés""","""Calle de Ponzano","""geo"":{""latitude"":40.4407626,""longitude"":-3.6994713",Kemuri 49
2,2,MenuItem,Harami,Offer,12.5,EUR,Yakiniku BBQ: Carne,8.9,"""Japonés""","""Calle de Ponzano","""geo"":{""latitude"":40.4407626,""longitude"":-3.6994713",Kemuri 49
3,3,MenuItem,Misuji,Offer,12.5,EUR,Yakiniku BBQ: Carne,8.9,"""Japonés""","""Calle de Ponzano","""geo"":{""latitude"":40.4407626,""longitude"":-3.6994713",Kemuri 49
4,4,MenuItem,Tan-shio,Offer,13.5,EUR,Yakiniku BBQ: Carne,8.9,"""Japonés""","""Calle de Ponzano","""geo"":{""latitude"":40.4407626,""longitude"":-3.6994713",Kemuri 49
5,5,MenuItem,Ichibo,Offer,14.0,EUR,Yakiniku BBQ: Carne,8.9,"""Japonés""","""Calle de Ponzano","""geo"":{""latitude"":40.4407626,""longitude"":-3.6994713",Kemuri 49
6,6,MenuItem,"Jukusei, Aged beef",Offer,17.5,EUR,Yakiniku BBQ: Carne,8.9,"""Japonés""","""Calle de Ponzano","""geo"":{""latitude"":40.4407626,""longitude"":-3.6994713",Kemuri 49
7,7,MenuItem,Sirloin,Offer,14.5,EUR,Yakiniku BBQ: Carne,8.9,"""Japonés""","""Calle de Ponzano","""geo"":{""latitude"":40.4407626,""longitude"":-3.6994713",Kemuri 49
8,8,MenuItem,Ton-toro,Offer,13.5,EUR,Yakiniku BBQ: Carne,8.9,"""Japonés""","""Calle de Ponzano","""geo"":{""latitude"":40.4407626,""longitude"":-3.6994713",Kemuri 49
9,9,MenuItem,Hanashita,Offer,13.5,EUR,Yakiniku BBQ: Carne,8.9,"""Japonés""","""Calle de Ponzano","""geo"":{""latitude"":40.4407626,""longitude"":-3.6994713",Kemuri 49
10,10,MenuItem,Wagyu vaca japonés A5,Offer,35.5,EUR,Yakiniku BBQ: Carne,8.9,"""Japonés""","""Calle de Ponzano","""geo"":{""latitude"":40.4407626,""longitude"":-3.6994713",Kemuri 49
11,11,MenuItem,Carne Kobe lomo bajo,Offer,68.5,EUR,Yakiniku BBQ: Carne,8.9,"""Japonés""","""Calle de Ponzano","""geo"":{""latitude"":40.4407626,""longitude"":-3.6994713",Kemuri 49
