,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,Pelmeni (12 uds),Offer,8.0,EUR,Platos para compartir,9.1,"""Ruso""","""Cava Baja","""geo"":{""latitude"":40.4120169,""longitude"":-3.710084",Kyiv Café Racer - Cava Baja
1,1,MenuItem,Vareniki (6 unidades),Offer,7.5,EUR,Platos para compartir,9.1,"""Ruso""","""Cava Baja","""geo"":{""latitude"":40.4120169,""longitude"":-3.710084",Kyiv Café Racer - Cava Baja
2,2,MenuItem,Nariska,Offer,11.0,EUR,Platos para compartir,9.1,"""Ruso""","""Cava Baja","""geo"":{""latitude"":40.4120169,""longitude"":-3.710084",Kyiv Café Racer - Cava Baja
3,3,MenuItem,Tabla de quesos,Offer,11.0,EUR,Platos para compartir,9.1,"""Ruso""","""Cava Baja","""geo"":{""latitude"":40.4120169,""longitude"":-3.710084",Kyiv Café Racer - Cava Baja
4,4,MenuItem,Patatas salsas,Offer,7.0,EUR,Platos para compartir,9.1,"""Ruso""","""Cava Baja","""geo"":{""latitude"":40.4120169,""longitude"":-3.710084",Kyiv Café Racer - Cava Baja
5,5,MenuItem,Patatas con salchichas,Offer,9.0,EUR,Platos para compartir,9.1,"""Ruso""","""Cava Baja","""geo"":{""latitude"":40.4120169,""longitude"":-3.710084",Kyiv Café Racer - Cava Baja
6,6,MenuItem,Huevos rotos (3 huevos),Offer,11.0,EUR,Platos para compartir,9.1,"""Ruso""","""Cava Baja","""geo"":{""latitude"":40.4120169,""longitude"":-3.710084",Kyiv Café Racer - Cava Baja
7,7,MenuItem,Croquetas (5 uds),Offer,6.0,EUR,Platos para compartir,9.1,"""Ruso""","""Cava Baja","""geo"":{""latitude"":40.4120169,""longitude"":-3.710084",Kyiv Café Racer - Cava Baja
8,8,MenuItem,Tortilla de patata,Offer,14.0,EUR,Platos para compartir,9.1,"""Ruso""","""Cava Baja","""geo"":{""latitude"":40.4120169,""longitude"":-3.710084",Kyiv Café Racer - Cava Baja
9,9,MenuItem,Pincho de tortilla,Offer,3.0,EUR,Platos para compartir,9.1,"""Ruso""","""Cava Baja","""geo"":{""latitude"":40.4120169,""longitude"":-3.710084",Kyiv Café Racer - Cava Baja
