,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,Ensalada fresca,Offer,9.15,EUR,ENSALADAS,9.2,"""Gastronómico""","""Avenida Machupichu","""geo"":{""latitude"":40.458076283335,""longitude"":-3.6252300739288",Lapizza+sana
1,1,MenuItem,Ensalada Verona,Offer,8.95,EUR,ENSALADAS,9.2,"""Gastronómico""","""Avenida Machupichu","""geo"":{""latitude"":40.458076283335,""longitude"":-3.6252300739288",Lapizza+sana
2,2,MenuItem,Carpaccio de calabacín,Offer,7.55,EUR,ENSALADAS,9.2,"""Gastronómico""","""Avenida Machupichu","""geo"":{""latitude"":40.458076283335,""longitude"":-3.6252300739288",Lapizza+sana
3,3,MenuItem,Ensalada Santa María,Offer,9.45,EUR,ENSALADAS,9.2,"""Gastronómico""","""Avenida Machupichu","""geo"":{""latitude"":40.458076283335,""longitude"":-3.6252300739288",Lapizza+sana
4,4,MenuItem,Ensalada Capressa,Offer,9.75,EUR,ENSALADAS,9.2,"""Gastronómico""","""Avenida Machupichu","""geo"":{""latitude"":40.458076283335,""longitude"":-3.6252300739288",Lapizza+sana
5,5,MenuItem,Ensalada del Chef,Offer,9.75,EUR,ENSALADAS,9.2,"""Gastronómico""","""Avenida Machupichu","""geo"":{""latitude"":40.458076283335,""longitude"":-3.6252300739288",Lapizza+sana
6,6,MenuItem,Ensalada de Atún,Offer,8.95,EUR,ENSALADAS,9.2,"""Gastronómico""","""Avenida Machupichu","""geo"":{""latitude"":40.458076283335,""longitude"":-3.6252300739288",Lapizza+sana
7,7,MenuItem,Ensalada Piamontesa,Offer,7.65,EUR,ENSALADAS,9.2,"""Gastronómico""","""Avenida Machupichu","""geo"":{""latitude"":40.458076283335,""longitude"":-3.6252300739288",Lapizza+sana
8,8,MenuItem,Ensalada Nórdica,Offer,9.3,EUR,ENSALADAS,9.2,"""Gastronómico""","""Avenida Machupichu","""geo"":{""latitude"":40.458076283335,""longitude"":-3.6252300739288",Lapizza+sana
9,9,MenuItem,Ensalada Nicanora,Offer,9.1,EUR,ENSALADAS,9.2,"""Gastronómico""","""Avenida Machupichu","""geo"":{""latitude"":40.458076283335,""longitude"":-3.6252300739288",Lapizza+sana
