,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,Assorti: degustación de 6 platos principales típicos rusos (mínimo 2 personas; precio por persona),Offer,9.5,EUR,Plato,8.9,"""Ruso""","""C","""geo"":{""latitude"":40.424892168471,""longitude"":-3.7043099403381",Las Noches de Moscú
1,1,MenuItem,Miaso po tatarski,Offer,17.0,EUR,Plato,8.9,"""Ruso""","""C","""geo"":{""latitude"":40.424892168471,""longitude"":-3.7043099403381",Las Noches de Moscú
2,2,MenuItem,Sibirskye pelmeni (pasta casera rellena con carne con caldo y esmitana),Offer,7.5,EUR,Plato,8.9,"""Ruso""","""C","""geo"":{""latitude"":40.424892168471,""longitude"":-3.7043099403381",Las Noches de Moscú
3,3,MenuItem,Bef estroganof (tiras de buey con salsa estroganof),Offer,13.75,EUR,Plato,8.9,"""Ruso""","""C","""geo"":{""latitude"":40.424892168471,""longitude"":-3.7043099403381",Las Noches de Moscú
4,4,MenuItem,Bitki de ternera (filite ruso tradicional con patatas asadas y encurtidas),Offer,7.9,EUR,Plato,8.9,"""Ruso""","""C","""geo"":{""latitude"":40.424892168471,""longitude"":-3.7043099403381",Las Noches de Moscú
5,5,MenuItem,Golubsy (rollos de col y carne en salsa),Offer,8.5,EUR,Plato,8.9,"""Ruso""","""C","""geo"":{""latitude"":40.424892168471,""longitude"":-3.7043099403381",Las Noches de Moscú
6,6,MenuItem,Golubsy vegetal en salsa,Offer,7.5,EUR,Plato,8.9,"""Ruso""","""C","""geo"":{""latitude"":40.424892168471,""longitude"":-3.7043099403381",Las Noches de Moscú
7,7,MenuItem,Kotleta po-kievski (pollo al estilo kiev),Offer,9.9,EUR,Plato,8.9,"""Ruso""","""C","""geo"":{""latitude"":40.424892168471,""longitude"":-3.7043099403381",Las Noches de Moscú
8,8,MenuItem,Shashlik s barashka (brocheta de cordero a la parrilla con hortaliza),Offer,12.75,EUR,Plato,8.9,"""Ruso""","""C","""geo"":{""latitude"":40.424892168471,""longitude"":-3.7043099403381",Las Noches de Moscú
9,9,MenuItem,Shashlik s belugy (brocheta de esturión y langostinos,Offer,12.75,EUR,Plato,8.9,"""Ruso""","""C","""geo"":{""latitude"":40.424892168471,""longitude"":-3.7043099403381",Las Noches de Moscú
10,10,MenuItem,Pollo estroganof(tiras de pollo en salsa estroganof y flmabiado con vodka),Offer,9.95,EUR,Plato,8.9,"""Ruso""","""C","""geo"":{""latitude"":40.424892168471,""longitude"":-3.7043099403381",Las Noches de Moscú
11,11,MenuItem,Pato con salsa de moras y esparragos,Offer,14.25,EUR,Plato,8.9,"""Ruso""","""C","""geo"":{""latitude"":40.424892168471,""longitude"":-3.7043099403381",Las Noches de Moscú
12,12,MenuItem,Muslo de pato confitado con salsa de cerezas,Offer,14.5,EUR,Plato,8.9,"""Ruso""","""C","""geo"":{""latitude"":40.424892168471,""longitude"":-3.7043099403381",Las Noches de Moscú
13,13,MenuItem,Merluza con salsa de setas y al horno,Offer,13.25,EUR,Plato,8.9,"""Ruso""","""C","""geo"":{""latitude"":40.424892168471,""longitude"":-3.7043099403381",Las Noches de Moscú
14,14,MenuItem,"Kulebiaka (empanada de hojaldre, salmón, huevo, champiñones, arroz y cebolla)",Offer,12.25,EUR,Plato,8.9,"""Ruso""","""C","""geo"":{""latitude"":40.424892168471,""longitude"":-3.7043099403381",Las Noches de Moscú
15,15,MenuItem,esturion al horno con verduras y salsa del chef,Offer,19.75,EUR,Plato,8.9,"""Ruso""","""C","""geo"":{""latitude"":40.424892168471,""longitude"":-3.7043099403381",Las Noches de Moscú
16,16,MenuItem,ternera georgiana,Offer,12.75,EUR,Plato,8.9,"""Ruso""","""C","""geo"":{""latitude"":40.424892168471,""longitude"":-3.7043099403381",Las Noches de Moscú
17,17,MenuItem,varenyky,Offer,7.5,EUR,Plato,8.9,"""Ruso""","""C","""geo"":{""latitude"":40.424892168471,""longitude"":-3.7043099403381",Las Noches de Moscú
