,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,Gazpacho de remolacha y alhjabega,Offer,6.0,EUR,SOLO PARA MÍ,9.5,"""Mediterráneo""","""Calle de Calatrava","""geo"":{""latitude"":40.4092748,""longitude"":-3.7122116",Las hijas de Lilith
1,1,MenuItem,Gazpacho Thai de alcachofas y esparragos,Offer,7.0,EUR,SOLO PARA MÍ,9.5,"""Mediterráneo""","""Calle de Calatrava","""geo"":{""latitude"":40.4092748,""longitude"":-3.7122116",Las hijas de Lilith
2,2,MenuItem,Tortillita de patatas,Offer,5.0,EUR,SOLO PARA MÍ,9.5,"""Mediterráneo""","""Calle de Calatrava","""geo"":{""latitude"":40.4092748,""longitude"":-3.7122116",Las hijas de Lilith
3,3,MenuItem,Tortillita de patatas con chorizo,Offer,6.5,EUR,SOLO PARA MÍ,9.5,"""Mediterráneo""","""Calle de Calatrava","""geo"":{""latitude"":40.4092748,""longitude"":-3.7122116",Las hijas de Lilith
4,4,MenuItem,Tortillita de patatas con morcilla,Offer,6.5,EUR,SOLO PARA MÍ,9.5,"""Mediterráneo""","""Calle de Calatrava","""geo"":{""latitude"":40.4092748,""longitude"":-3.7122116",Las hijas de Lilith
5,5,MenuItem,Tortillita de patatas con queso azul,Offer,6.5,EUR,SOLO PARA MÍ,9.5,"""Mediterráneo""","""Calle de Calatrava","""geo"":{""latitude"":40.4092748,""longitude"":-3.7122116",Las hijas de Lilith
6,6,MenuItem,Tortillita de patatas con bacón y queso,Offer,6.5,EUR,SOLO PARA MÍ,9.5,"""Mediterráneo""","""Calle de Calatrava","""geo"":{""latitude"":40.4092748,""longitude"":-3.7122116",Las hijas de Lilith
7,7,MenuItem,Hamburguesa de presa Ibérica con hummus y queso feta,Offer,10.0,EUR,SOLO PARA MÍ,9.5,"""Mediterráneo""","""Calle de Calatrava","""geo"":{""latitude"":40.4092748,""longitude"":-3.7122116",Las hijas de Lilith
8,8,MenuItem,Hamburguesa de pollo hawaiano,Offer,8.5,EUR,SOLO PARA MÍ,9.5,"""Mediterráneo""","""Calle de Calatrava","""geo"":{""latitude"":40.4092748,""longitude"":-3.7122116",Las hijas de Lilith
9,9,MenuItem,Hamburguesa de ternera al whisky,Offer,9.5,EUR,SOLO PARA MÍ,9.5,"""Mediterráneo""","""Calle de Calatrava","""geo"":{""latitude"":40.4092748,""longitude"":-3.7122116",Las hijas de Lilith
10,10,MenuItem,Hamburguesa de mijo y aguacate,Offer,8.5,EUR,SOLO PARA MÍ,9.5,"""Mediterráneo""","""Calle de Calatrava","""geo"":{""latitude"":40.4092748,""longitude"":-3.7122116",Las hijas de Lilith
